sample_id	count_type	count
500-M-83	post_trimming	88644028
ME-M-13	initial	172867244
Penn-F-2	post_trimming	142217472
Peach-8-F7	post_trimming	101733668
OH-F-2	initial	147990276
500-F-41	post_trimming	86441608
1020-F3	post_trimming	97562156
500-M-F10	post_trimming	93219104
1428-F-21	post_trimming	128384968
ME-F-3	initial	20371932
1020-C2	initial	94275164
ME-M-10	initial	38667376
1020-C1	initial	85526200
ME-M-2	post_trimming	49824656
Penn-M-14	initial	141585448
mel-21-LK-5	post_trimming	96306124
500-M-17	initial	81234368
500-M-71-2	post_trimming	66811232
500-M-83	initial	90070800
1020-A8	initial	94937508
1020-F6	post_trimming	9188752
mel-20-AG-5	initial	149395360
Penn-F-6	initial	107777488
1020-A8	post_trimming	93411616
500-F-42	initial	70979164
1020-A7	post_trimming	84018012
500-M-54	post_trimming	52718088
500-M-6	post_trimming	45586712
1020-M-19	initial	84113740
Peach-8-F7	initial	103627476
OH-M-4	post_trimming	86040080
1428-M-3	post_trimming	69662992
1428-M-42	post_trimming	123631512
Adobe-B8	post_trimming	91200596
Myrtle-E9	post_trimming	41992736
Pos-Ctrl	initial	94043088
500-M-F11	initial	101336136
Peach-7-F6	initial	75574620
1020-F-44	initial	71499928
ME-M-8	initial	156096756
ME-M-10	post_trimming	37913184
500-F-12	initial	79567268
1020-F-44	post_trimming	70376564
ME-M-7	post_trimming	97363296
mel-21-LK-5	initial	98140340
CVID-0911-F3	post_trimming	95333488
1428-F-8	post_trimming	50033840
James-A4	initial	123547512
1020-M-0818-A7	initial	93094480
1020-B11	post_trimming	68499264
Myrtle-D8	post_trimming	126551512
1020-A7	initial	85254248
sim-20-TD-4	initial	117424904
1020-M-8	initial	77751996
Peach-13-H7	post_trimming	78536452
500-M-65	post_trimming	66586988
ME-M-17	initial	103964820
Penn-F-12	initial	113685984
1428-F-21	initial	130793860
500-F-21	post_trimming	82959392
1020-G1	post_trimming	77867356
1428-M-21	initial	139678652
1020-F1	initial	87944184
CVID-1006-H4	initial	70058144
Penn-M-8	post_trimming	86186688
Briarwood-D9	post_trimming	78750464
OH-F-3	post_trimming	142462784
500-M-57	post_trimming	83446628
1020-M-0818-A7	post_trimming	91592216
Penn-M-15	post_trimming	140601028
1428-M-36	post_trimming	127597020
ME-M-1	post_trimming	133813512
CVID-0911-E3	post_trimming	143212088
ME-M-20	initial	134281760
1020-F-0818-D11	post_trimming	84064336
mel-20-AG-4	post_trimming	148223668
Adobe-B6	initial	92189704
1020-D1	initial	69292420
sim-20-AG-3	initial	142319416
1020-H7	initial	79489532
Adobe-B6	post_trimming	90283408
CVID-1006-H3	post_trimming	79211092
1020-F-0818-D4	initial	88456800
1020-A8-2	initial	65370492
ME-M-19	initial	143939480
mel-20-TD-3	initial	125180852
Water-Neg	post_trimming	292
OH-M-5	post_trimming	56937016
1020-F-40	initial	82326828
mel-20-TD-3	post_trimming	122674832
1020-F1	post_trimming	86484284
James-A5	post_trimming	102044060
500-F-11	initial	96195792
ME-M-1	initial	136356372
1428-F-15	post_trimming	44766624
1020-F-0818-E4	initial	76201008
1020-D3	initial	85691252
Peach-6-E5	initial	65870608
ME-M-6	initial	35679232
Peach-1-B2	initial	4885064
ME-F-9	post_trimming	42468668
HeLa-pos	post_trimming	62116488
1428-M-4	post_trimming	70217400
Penn-M-10	post_trimming	133127320
OH-F-1	post_trimming	173778044
James-A4	post_trimming	120990216
500-F-11	post_trimming	94586672
Penn-M-10	initial	135185252
1020-D3	post_trimming	84388752
Peach-9-F8	post_trimming	72522184
Neg-Ctrl	initial	18500
ME-M-18	post_trimming	228608136
Peach-6-E5	post_trimming	64630912
1020-F-36	post_trimming	89747524
Myrtle-E9	initial	42759748
HeLa-pos	initial	63970944
CVID-0825-C10	post_trimming	85942256
Penn-F-4	initial	112471248
500-M-71	post_trimming	76870840
Adobe-C2	post_trimming	116809224
OH-M-6	initial	85092908
ME-M-3	initial	65007152
Peach-7-F6	post_trimming	74341244
OH-M-3	initial	113881316
Peach-3-B5	post_trimming	37791048
hydei-20-TD-1	post_trimming	77232348
Penn-M-11	post_trimming	48990052
sim-20-TD-5	post_trimming	115138692
500-M-G2	post_trimming	79324020
500-M-65-2	post_trimming	77985776
Briarwood-D10	initial	84401360
Peach-10-F10	initial	70257416
Peach-5-B9	initial	78244584
Penn-M-14	post_trimming	139181868
1020-F-31	post_trimming	80075436
OH-F-1	initial	176912968
500-M-55	initial	86005204
OH-M-4	initial	87286588
ME-F-3	post_trimming	20007072
1020-M-0818-A5	post_trimming	83100620
500-F-67	initial	74453532
mel-20-AG-4	initial	150737812
CVID-0911-F4	initial	85988164
1020-M-8	post_trimming	76461112
1020-M-0818-A5	initial	84594788
500-F-67	post_trimming	73304948
500-M-57	initial	84929220
1428-M-3	initial	70792940
1020-D9	post_trimming	79089132
Peach-1-B2	post_trimming	4752260
Peach-12-H1	initial	107626200
OH-F-3	initial	145104120
OH-M-6	post_trimming	83682236
OH-F-2	post_trimming	145475568
ME-M-14	post_trimming	143356372
Penn-F-9	post_trimming	131158292
1020-F8	post_trimming	78540268
CVID-0825-B1	post_trimming	72760824
sim-20-AG-3	post_trimming	139130880
ME-F-1	post_trimming	100432352
James-A5	initial	103857928
CVID-1006-H3	initial	80618024
ME-M-7	initial	99382156
