Sample ID,State Collected,Street Collected,Coding-complete galbut virus sequence,Chaq virus sequence detected,Coding-complete chaq virus sequence,NCBI nucleotide accession,SRA accession (1),Number of galbut and chaq virus reads (RPM)
1020_A7,Colorado,Wabash,Yes,Yes,Yes,"PQ625166, PQ625079, PQ624976, PQ624867, PQ624868",SRR30712331,3599.27
1020_A8,Colorado,Wabash,-,-,-,,SRR30712330,-
1020_A8_2,Colorado,Wabash,-,-,-,,SRR30712232,-
1020_B11,Colorado,Wabash,-,-,-,,SRR30712317,-
1020_B6,Colorado,Wabash,Yes,Yes,Yes,"PQ625167, PQ625080, PQ624977, PQ624869",SRR30712306,4676.62
1020_C1,Colorado,Wabash,-,-,-,,SRR30712231,-
1020_C2,Colorado,Wabash,Yes,No,-,"PQ625081, PQ624978, PQ624870",SRR30712220,300.66
1020_D1,Colorado,Wabash,Yes,No,-,"PQ625082, PQ624979, PQ624871",SRR30712209,390.97
1020_D3,Colorado,Wabash,Yes,Yes,Yes,"PQ625168, PQ625083, PQ624980, PQ624872",SRR30712198,73.35
1020_D9,Colorado,Wabash,-,-,-,,SRR30712187,-
1020_F_0818_D11,Colorado,Wabash,Yes,No,-,"PQ625091, PQ624988, PQ624881",SRR30712329,249.08
1020_F_0818_D4,Colorado,Wabash,Yes,Yes,Yes,"PQ625172, PQ625090, PQ624987, PQ624880",SRR30712287,1044.98
1020_F_0818_E4,Colorado,Wabash,No,No,-,,SRR30712276,1.07
1020_F_31,Colorado,Wabash,No,Yes,Yes,"PQ625170, PQ625086, PQ624983, PQ624875",SRR30712265,17538.20
1020_F_36,Colorado,Wabash,Yes,No,-,"PQ625087, PQ624984, PQ624876",SRR30712254,198.88
1020_F_40,Colorado,Wabash,Yes,Yes,Yes,"PQ625171, PQ625088, PQ624985, PQ624877, PQ624878",SRR30712243,546.17
1020_F_44,Colorado,Wabash,Yes,No,-,"PQ625089, PQ624986, PQ624879",SRR30712237,493.13
1020_F1,Colorado,Wabash,Yes,No,-,"PQ625084, PQ624981, PQ624873",SRR30712243,82.54
1020_F3,Colorado,Wabash,No,No,No,,SRR30712235,5.35
1020_F6,Colorado,Wabash,Yes,Yes,Yes,"PQ625169, PQ625085, PQ624982, PQ624874",SRR30712234,3661.32
1020_F8,Colorado,Wabash,-,-,-,,SRR30712327,-
1020_G1,Colorado,Wabash,No,No,-,,SRR30712326,-
1020_G3,Colorado,Wabash,Yes,No,-,"PQ625092, PQ624989, PQ624882",SRR30712325,611.15
1020_H7,Colorado,Wabash,-,-,-,,SRR30712324,-
1020_M_0818_A10,Colorado,Wabash,Yes,No,-,"PQ625097, PQ624994, PQ624887",SRR30712323,553.01
1020_M_0818_A5,Colorado,Wabash,No,Yes,Yes,"PQ625174, PQ625095, PQ624992, PQ624885",SRR30712322,45347.21
1020_M_0818_A7,Colorado,Wabash,Yes,Yes,Yes,"PQ625175, PQ625096, PQ624993, PQ624886",SRR30712321,59.72
1020_M_19,Colorado,Wabash,Yes,Yes,Yes,"PQ625173, PQ625094, PQ624991, PQ624884",SRR30712320,49691.43
1020_M_8,Colorado,Wabash,Yes,No,-,"PQ625093, PQ624990, PQ624883",SRR30712319,467.89
1428_F_15,Colorado,Elm,-,-,-,,SRR30712318,-
1428_F_8,Colorado,Elm,Yes,Yes,Yes,"PQ625176, PQ625098, PQ624995, PQ624888",SRR30712316,1277.30
1428_M_3,Colorado,Elm,Yes,No,-,"PQ625100, PQ624997, PQ624890, PQ624891",SRR30712315,1099.89
1428_M_4,Colorado,Elm,Yes,Yes,Yes,"PQ625177, PQ625101, PQ624998, PQ624892",SRR30712314,2466.44
1428_M_6,Colorado,Elm,Yes,No,-,PQ624893,SRR30712313,47.14
1428-F-21,Colorado,Elm,Yes,No,-,"PQ625099, PQ624996, PQ624889",SRR30712312,529.82
1428-M-21,Colorado,Elm,Yes,No,-,"PQ625102, PQ624999, PQ624894",SRR30712311,2475.24
1428-M-36,Colorado,Elm,No,No,-,,SRR30712310,-
1428-M-42,Colorado,Elm,Yes,Yes,Yes,"PQ625178, PQ625103, PQ625000, PQ624895",SRR30712309,19814.01
1428-M-43,Colorado,Elm,Yes,No,No,,SRR30712308,5.24
500_F_11,Colorado,Linden,Yes,Yes,Yes,"PQ625155, PQ625060, PQ624956, PQ624846",SRR30712307,1246.09
500_F_12,Colorado,Linden,-,-,-,,SRR30712305,-
500_F_21,Colorado,Linden,Yes,No,-,"PQ625061, PQ624957, PQ624958, PQ624847",SRR30712304,135.92
500_F_41,Colorado,Linden,Yes,Yes,Yes,"PQ625156, PQ625062, PQ624959, PQ624848, PQ624849",SRR30712303,47796.27
500_F_42,Colorado,Linden,No,No,-,,SRR30712302,0.91
500_F_67,Colorado,Linden,Yes,No,-,"PQ625063, PQ624960, PQ624850",SRR30712301,1203.06
500_M_100,Colorado,Linden,No,No,-,,SRR30712300,1.10
500_M_16,Colorado,Linden,Yes,No,-,"PQ625064, PQ624961, PQ624851",SRR30712299,603.21
500_M_17,Colorado,Linden,Yes,Yes,Yes,"PQ625157, PQ625065, PQ624962, PQ624852",SRR30712298,3975.30
500_M_40,Colorado,Linden,-,-,-,,SRR30712297,-
500_M_54,Colorado,Linden,Yes,No,-,"PQ625066, PQ624963, PQ624853",SRR30712233,2435.91
500_M_55,Colorado,Linden,No,Yes,-,,SRR30712230,-
500_M_57,Colorado,Linden,Yes,Yes,Yes,"PQ625158, PQ625067, PQ624964, PQ624854",SRR30712229,2802.57
500_M_6,Colorado,Linden,-,-,-,,SRR30712228,-
500_M_60,Colorado,Linden,Yes,No,-,"PQ625068, PQ624965, PQ624855, PQ624856",SRR30712227,642.06
500_M_61,Colorado,Linden,Yes,Yes,Yes,"PQ625160, PQ625070, PQ624967, PQ624858",SRR30712226,5206.74
500_M_61_2,Colorado,Linden,Yes,Yes,Yes,"PQ625159, PQ625069, PQ624966, PQ624857",SRR30712225,954.02
500_M_65,Colorado,Linden,Yes,Yes,Yes,"PQ625162, PQ625072, PQ624969, PQ624860",SRR30712224,3958.83
500_M_65_2,Colorado,Linden,Yes,Yes,Yes,"PQ625161, PQ625071, PQ624968, PQ624859",SRR30712223,1645.09
500_M_71,Colorado,Linden,No,No,-,,SRR30712222,1.92
500_M_71_2,Colorado,Linden,No,Yes,Yes,"PQ625163, PQ625073, PQ624970, PQ624861",SRR30712221,18123.15
500_M_83,Colorado,Linden,Yes,No,-,"PQ625074, PQ624971, PQ624862",SRR30712219,2917.61
500_M_84,Colorado,Linden,No,Yes,Yes,"PQ625164, PQ625075, PQ624972, PQ624863",SRR30712218,56683.29
500_M_F10,Colorado,Linden,Yes,Yes,Yes,"PQ625165, PQ625076, PQ624973, PQ624864",SRR30712217,2914.68
500_M_F11,Colorado,Linden,Yes,No,-,"PQ625077, PQ624974, PQ624865",SRR30712216,237.42
500_M_F9,Colorado,Linden,No,Yes,No,,SRR30712215,0.98
500_M_G2,Colorado,Linden,Yes,No,-,"PQ625078, PQ624975, PQ624866",SRR30712214,205.36
Adobe-B4,Colorado,Adobe,Yes,No,-,"PQ625104, PQ625001, PQ624896",SRR30712213,489.13
Adobe-B6,Colorado,Adobe,Yes,No,-,"PQ625105, PQ625002, PQ624897",SRR30712212,653.93
Adobe-B8,Colorado,Adobe,Yes,Yes,Yes,"PQ625179, PQ625106, PQ625003, PQ624898",SRR30712214,62982.91
Adobe-C1,Colorado,Adobe,-,-,-,,SRR30712210,-
Adobe-C2,Colorado,Adobe,Yes,No,-,"PQ625107, PQ625004, PQ624899",SRR30712208,1357.89
Briarwood_D10,Colorado,Briarwood,-,-,-,,SRR30712207,-
Briarwood_D9,Colorado,Briarwood,Yes,Yes,Yes,"PQ625180, PQ625108, PQ625005, PQ624900",SRR30712206,4506.78
