name,target,ct,tm1,positive,location,sex,date
1020_Wabash_M_08182023_1,galbut_1600_1601,0,60.000,N,Wabash,male,August
1020_Wabash_M_08182023_2,galbut_1600_1601,15.948,84.354,Y,Wabash,male,August
1020_Wabash_M_08182023_3,galbut_1600_1601,15.587,84.641,Y,Wabash,male,August
1020_Wabash_M_08182023_4,galbut_1600_1601,29.869,84.641,Y,Wabash,male,August
1020_Wabash_M_08182023_5,galbut_1600_1601,12.741,84.636,Y,Wabash,male,August
1020_Wabash_M_08182023_6,galbut_1600_1601,32.014,84.069,Y,Wabash,male,August
1020_Wabash_M_08182023_7,galbut_1600_1601,22.138,84.321,Y,Wabash,male,August
1020_Wabash_M_08182023_8,galbut_1600_1601,0,60.001,N,Wabash,male,August
1020_Wabash_M_08182023_9,galbut_1600_1601,0,60.001,N,Wabash,male,August
1020_Wabash_M_08182023_10,galbut_1600_1601,34.246,82.513,N,Wabash,male,August
1020_Wabash_M_08182023_11,galbut_1600_1601,0,60.001,N,Wabash,male,August
1020_Wabash_M_08182023_12,galbut_1600_1601,0,60.001,N,Wabash,male,August
1020_Wabash_M_08182023_13,galbut_1600_1601,16.640,84.070,Y,Wabash,male,August
1020_Wabash_M_08182023_14,galbut_1600_1601,33.370,76.141,N,Wabash,male,August
1020_Wabash_M_08182023_15,galbut_1600_1601,0,60.000,N,Wabash,male,August
1020_Wabash_M_08182023_16,galbut_1600_1601,0,60.000,N,Wabash,male,August
1020_Wabash_M_08182023_17,galbut_1600_1601,18.017,84.353,Y,Wabash,male,August
1020_Wabash_M_08182023_18,galbut_1600_1601,15.662,84.211,Y,Wabash,male,August
1020_Wabash_M_08182023_19,galbut_1600_1601,0,73.009,N,Wabash,male,August
1020_Wabash_M_08182023_20,galbut_1600_1601,0,60.001,N,Wabash,male,August
1020_Wabash_M_08182023_21,galbut_1600_1601,15.831,83.929,Y,Wabash,male,August
1020_Wabash_M_08182023_22,galbut_1600_1601,0,82.513,N,Wabash,male,August
1020_Wabash_M_08182023_23,galbut_1600_1601,34.512,76.273,N,Wabash,male,August
1020_Wabash_M_08182023_24,galbut_1600_1601,16.923,84.055,Y,Wabash,male,August
1020_Wabash_M_08182023_25,galbut_1600_1601,34.221,80.248,N,Wabash,male,August
1020_Wabash_M_08182023_26,galbut_1600_1601,16.259,84.212,Y,Wabash,male,August
1020_Wabash_M_08182023_27,galbut_1600_1601,33.250,82.942,N,Wabash,male,August
1020_Wabash_M_08182023_28,galbut_1600_1601,18.646,84.212,Y,Wabash,female,August
1020_Wabash_M_08182023_29,galbut_1600_1601,0,60.000,N,Wabash,female,August
1020_Wabash_M_08182023_30,galbut_1600_1601,32.389,72.746,N,Wabash,female,August
1020_Wabash_M_08182023_31,galbut_1600_1601,19.895,84.500,Y,Wabash,female,August
1020_Wabash_M_08182023_32,galbut_1600_1601,0,60.000,N,Wabash,female,August
1020_Wabash_M_08182023_33,galbut_1600_1601,0,60.000,N,Wabash,female,August
1020_Wabash_M_08182023_34,galbut_1600_1601,19.374,84.179,Y,Wabash,female,August
1020_Wabash_M_08182023_35,galbut_1600_1601,0,60.001,N,Wabash,female,August
1020_Wabash_M_08182023_36,galbut_1600_1601,0,60.001,N,Wabash,female,August
1020_Wabash_M_08182023_37,galbut_1600_1601,34.299,82.654,N,Wabash,female,August
1020_Wabash_M_08182023_38,galbut_1600_1601,0,60.001,N,Wabash,female,August
1020_Wabash_M_08182023_39,galbut_1600_1601,0,60.001,N,Wabash,female,August
1020_Wabash_M_08182023_40,galbut_1600_1601,0,73.027,N,Wabash,female,August
1020_Wabash_M_08182023_41,galbut_1600_1601,31.221,82.230,N,Wabash,female,August
1020_Wabash_M_08182023_42,galbut_1600_1601,33.761,76.144,N,Wabash,female,August
1020_Wabash_M_08182023_43,galbut_1600_1601,29.739,84.217,Y,Wabash,female,August
1020_Wabash_M_08182023_44,galbut_1600_1601,0,72.884,N,Wabash,female,August
1020_Wabash_M_08182023_45,galbut_1600_1601,18.188,84.636,Y,Wabash,female,August
500_F_092023_82,galbut_1600_1601,31.993,72.319,N,Linden,female,September
500_F_092023_83,galbut_1600_1601,18.466,84.354,Y,Linden,female,September
500_F_092023_84,galbut_1600_1601,18.386,84.217,Y,Linden,female,September
500_F_092023_85,galbut_1600_1601,34.653,73.029,N,Linden,female,September
500_F_092023_86,galbut_1600_1601,17.889,84.211,Y,Linden,female,September
500_M_092023_105,galbut_1600_1601,15.813,84.211,Y,Linden,male,September
500_M_092023_106,galbut_1600_1601,21.830,84.038,Y,Linden,male,September
500_M_092023_107,galbut_1600_1601,16.942,84.038,Y,Linden,male,September
500_M_092023_108,galbut_1600_1601,27.537,83.929,Y,Linden,male,September
500_M_092023_109,galbut_1600_1601,15.147,83.929,Y,Linden,male,September
500_M_092023_110,galbut_1600_1601,0,84.904,N,Linden,male,September
500_M_092023_111,galbut_1600_1601,0,60.001,N,Linden,male,September
500_M_092023_112,galbut_1600_1601,0,86.761,N,Linden,male,September
500_M_092023_113,galbut_1600_1601,0,60.000,N,Linden,male,September
500_M_092023_114,galbut_1600_1601,33.740,80.535,N,Linden,male,September
500_M_092023_115,galbut_1600_1601,31.110,81.526,N,Linden,male,September
500_M_092023_116,galbut_1600_1601,15.414,84.211,Y,Linden,male,September
CVID_08252023_1,galbut_1600_1601,7.010,60.001,N,CVID,unk,August
CVID_08252023_2,galbut_1600_1601,0,60.001,N,CVID,unk,August
CVID_08252023_3,galbut_1600_1601,29.982,76.283,N,CVID,unk,August
CVID_08252023_4,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_5,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_6,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_7,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_8,galbut_1600_1601,23.980,72.578,N,CVID,unk,August
CVID_08252023_9,galbut_1600_1601,0,60.003,N,CVID,unk,August
CVID_08252023_10,galbut_1600_1601,30.182,60.003,N,CVID,unk,August
CVID_08252023_11,galbut_1600_1601,7.773,60.001,N,CVID,unk,August
CVID_08252023_12,galbut_1600_1601,0,60.001,N,CVID,unk,August
CVID_08252023_13,galbut_1600_1601,29.473,81.946,N,CVID,unk,August
CVID_08252023_14,galbut_1600_1601,0,60.001,N,CVID,unk,August
CVID_08252023_15,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_16,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_17,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_18,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_19,galbut_1600_1601,29.536,81.905,N,CVID,unk,August
CVID_08252023_20,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_21,galbut_1600_1601,8.955,60.003,N,CVID,unk,August
CVID_08252023_22,galbut_1600_1601,28.918,84.209,Y,CVID,unk,August
CVID_08252023_23,galbut_1600_1601,0,60.001,N,CVID,unk,August
CVID_08252023_24,galbut_1600_1601,0,60.001,N,CVID,unk,August
CVID_08252023_25,galbut_1600_1601,0,60.001,N,CVID,unk,August
CVID_08252023_26,galbut_1600_1601,0,60.001,N,CVID,unk,August
CVID_08252023_27,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_28,galbut_1600_1601,29.168,81.945,N,CVID,unk,August
CVID_08252023_29,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_30,galbut_1600_1601,27.857,76.140,N,CVID,unk,August
CVID_08252023_31,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_32,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_33,galbut_1600_1601,0,60.003,N,CVID,unk,August
CVID_08252023_34,galbut_1600_1601,11.550,84.067,Y,CVID,unk,August
CVID_08252023_35,galbut_1600_1601,0,60.001,N,CVID,unk,August
CVID_08252023_36,galbut_1600_1601,28.467,84.188,Y,CVID,unk,August
CVID_08252023_37,galbut_1600_1601,27.874,81.804,N,CVID,unk,August
CVID_08252023_38,galbut_1600_1601,0,60.001,N,CVID,unk,August
CVID_08252023_39,galbut_1600_1601,0,60.002,N,CVID,unk,August
CVID_08252023_40,galbut_1600_1601,33.794,60.002,N,CVID,unk,August
CVID_08252023_41,galbut_1600_1601,31.446,60.002,N,CVID,unk,August
1307_ F_08052023_1,galbut_1600_1601,0,60.002,N,Briarwood,female,August
1307_ F_08052023_2,galbut_1600_1601,0,60.002,N,Briarwood,female,August
1307_ F_08052023_3,galbut_1600_1601,0,87.133,N,Briarwood,female,August
1307_ F_08052023_4,galbut_1600_1601,11.832,84.067,Y,Briarwood,female,August
1037_M_08052023_1,galbut_1600_1601,27.958,84.067,Y,Briarwood,male,August
1037_M_08052023_2,galbut_1600_1601,32.020,60.001,N,Briarwood,male,August
1037_M_08052023_3,galbut_1600_1601,0,60.001,N,Briarwood,male,August
CVID_09112023_1,galbut_1600_1601,12.553,84.211,Y,CVID,unk,September
CVID_09112023_2,galbut_1600_1601,14.358,84.494,Y,CVID,unk,September
CVID_09112023_3,galbut_1600_1601,28.860,82.653,N,CVID,unk,September
CVID_09112023_4,galbut_1600_1601,30.404,82.795,N,CVID,unk,September
CVID_09112023_5,galbut_1600_1601,29.369,75.574,N,CVID,unk,September
CVID_09112023_6,galbut_1600_1601,26.277,84.351,Y,CVID,unk,September
CVID_09112023_7,galbut_1600_1601,0,60.002,N,CVID,unk,September
CVID_09112023_8,galbut_1600_1601,25.961,84.166,Y,CVID,unk,September
CVID_09112023_9,galbut_1600_1601,20.546,84.209,Y,CVID,unk,September
CVID_09112023_10,galbut_1600_1601,25.668,84.067,Y,CVID,unk,September
CVID_09112023_11,galbut_1600_1601,30.190,84.047,N,CVID,unk,September
CVID_09112023_12,galbut_1600_1601,0,60.001,N,CVID,unk,September
CVID_09112023_13,galbut_1600_1601,0,90.015,N,CVID,unk,September
CVID_09112023_14,galbut_1600_1601,30.714,84.069,Y,CVID,unk,September
CVID_09112023_15,galbut_1600_1601,28.997,84.069,Y,CVID,unk,September
CVID_09112023_16,galbut_1600_1601,10.386,84.211,Y,CVID,unk,September
CVID_09112023_17,galbut_1600_1601,12.712,84.068,Y,CVID,unk,September
CVID_09112023_18,galbut_1600_1601,28.141,84.210,Y,CVID,unk,September
CVID_10062023_1,galbut_1600_1601,13.964,84.069,Y,CVID,unk,October
CVID_10062023_2,galbut_1600_1601,28.042,84.069,Y,CVID,unk,October
CVID_10062023_3,galbut_1600_1601,9.841,84.494,Y,CVID,unk,October
