sampleID	referenceFasta
1020-A8	virus_refseq/reference_seqs.fasta
1020-A8-2	virus_refseq/reference_seqs.fasta
1020-B11	virus_refseq/reference_seqs.fasta
1020-C1	virus_refseq/reference_seqs.fasta
1020-D9	virus_refseq/reference_seqs.fasta
1020-F-0818-E4	virus_refseq/reference_seqs.fasta
1020-F3	virus_refseq/reference_seqs.fasta
1020-F8	virus_refseq/reference_seqs.fasta
1020-G1	virus_refseq/reference_seqs.fasta
1020-H7	virus_refseq/reference_seqs.fasta
1428-F-15	virus_refseq/reference_seqs.fasta
1428-M-36	virus_refseq/reference_seqs.fasta
1428-M-43	virus_refseq/reference_seqs.fasta
500-F-12	virus_refseq/reference_seqs.fasta
500-F-42	virus_refseq/reference_seqs.fasta
500-M-100	virus_refseq/reference_seqs.fasta
500-M-40	virus_refseq/reference_seqs.fasta
500-M-55	virus_refseq/reference_seqs.fasta
500-M-6	virus_refseq/reference_seqs.fasta
500-M-71	virus_refseq/reference_seqs.fasta
500-M-F9	virus_refseq/reference_seqs.fasta
Adobe-C1	virus_refseq/reference_seqs.fasta
Briarwood-D10	virus_refseq/reference_seqs.fasta
CVID-0911-E3	virus_refseq/reference_seqs.fasta
CVID-0911-F3	virus_refseq/reference_seqs.fasta
CVID-1006-H4	virus_refseq/reference_seqs.fasta
hydei-20-TD-1	virus_refseq/reference_seqs.fasta
ME-M-13	virus_refseq/reference_seqs.fasta
ME-M-9	virus_refseq/reference_seqs.fasta
mel-20-AG-4	virus_refseq/reference_seqs.fasta
mel-20-AG-5	virus_refseq/reference_seqs.fasta
mel-21-LK-5	virus_refseq/reference_seqs.fasta
Myrtle-E10	virus_refseq/reference_seqs.fasta
Myrtle-D1	virus_refseq/reference_seqs.fasta
Myrtle-D8	virus_refseq/reference_seqs.fasta
Myrtle-E4	virus_refseq/reference_seqs.fasta
OH-M-3	virus_refseq/reference_seqs.fasta
OH-M-4	virus_refseq/reference_seqs.fasta
OH-M-6	virus_refseq/reference_seqs.fasta
OH-M-7	virus_refseq/reference_seqs.fasta
OH-F-1	virus_refseq/reference_seqs.fasta
OH-F-2	virus_refseq/reference_seqs.fasta
OH-F-3	virus_refseq/reference_seqs.fasta
Peach-1-B2	virus_refseq/reference_seqs.fasta
Peach-11-F11	virus_refseq/reference_seqs.fasta
Peach-12-H1	virus_refseq/reference_seqs.fasta
Peach-2-B4	virus_refseq/reference_seqs.fasta
Peach-3-B5	virus_refseq/reference_seqs.fasta
Peach-4-B7	virus_refseq/reference_seqs.fasta
Peach-5-B9	virus_refseq/reference_seqs.fasta
Peach-6-E5	virus_refseq/reference_seqs.fasta
Peach-7-F6	virus_refseq/reference_seqs.fasta
sim-20-AG-3	virus_refseq/reference_seqs.fasta
sim-20-TD-5	virus_refseq/reference_seqs.fasta
