id 	align_seq	segment	num_reads
1020-A8-2	MW976848	Chaq	125
1020-A8	MW976848	Chaq	85
1020-A8	D_mel_USA_2023_1428-M-42_Chaq_virus_Complete_CDS	Chaq	4
1020-B11	MW976848	Chaq	104
1020-C1	MW976848	Chaq	114
1020-D9	MW976848	Chaq	50
1020-D9	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	6
1020-F-0818-E4	MW976848	Chaq	86
1020-F-0818-E4	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	10
1020-F-0818-E4	D_mel_USA_2023_500-F-41_Galbut_virus_RNA3_Complete_CDS_1	3	10
1020-F3	MW976848	Chaq	134
1020-F3	D_mel_USA_2023_1428-M-42_Chaq_virus_Complete_CDS	Chaq	51
1020-F3	D_mel_USA_2023_1428-M-42_Galbut_virus_RNA3_Complete_CDS	3	50
1020-F3	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	30
1020-F3	MT742164	1	8
1020-F3	D_mel_USA_2023_ME-M-8_Chaq_virus_Complete_CDS	Chaq	1
1020-F8	MW976848	Chaq	177
1020-G1	MW976848	Chaq	77
1020-G1	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	4
1020-G1	D_mel_USA_2023_1020-M-0818-A7_Chaq_virus_Complete_CDS	Chaq	1
1020-G1	D_mel_USA_2023_OH-M-5_Chaq_virus_Complete_CDS	Chaq	1
1020-H7	MW976848	Chaq	76
1428-F-15	MW976848	Chaq	31
1428-M-36	MW976848	Chaq	75
1428-M-36	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	4
1428-M-36	D_mel_USA_2023_1428-M-42_Galbut_virus_RNA3_Complete_CDS	3	4
1428-M-36	MT742164	1	2
1428-M-43	MW976848	Chaq	105
1428-M-43	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	74
1428-M-43	D_mel_USA_2023_1428-M-42_Galbut_virus_RNA3_Complete_CDS	3	68
1428-M-43	D_mel_USA_2023_1428-M-42_Chaq_virus_Complete_CDS	Chaq	50
1428-M-43	MT742164	1	20
1428-M-43	D_mel_USA_2023_ME-M-4_Galbut_virus_RNA2_Complete_CDS	2	6
1428-M-43	D_mel_USA_2023_Adobe-B4_Galbut_virus_RNA3_Complete_CDS	3	3
1428-M-43	D_mel_USA_2023_500-M-G2_Galbut_virus_RNA3_Complete_CDS	3	1
500-F-12	MW976848	Chaq	29
500-F-12	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	2
500-F-42	MW976848	Chaq	60
500-F-42	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	16
500-F-42	MT742164	1	6
500-M-100	MW976848	Chaq	46
500-M-100	D_mel_USA_2023_500-F-41_Galbut_virus_RNA3_Complete_CDS_1	3	18
500-M-100	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	6
500-M-100	MT742164	1	2
500-M-40	MW976848	Chaq	113
500-M-55	MW976848	Chaq	155
500-M-55	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	6
500-M-55	D_mel_USA_2023_1428-M-42_Galbut_virus_RNA3_Complete_CDS	3	2
500-M-55	D_mel_USA_2023_1020-M-0818-A7_Chaq_virus_Complete_CDS	Chaq	2
500-M-55	D_mel_USA_2023_OH-M-5_Chaq_virus_Complete_CDS	Chaq	2
500-M-6	MW976848	Chaq	45
500-M-71	MW976848	Chaq	199
500-M-71	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	25
500-M-71	MT742164	1	12
500-M-71	MH384362	3	4
500-M-71	D_mel_USA_2023_500-F-41_Galbut_virus_RNA3_Complete_CDS_1	3	4
500-M-71	D_mel_USA_2023_500-M-61-2_Galbut_virus_RNA3_Complete_CDS	3	2
500-M-F9	MW976848	Chaq	58
500-M-F9	MT742164	1	10
500-M-F9	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	10
500-M-F9	D_mel_USA_2023_500-F-41_Galbut_virus_RNA3_Complete_CDS_1	3	9
500-M-F9	D_mel_USA_2023_1020-M-0818-A7_Chaq_virus_Complete_CDS	Chaq	2
500-M-F9	D_mel_USA_2023_OH-M-5_Chaq_virus_Complete_CDS	Chaq	1
500-M-F9	D_mel_USA_2023_Penn-M-2_Chaq_virus_Complete_CDS_2	Chaq	1
Adobe-C1	MW976848	Chaq	70
Adobe-C1	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	8
Adobe-C1	D_mel_USA_2023_ME-M-8_Chaq_virus_Complete_CDS	Chaq	4
Adobe-C1	MT742164	1	2
Briarwood-D10	MW976848	Chaq	83
CVID-0911-E3	MW976848	Chaq	282
CVID-0911-E3	D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS	2	4
