isolate,accession,location,date,species,sample_id,label_format,branch_format
D_mel_USA_2021_mel-21-MDS-9_Chaq_virus_Complete_CDS,PQ625154,Colorado,2021,melanogaster,Colorado_2021_PQ625154,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-11_Chaq_virus_Complete_CDS,PQ625155,Colorado,2023,melanogaster,Colorado_2023_PQ625155,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-41_Chaq_virus_Complete_CDS,PQ625156,Colorado,2023,melanogaster,Colorado_2023_PQ625156,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-17_Chaq_virus_Complete_CDS,PQ625157,Colorado,2023,melanogaster,Colorado_2023_PQ625157,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-57_Chaq_virus_Complete_CDS,PQ625158,Colorado,2023,melanogaster,Colorado_2023_PQ625158,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-61-2_Chaq_virus_Complete_CDS,PQ625159,Colorado,2023,melanogaster,Colorado_2023_PQ625159,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-61_Chaq_virus_Complete_CDS,PQ625160,Colorado,2023,melanogaster,Colorado_2023_PQ625160,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-65-2_Chaq_virus_Complete_CDS,PQ625161,Colorado,2023,melanogaster,Colorado_2023_PQ625161,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-65_Chaq_virus_Complete_CDS,PQ625162,Colorado,2023,melanogaster,Colorado_2023_PQ625162,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-71-2_Chaq_virus_Complete_CDS,PQ625163,Colorado,2023,melanogaster,Colorado_2023_PQ625163,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-84_Chaq_virus_Complete_CDS,PQ625164,Colorado,2023,melanogaster,Colorado_2023_PQ625164,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-F10_Chaq_virus_Complete_CDS,PQ625165,Colorado,2023,melanogaster,Colorado_2023_PQ625165,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-A7_Chaq_virus_Complete_CDS,PQ625166,Colorado,2023,melanogaster,Colorado_2023_PQ625166,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-B6_Chaq_virus_Complete_CDS,PQ625167,Colorado,2023,melanogaster,Colorado_2023_PQ625167,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-D3_Chaq_virus_Complete_CDS,PQ625168,Colorado,2023,melanogaster,Colorado_2023_PQ625168,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F6_Chaq_virus_Complete_CDS,PQ625169,Colorado,2023,melanogaster,Colorado_2023_PQ625169,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F-31_Chaq_virus_Complete_CDS,PQ625170,Colorado,2023,melanogaster,Colorado_2023_PQ625170,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F-40_Chaq_virus_Complete_CDS,PQ625171,Colorado,2023,melanogaster,Colorado_2023_PQ625171,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F-0818-D4_Chaq_virus_Complete_CDS,PQ625172,Colorado,2023,melanogaster,Colorado_2023_PQ625172,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-M-19_Chaq_virus_Complete_CDS,PQ625173,Colorado,2023,melanogaster,Colorado_2023_PQ625173,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-M-0818-A5_Chaq_virus_Complete_CDS,PQ625174,Colorado,2023,melanogaster,Colorado_2023_PQ625174,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-M-0818-A7_Chaq_virus_Complete_CDS,PQ625175,Colorado,2023,melanogaster,Colorado_2023_PQ625175,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-F-8_Chaq_virus_Complete_CDS,PQ625176,Colorado,2023,melanogaster,Colorado_2023_PQ625176,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-M-4_Chaq_virus_Complete_CDS,PQ625177,Colorado,2023,melanogaster,Colorado_2023_PQ625177,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-M-42_Chaq_virus_Complete_CDS,PQ625178,Colorado,2023,melanogaster,Colorado_2023_PQ625178,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_Adobe-B8_Chaq_virus_Complete_CDS,PQ625179,Colorado,2023,melanogaster,Colorado_2023_PQ625179,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_Briarwood-D9_Chaq_virus_Complete_CDS,PQ625180,Colorado,2023,melanogaster,Colorado_2023_PQ625180,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-0911-F4_Chaq_virus_Complete_CDS,PQ625181,Colorado,2023,melanogaster,Colorado_2023_PQ625181,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-1006-G6_Chaq_virus_Complete_CDS,PQ625182,Colorado,2023,melanogaster,Colorado_2023_PQ625182,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-1006-G7_Chaq_virus_Complete_CDS,PQ625183,Colorado,2023,melanogaster,Colorado_2023_PQ625183,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-1006-H2_Chaq_virus_Complete_CDS,PQ625184,Colorado,2023,melanogaster,Colorado_2023_PQ625184,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-1006-H3_Chaq_virus_Complete_CDS,PQ625185,Colorado,2023,melanogaster,Colorado_2023_PQ625185,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_James-A5_Chaq_virus_Complete_CDS,PQ625186,Colorado,2023,melanogaster,Colorado_2023_PQ625186,label #0000FF normal 1,label #0000FF normal 1
