isolate,id,accession
mel-21-MDS-9,Colorado_2021_PQ625154,PQ625154
500-F-11,Colorado_2023_PQ625155,PQ625155
500-F-41,Colorado_2023_PQ625156,PQ625156
500-M-17,Colorado_2023_PQ625157,PQ625157
500-M-57,Colorado_2023_PQ625158,PQ625158
500-M-61-2,Colorado_2023_PQ625159,PQ625159
500-M-61,Colorado_2023_PQ625160,PQ625160
500-M-65-2,Colorado_2023_PQ625161,PQ625161
500-M-65,Colorado_2023_PQ625162,PQ625162
500-M-71-2,Colorado_2023_PQ625163,PQ625163
500-M-84,Colorado_2023_PQ625164,PQ625164
500-M-F10,Colorado_2023_PQ625165,PQ625165
1020-A7,Colorado_2023_PQ625166,PQ625166
1020-B6,Colorado_2023_PQ625167,PQ625167
1020-D3,Colorado_2023_PQ625168,PQ625168
1020-F6,Colorado_2023_PQ625169,PQ625169
1020-F-31,Colorado_2023_PQ625170,PQ625170
1020-F-40,Colorado_2023_PQ625171,PQ625171
1020-F-0818-D4,Colorado_2023_PQ625172,PQ625172
1020-M-19,Colorado_2023_PQ625173,PQ625173
1020-M-0818-A5,Colorado_2023_PQ625174,PQ625174
1020-M-0818-A7,Colorado_2023_PQ625175,PQ625175
1428-F-8,Colorado_2023_PQ625176,PQ625176
1428-M-4,Colorado_2023_PQ625177,PQ625177
1428-M-42,Colorado_2023_PQ625178,PQ625178
Adobe-B8,Colorado_2023_PQ625179,PQ625179
Briarwood-D9,Colorado_2023_PQ625180,PQ625180
CVID-0911-F4,Colorado_2023_PQ625181,PQ625181
CVID-1006-G6,Colorado_2023_PQ625182,PQ625182
CVID-1006-G7,Colorado_2023_PQ625183,PQ625183
CVID-1006-H2,Colorado_2023_PQ625184,PQ625184
CVID-1006-H3,Colorado_2023_PQ625185,PQ625185
James-A5,Colorado_2023_PQ625186,PQ625186
ME-F-1,Colorado_2023_PQ625187,PQ625187
ME-F-1,Maine_2023_PQ625188,PQ625188
ME-F-2,Maine_2023_PQ625189,PQ625189
ME-F-3,Maine_2023_PQ625190,PQ625190
ME-M-1,Maine_2023_PQ625191,PQ625191
ME-M-2,Maine_2023_PQ625192,PQ625192
ME-M-2,Maine_2023_PQ625193,PQ625193
ME-M-7,Maine_2023_PQ625194,PQ625194
ME-M-8,Maine_2023_PQ625195,PQ625195
ME-M-11,Maine_2023_PQ625196,PQ625196
Myrtle-E9,Colorado_2023_PQ625197,PQ625197
OH-M-5,Ohio_2023_PQ625198,PQ625198
Peach-13-H7,Colorado_2023_PQ625199,PQ625199
Penn-F-1,Pennsylvania_2023_PQ625200,PQ625200
Penn-F-2,Pennsylvania_2023_PQ625201,PQ625201
Penn-F-2,Pennsylvania_2023_PQ625202,PQ625202
Penn-F-3,Pennsylvania_2023_PQ625203,PQ625203
Penn-F-4,Pennsylvania_2023_PQ625204,PQ625204
