isolate,id,accession
mel-20-TD-3,Colorado_2020_PQ625057,PQ625057
sim-20-TD-4,Colorado_2020_PQ625058,PQ625058
mel-21-MDS-9,Colorado_2021_PQ625059,PQ625059
500-F-11,Colorado_2023_PQ625060,PQ625060
500-F-21,Colorado_2023_PQ625061,PQ625061
500-F-41,Colorado_2023_PQ625062,PQ625062
500-F-67,Colorado_2023_PQ625063,PQ625063
500-M-16,Colorado_2023_PQ625064,PQ625064
500-M-17,Colorado_2023_PQ625065,PQ625065
500-M-54,Colorado_2023_PQ625066,PQ625066
500-M-57,Colorado_2023_PQ625067,PQ625067
500-M-60,Colorado_2023_PQ625068,PQ625068
500-M-61-2,Colorado_2023_PQ625069,PQ625069
500-M-61,Colorado_2023_PQ625070,PQ625070
500-M-65-2,Colorado_2023_PQ625071,PQ625071
500-M-65,Colorado_2023_PQ625072,PQ625072
500-M-71-2,Colorado_2023_PQ625073,PQ625073
500-M-83,Colorado_2023_PQ625074,PQ625074
500-M-84,Colorado_2023_PQ625075,PQ625075
500-M-F10,Colorado_2023_PQ625076,PQ625076
500-M-F11,Colorado_2023_PQ625077,PQ625077
500-M-G2,Colorado_2023_PQ625078,PQ625078
1020-A7,Colorado_2023_PQ625079,PQ625079
1020-B6,Colorado_2023_PQ625080,PQ625080
1020-C2,Colorado_2023_PQ625081,PQ625081
1020-D1,Colorado_2023_PQ625082,PQ625082
1020-D3,Colorado_2023_PQ625083,PQ625083
1020-F1,Colorado_2023_PQ625084,PQ625084
1020-F6,Colorado_2023_PQ625085,PQ625085
1020-F-31,Colorado_2023_PQ625086,PQ625086
1020-F-36,Colorado_2023_PQ625087,PQ625087
1020-F-40,Colorado_2023_PQ625088,PQ625088
1020-F-44,Colorado_2023_PQ625089,PQ625089
1020-F-0818-D4,Colorado_2023_PQ625090,PQ625090
1020-F-0818-D11,Colorado_2023_PQ625091,PQ625091
1020-G3,Colorado_2023_PQ625092,PQ625092
1020-M-8,Colorado_2023_PQ625093,PQ625093
1020-M-19,Colorado_2023_PQ625094,PQ625094
1020-M-0818-A5,Colorado_2023_PQ625095,PQ625095
1020-M-0818-A7,Colorado_2023_PQ625096,PQ625096
1020-M-0818-A10,Colorado_2023_PQ625097,PQ625097
1428-F-8,Colorado_2023_PQ625098,PQ625098
1428-F-21,Colorado_2023_PQ625099,PQ625099
1428-M-3,Colorado_2023_PQ625100,PQ625100
1428-M-4,Colorado_2023_PQ625101,PQ625101
1428-M-21,Colorado_2023_PQ625102,PQ625102
1428-M-42,Colorado_2023_PQ625103,PQ625103
Adobe-B4,Colorado_2023_PQ625104,PQ625104
Adobe-B6,Colorado_2023_PQ625105,PQ625105
Adobe-B8,Colorado_2023_PQ625106,PQ625106
Adobe-C2,Colorado_2023_PQ625107,PQ625107
Briarwood-D9,Colorado_2023_PQ625108,PQ625108
CVID-0825-B1,Colorado_2023_PQ625109,PQ625109
CVID-0825-C10,Colorado_2023_PQ625110,PQ625110
CVID-0911-F4,Colorado_2023_PQ625111,PQ625111
CVID-1006-G6,Colorado_2023_PQ625112,PQ625112
CVID-1006-G7,Colorado_2023_PQ625113,PQ625113
CVID-1006-H2,Colorado_2023_PQ625114,PQ625114
CVID-1006-H3,Colorado_2023_PQ625115,PQ625115
James-A4,Colorado_2023_PQ625116,PQ625116
James-A5,Colorado_2023_PQ625117,PQ625117
ME-F-1,Maine_2023_PQ625118,PQ625118
ME-F-3,Maine_2023_PQ625119,PQ625119
ME-M-1,Maine_2023_PQ625120,PQ625120
ME-M-2,Maine_2023_PQ625121,PQ625121
ME-M-4,Maine_2023_PQ625122,PQ625122
ME-M-6,Maine_2023_PQ625123,PQ625123
ME-M-7,Maine_2023_PQ625124,PQ625124
ME-M-7,Maine_2023_PQ625125,PQ625125
ME-M-8,Maine_2023_PQ625126,PQ625126
ME-M-10,Maine_2023_PQ625127,PQ625127
ME-M-11,Maine_2023_PQ625128,PQ625128
ME-M-14,Maine_2023_PQ625129,PQ625129
ME-M-17,Maine_2023_PQ625130,PQ625130
ME-M-18,Maine_2023_PQ625131,PQ625131
ME-M-19,Maine_2023_PQ625132,PQ625132
ME-M-20,Maine_2023_PQ625133,PQ625133
Myrtle-D5,Colorado_2023_PQ625134,PQ625134
Myrtle-D11,Colorado_2023_PQ625135,PQ625135
Myrtle-E9,Colorado_2023_PQ625136,PQ625136
OH-M-5,Ohio_2023_PQ625137,PQ625137
Peach-8-F7,Colorado_2023_PQ625138,PQ625138
Peach-9-F8,Colorado_2023_PQ625139,PQ625139
Peach-10-F10,Colorado_2023_PQ625140,PQ625140
Peach-13-H7,Colorado_2023_PQ625141,PQ625141
Penn-F-2,Pennsylvania_2023_PQ625142,PQ625142
Penn-F-3,Pennsylvania_2023_PQ625143,PQ625143
Penn-F-4,Pennsylvania_2023_PQ625144,PQ625144
Penn-F-4,Pennsylvania_2023_PQ625145,PQ625145
Penn-F-9,Pennsylvania_2023_PQ625146,PQ625146
Penn-F-12,Pennsylvania_2023_PQ625147,PQ625147
Penn-M-2,Pennsylvania_2023_PQ625148,PQ625148
Penn-M-8,Pennsylvania_2023_PQ625149,PQ625149
Penn-M-10,Pennsylvania_2023_PQ625150,PQ625150
Penn-M-14,Pennsylvania_2023_PQ625151,PQ625151
Penn-M-15,Pennsylvania_2023_PQ625152,PQ625152
ME-M-3,Maine_2023_PQ625153,PQ625153
EVE,EVE,galbut_EVE_from_Wallace_supp_fig_S10
2013_China,China_2013_KX884152,KX884152
2008_Australia_MEL216G,Australia_2008_MH384335,MH384335
2008_Australia_MEL193G,Australia_2008_MH384353,MH384353
2008_Australia_MEL191G,Australia_2008_MH384360,MH384360
2008_Australia_MEL163G,Australia_2008_MH384364,MH384364
2008_Australia_MEL187G,Australia_2008_MH384372,MH384372
2008_Australia_MEL195G,Australia_2008_MH384378,MH384378
2017_Colorado,Colorado_2017_MT742160,MT742160
2018_Colorado,Colorado_2018_MT742164,MT742164
2018_Australia_k119_14665,Australia_2018_MW976823,MW976823
2018_Australia_k119_7000,Australia_2018_MW976824,MW976824
2018_Australia_k119_15592,Australia_2018_MW976825,MW976825
2018_Australia_k119_17720,Australia_2018_MW976826,MW976826
2018_Australia_k119_4103,Australia_2018_MW976827,MW976827
2018_Australia_k119_17804,Australia_2018_MW976828,MW976828
2018_Australia_k119_21494,Australia_2018_MW976829,MW976829
2018_Australia_k119_18395,Australia_2018_MW976830,MW976830
2018_Australia_k119_15212,Australia_2018_MW976831,MW976831
2018_Australia_k119_16819,Australia_2018_MW976832,MW976832
2018_Australia_k119_15935,Australia_2018_MW976833,MW976833
2018_Australia_k119_3037,Australia_2018_MW976834,MW976834
2018_Australia_k119_2472,Australia_2018_MW976835,MW976835
2018_Australia_k119_14538,Australia_2018_MW976836,MW976836
2020_Colorado_TD_FoCo20_3,Colorado_2020_OR729093,OR729093
2020_Colorado_AG_FoCo20_1,Colorado_2020_OR729094,OR729094
2020_Colorado_TD_FoCo20_1,Colorado_2020_OR729095,OR729095
2020_Colorado_TD_FoCo20_2,Colorado_2020_OR729096,OR729096
2020_Colorado_TD_FoCo20_5,Colorado_2020_OR729097,OR729097
2020_Colorado_TD_FoCo20_6,Colorado_2020_OR729098,OR729098
2021_Colorado_LK_FoCo21_2,Colorado_2021_OR729099,OR729099
2021_Colorado_LK_FoCo21_6,Colorado_2021_OR729100,OR729100
2021_Colorado_MD_FoCo21_1,Colorado_2021_OR729101,OR729101
2021_Colorado_MD_FoCo21_2,Colorado_2021_OR729102,OR729102
2021_Colorado_MD_FoCo21_3,Colorado_2021_OR729103,OR729103
2021_Colorado_MD_FoCo21_4,Colorado_2021_OR729104,OR729104
2021_Colorado_MD_FoCo21_5,Colorado_2021_OR729105,OR729105
2021_Colorado_MD_FoCo21_7,Colorado_2021_OR729106,OR729106
2021_Colorado_MD_FoCo21_8,Colorado_2021_OR729107,OR729107
2021_Colorado_MD_FoCo21_9,Colorado_2021_OR729108,OR729108
2021_Colorado_MD_FoCo21_10,Colorado_2021_OR729109,OR729109
2021_Colorado_MD_FoCo21_11,Colorado_2021_OR729110,OR729110
2021_Colorado_MD_FoCo21_12,Colorado_2021_OR729111,OR729111
2021_Colorado_MD_FoCo21_13,Colorado_2021_OR729112,OR729112
2021_Colorado_MD_FoCo21_17,Colorado_2021_OR729113,OR729113
2021_Colorado_MD_FoCo21_18,Colorado_2021_OR729114,OR729114
2021_Colorado_MD_FoCo21_19,Colorado_2021_OR729115,OR729115
2021_Colorado_MD_FoCo21_20,Colorado_2021_OR729116,OR729116
2021_Colorado_MD_FoCo21_21,Colorado_2021_OR729117,OR729117
1908_Illinois,Illinois_1908_OR820562,OR820562
1930_Illinois,Illinois_1930_OR820569,OR820569
1919_Minnesota,Minnesota_1919_OR820575,OR820575
1963_Pennsylvania,Pennsylvania_1963_OR820588,OR820588
2000_California,California_2000_OR820596,OR820596
2011_California,California_2011_OR820600,OR820600
