LABELS
SEPARATOR SPACE
DATA
PQ624841 Colorado_2020_PQ624841
PQ624842 Colorado_2020_PQ624842
PQ624843 Colorado_2020_PQ624843
PQ624844 Colorado_2020_PQ624844
PQ624845 Colorado_2021_PQ624845
PQ624846 Colorado_2023_PQ624846
PQ624847 Colorado_2023_PQ624847
PQ624848 Colorado_2023_PQ624848
PQ624849 Colorado_2023_PQ624849
PQ624850 Colorado_2023_PQ624850
PQ624851 Colorado_2023_PQ624851
PQ624852 Colorado_2023_PQ624852
PQ624853 Colorado_2023_PQ624853
PQ624854 Colorado_2023_PQ624854
PQ624855 Colorado_2023_PQ624855
PQ624856 Colorado_2023_PQ624856
PQ624857 Colorado_2023_PQ624857
PQ624858 Colorado_2023_PQ624858
PQ624859 Colorado_2023_PQ624859
PQ624860 Colorado_2023_PQ624860
PQ624861 Colorado_2023_PQ624861
PQ624862 Colorado_2023_PQ624862
PQ624863 Colorado_2023_PQ624863
PQ624864 Colorado_2023_PQ624864
PQ624865 Colorado_2023_PQ624865
PQ624866 Colorado_2023_PQ624866
PQ624867 Colorado_2023_PQ624867
PQ624868 Colorado_2023_PQ624868
PQ624869 Colorado_2023_PQ624869
PQ624870 Colorado_2023_PQ624870
PQ624871 Colorado_2023_PQ624871
PQ624872 Colorado_2023_PQ624872
PQ624873 Colorado_2023_PQ624873
PQ624874 Colorado_2023_PQ624874
PQ624875 Colorado_2023_PQ624875
PQ624876 Colorado_2023_PQ624876
PQ624877 Colorado_2023_PQ624877
PQ624878 Colorado_2023_PQ624878
PQ624879 Colorado_2023_PQ624879
PQ624880 Colorado_2023_PQ624880
PQ624881 Colorado_2023_PQ624881
PQ624882 Colorado_2023_PQ624882
PQ624883 Colorado_2023_PQ624883
PQ624884 Colorado_2023_PQ624884
PQ624885 Colorado_2023_PQ624885
PQ624886 Colorado_2023_PQ624886
PQ624887 Colorado_2023_PQ624887
PQ624888 Colorado_2023_PQ624888
PQ624889 Colorado_2023_PQ624889
PQ624890 Colorado_2023_PQ624890
PQ624891 Colorado_2023_PQ624891
PQ624892 Colorado_2023_PQ624892
PQ624893 Colorado_2023_PQ624893
PQ624894 Colorado_2023_PQ624894
PQ624895 Colorado_2023_PQ624895
PQ624896 Colorado_2023_PQ624896
PQ624897 Colorado_2023_PQ624897
PQ624898 Colorado_2023_PQ624898
PQ624899 Colorado_2023_PQ624899
PQ624900 Colorado_2023_PQ624900
PQ624901 Colorado_2023_PQ624901
PQ624902 Colorado_2023_PQ624902
PQ624903 Colorado_2023_PQ624903
PQ624904 Colorado_2023_PQ624904
PQ624905 Colorado_2023_PQ624905
PQ624906 Colorado_2023_PQ624906
PQ624907 Colorado_2023_PQ624907
PQ624908 Colorado_2023_PQ624908
PQ624909 Colorado_2023_PQ624909
PQ624910 Maine_2023_PQ624910
PQ624911 Maine_2023_PQ624911
PQ624912 Maine_2023_PQ624912
PQ624913 Maine_2023_PQ624913
PQ624914 Maine_2023_PQ624914
PQ624915 Maine_2023_PQ624915
PQ624916 Maine_2023_PQ624916
PQ624917 Maine_2023_PQ624917
PQ624918 Maine_2023_PQ624918
PQ624919 Maine_2023_PQ624919
PQ624920 Maine_2023_PQ624920
PQ624921 Maine_2023_PQ624921
PQ624922 Maine_2023_PQ624922
PQ624923 Maine_2023_PQ624923
PQ624924 Maine_2023_PQ624924
PQ624925 Maine_2023_PQ624925
PQ624926 Maine_2023_PQ624926
PQ624927 Maine_2023_PQ624927
PQ624928 Maine_2023_PQ624928
PQ624929 Colorado_2023_PQ624929
PQ624930 Colorado_2023_PQ624930
PQ624931 Colorado_2023_PQ624931
PQ624932 Ohio_2023_PQ624932
PQ624933 Unknown_2023_PQ624933
PQ624934 Unknown_2023_PQ624934
PQ624935 Unknown_2023_PQ624935
PQ624936 Unknown_2023_PQ624936
PQ624937 Unknown_2023_PQ624937
PQ624938 Pennsylvania_2023_PQ624938
PQ624939 Pennsylvania_2023_PQ624939
PQ624940 Pennsylvania_2023_PQ624940
PQ624941 Pennsylvania_2023_PQ624941
PQ624942 Pennsylvania_2023_PQ624942
PQ624943 Pennsylvania_2023_PQ624943
PQ624944 Pennsylvania_2023_PQ624944
PQ624945 Pennsylvania_2023_PQ624945
PQ624946 Pennsylvania_2023_PQ624946
PQ624947 Pennsylvania_2023_PQ624947
PQ624948 Pennsylvania_2023_PQ624948
PQ624949 Pennsylvania_2023_PQ624949
PQ624950 Pennsylvania_2023_PQ624950
PQ624951 Pennsylvania_2023_PQ624951
PQ624952 Maine_2023_PQ624952
MH384337 Australia_2008_MH384337
MH384355 Australia_2008_MH384355
MH384362 Australia_2008_MH384362
MH384366 Australia_2008_MH384366
MH384374 Australia_2008_MH384374
MH384380 Australia_2008_MH384380
MT742162 Colorado_2017_MT742162
MT742166 Colorado_2018_MT742166
OR729065 Colorado_2020_OR729065
OR729066 Colorado_2020_OR729066
OR729067 Colorado_2020_OR729067
OR729068 Colorado_2020_OR729068
OR729069 Colorado_2020_OR729069
OR729070 Colorado_2020_OR729070
OR729071 Colorado_2021_OR729071
OR729072 Colorado_2021_OR729072
OR729073 Colorado_2021_OR729073
OR729074 Colorado_2021_OR729074
OR729075 Colorado_2021_OR729075
OR729076 Colorado_2021_OR729076
OR729077 Colorado_2021_OR729077
OR729078 Colorado_2021_OR729078
OR729079 Colorado_2021_OR729079
OR729080 Colorado_2021_OR729080
OR729081 Colorado_2021_OR729081
OR729082 Colorado_2021_OR729082
OR729083 Colorado_2021_OR729083
OR729084 Colorado_2021_OR729084
OR729085 Colorado_2021_OR729085
OR729086 Colorado_2021_OR729086
OR729087 Colorado_2021_OR729087
OR729088 Colorado_2021_OR729088
OR729089 Colorado_2021_OR729089
OR729090 Colorado_2021_OR729090
OR729091 Colorado_2021_OR729091
OR729092 Colorado_2021_OR729092
OR820563 Illinois_1908_OR820563
OR820570 Illinois_1930_OR820570
OR820576 Minnesota_1919_OR820576
OR820589 Pennsylvania_1963_OR820589
OR820597 California_2000_OR820597
OR820601 California_2011_OR820601
SRX10234776_RNA3 Australia_2018_PV185867
SRX10234777_RNA3 Australia_2018_PV185869
SRX10234778_RNA3 Australia_2018_PV185871
SRX10234779_RNA3 Australia_2018_PV185873
SRX10234780_RNA3 Australia_2018_PV185875
SRX10234781_RNA3 Australia_2018_PV185877
SRX10234782_RNA3 Australia_2018_PV185879
SRX10234784_RNA3 Australia_2018_PV185882
SRX10234785_RNA3 Australia_2018_PV185884
SRX10234786_RNA3 Australia_2018_PV185886
SRX10234787_RNA3 Australia_2018_PV185888
SRX10234788_RNA3 Australia_2018_PV185890
SRX10234789_RNA3 Australia_2018_PV185892
SRX10234790_RNA3 Australia_2018_PV185894
