LABELS
SEPARATOR SPACE
DATA
PQ625057 Colorado_2020_mel-20-TD-3_PQ625057
PQ625058 Colorado_2020_sim-20-TD-4_PQ625058
PQ625059 Colorado_2021_mel-21-MDS-9_PQ625059
PQ625060 Colorado_2023_500-F-11_PQ625060
PQ625061 Colorado_2023_500-F-21_PQ625061
PQ625062 Colorado_2023_500-F-41_PQ625062
PQ625063 Colorado_2023_500-F-67_PQ625063
PQ625064 Colorado_2023_500-M-16_PQ625064
PQ625065 Colorado_2023_500-M-17_PQ625065
PQ625066 Colorado_2023_500-M-54_PQ625066
PQ625067 Colorado_2023_500-M-57_PQ625067
PQ625068 Colorado_2023_500-M-60_PQ625068
PQ625069 Colorado_2023_500-M-61-2_PQ625069
PQ625070 Colorado_2023_500-M-61_PQ625070
PQ625071 Colorado_2023_500-M-65-2_PQ625071
PQ625072 Colorado_2023_500-M-65_PQ625072
PQ625073 Colorado_2023_500-M-71-2_PQ625073
PQ625074 Colorado_2023_500-M-83_PQ625074
PQ625075 Colorado_2023_500-M-84_PQ625075
PQ625076 Colorado_2023_500-M-F10_PQ625076
PQ625077 Colorado_2023_500-M-F11_PQ625077
PQ625078 Colorado_2023_500-M-G2_PQ625078
PQ625079 Colorado_2023_1020-A7_PQ625079
PQ625080 Colorado_2023_1020-B6_PQ625080
PQ625081 Colorado_2023_1020-C2_PQ625081
PQ625082 Colorado_2023_1020-D1_PQ625082
PQ625083 Colorado_2023_1020-D3_PQ625083
PQ625084 Colorado_2023_1020-F1_PQ625084
PQ625085 Colorado_2023_1020-F6_PQ625085
PQ625086 Colorado_2023_1020-F-31_PQ625086
PQ625087 Colorado_2023_1020-F-36_PQ625087
PQ625088 Colorado_2023_1020-F-40_PQ625088
PQ625089 Colorado_2023_1020-F-44_PQ625089
PQ625090 Colorado_2023_1020-F-0818-D4_PQ625090
PQ625091 Colorado_2023_1020-F-0818-D11_PQ625091
PQ625092 Colorado_2023_1020-G3_PQ625092
PQ625093 Colorado_2023_1020-M-8_PQ625093
PQ625094 Colorado_2023_1020-M-19_PQ625094
PQ625095 Colorado_2023_1020-M-0818-A5_PQ625095
PQ625096 Colorado_2023_1020-M-0818-A7_PQ625096
PQ625097 Colorado_2023_1020-M-0818-A10_PQ625097
PQ625098 Colorado_2023_1428-F-8_PQ625098
PQ625099 Colorado_2023_1428-F-21_PQ625099
PQ625100 Colorado_2023_1428-M-3_PQ625100
PQ625101 Colorado_2023_1428-M-4_PQ625101
PQ625102 Colorado_2023_1428-M-21_PQ625102
PQ625103 Colorado_2023_1428-M-42_PQ625103
PQ625104 Colorado_2023_Adobe-B4_PQ625104
PQ625105 Colorado_2023_Adobe-B6_PQ625105
PQ625106 Colorado_2023_Adobe-B8_PQ625106
PQ625107 Colorado_2023_Adobe-C2_PQ625107
PQ625108 Colorado_2023_Briarwood-D9_PQ625108
PQ625109 Colorado_2023_CVID-0825-B1_PQ625109
PQ625110 Colorado_2023_CVID-0825-C10_PQ625110
PQ625111 Colorado_2023_CVID-0911-F4_PQ625111
PQ625112 Colorado_2023_CVID-1006-G6_PQ625112
PQ625113 Colorado_2023_CVID-1006-G7_PQ625113
PQ625114 Colorado_2023_CVID-1006-H2_PQ625114
PQ625115 Colorado_2023_CVID-1006-H3_PQ625115
PQ625116 Colorado_2023_James-A4_PQ625116
PQ625117 Colorado_2023_James-A5_PQ625117
PQ625118 Maine_2023_ME-F-1_PQ625118
PQ625119 Maine_2023_ME-F-3_PQ625119
PQ625120 Maine_2023_ME-M-1_PQ625120
PQ625121 Maine_2023_ME-M-2_PQ625121
PQ625122 Maine_2023_ME-M-4_PQ625122
PQ625123 Maine_2023_ME-M-6_PQ625123
PQ625124 Maine_2023_ME-M-7_PQ625124
PQ625125 Maine_2023_ME-M-7_PQ625125
PQ625126 Maine_2023_ME-M-8_PQ625126
PQ625127 Maine_2023_ME-M-10_PQ625127
PQ625128 Maine_2023_ME-M-11_PQ625128
PQ625129 Maine_2023_ME-M-14_PQ625129
PQ625130 Maine_2023_ME-M-17_PQ625130
PQ625131 Maine_2023_ME-M-18_PQ625131
PQ625132 Maine_2023_ME-M-19_PQ625132
PQ625133 Maine_2023_ME-M-20_PQ625133
PQ625134 Colorado_2023_Myrtle-D5_PQ625134
PQ625135 Colorado_2023_Myrtle-D11_PQ625135
PQ625136 Colorado_2023_Myrtle-E9_PQ625136
PQ625137 Ohio_2023_OH-M-5_PQ625137
PQ625138 Colorado_2023_Peach-8-F7_PQ625138
PQ625139 Colorado_2023_Peach-9-F8_PQ625139
PQ625140 Colorado_2023_Peach-10-F10_PQ625140
PQ625141 Colorado_2023_Peach-13-H7_PQ625141
PQ625142 Pennsylvania_2023_Penn-F-2_PQ625142
PQ625143 Pennsylvania_2023_Penn-F-3_PQ625143
PQ625144 Pennsylvania_2023_Penn-F-4_PQ625144
PQ625145 Pennsylvania_2023_Penn-F-4_PQ625145
PQ625146 Pennsylvania_2023_Penn-F-9_PQ625146
PQ625147 Pennsylvania_2023_Penn-F-12_PQ625147
PQ625148 Pennsylvania_2023_Penn-M-2_PQ625148
PQ625149 Pennsylvania_2023_Penn-M-8_PQ625149
PQ625150 Pennsylvania_2023_Penn-M-10_PQ625150
PQ625151 Pennsylvania_2023_Penn-M-14_PQ625151
PQ625152 Pennsylvania_2023_Penn-M-15_PQ625152
PQ625153 Maine_2023_ME-M-3_PQ625153
EVE _NA_EVE_EVE
KX884152 China_2013__KX884152
MH384335 Australia_2008__MH384335
MH384353 Australia_2008__MH384353
MH384360 Australia_2008__MH384360
MH384364 Australia_2008__MH384364
MH384372 Australia_2008__MH384372
