partition,codon,alpha,beta,alpha=beta,LRT,p-value,Total branch length,class
1,1,0,0,0,0,1,0,Invariable
1,2,0.004,4.169,0,0,1,0.184,Neutral
1,3,0,0,0,0,1,0,Invariable
1,4,0,0,0,0,1,0,Invariable
1,5,0,0,0,0,1,0,Invariable
1,6,0,2.749,1.446,1.215,0.2704,0.012,Neutral
1,7,0,0,0,0,1,0,Invariable
1,8,0,0,0,0,1,0,Invariable
1,9,0,0,0,0,1,0.009,Neutral
1,10,0,0,0,0,1,0,Invariable
1,11,2.175,0,1.458,1.472,0.225,0.022,Neutral
1,12,0,0,0,0,1,0.023,Neutral
1,13,0,2.219,0.691,2.21,0.1371,0.016,Neutral
1,14,0,0.001,0,0,1,0.016,Neutral
1,15,2.572,0,1.697,1.649,0.1992,0.033,Neutral
1,16,0,0,0,0,1,0,Invariable
1,17,1.242,0,0.795,0.777,0.3779,0.007,Neutral
1,18,0,0,0,0,1,0,Invariable
1,19,0,0,0,0,1,0,Invariable
1,20,0,0,0,0,1,0,Invariable
1,21,0,0,0,0,1,0.01,Neutral
1,22,0,0,0,0,1,0,Invariable
1,23,0,0,0,0,1,0,Invariable
1,24,0,2.625,0.578,2.888,0.0892,0.005,Diversifying
1,25,0,2.593,1.082,1.559,0.2118,0.017,Neutral
1,26,0,0,0,0,1,0.014,Neutral
1,27,0,0,0,0,1,0,Invariable
1,28,0,0,0,0,1,0,Invariable
1,29,0,0,0,0,1,0,Invariable
1,30,0,0,0,0,1,0.048,Neutral
1,31,0,0,0,0,1,0,Invariable
1,32,0,0,0,0,1,0,Invariable
1,33,0,0,0,0,1,0.013,Neutral
1,34,0,0,0,0,1,0,Invariable
1,35,0,0,0,0,1,0.019,Neutral
1,36,0,0,0,0,1,0,Invariable
1,37,0,0,0,0,1,0.009,Neutral
1,38,0.857,0,0.603,0.665,0.4149,0.005,Neutral
1,39,0,0,0,0,1,0,Invariable
1,40,0,0,0,0,1,0,Invariable
1,41,0,0,0,0,1,0.01,Neutral
1,42,0,0,0,0,1,0,Invariable
1,43,5.57,0,4.131,2.305,0.1289,0.107,Neutral
1,44,1.605,0,0.961,1.07,0.3009,0.008,Neutral
1,45,0,0,0,0,1,0,Invariable
1,46,0,0,0,0,1,0,Invariable
1,47,2.085,0,1.413,1.465,0.2261,0.012,Neutral
1,48,2.536,0,1.581,1.751,0.1857,0.013,Neutral
1,49,0,0,0,0,1,0,Invariable
1,50,0.766,0,0.569,0.577,0.4475,0.005,Neutral
1,51,0,0,0,0,1,0,Invariable
1,52,0,0,0,0,1,0,Invariable
1,53,0,0,0,0,1,0,Invariable
1,54,0,0,0,0,1,0,Invariable
1,55,0,0,0,0,1,0,Invariable
1,56,3.104,0,1.22,1.536,0.2151,0.01,Neutral
1,57,0,0,0,0,1,0.01,Neutral
1,58,10.039,0,5.836,4.827,0.028,0.049,Purifying
1,59,1.769,0,1.397,0.896,0.344,0.012,Neutral
1,60,0.804,0,0.585,0.597,0.4398,0.005,Neutral
1,61,6.555,0,6.488,2.926,0.0872,0.059,Purifying
1,62,0,0,0,0,1,0,Invariable
1,63,0,0,0,0,1,0,Invariable
1,64,0,0,0,0,1,0,Invariable
1,65,0,0,0,0,1,0,Invariable
1,66,1.266,0,0.813,0.89,0.3454,0.007,Neutral
1,67,1.103,0,0.721,0.818,0.3658,0.006,Neutral
1,68,0,0,0,0,1,0,Invariable
1,69,0,0,0,0,1,0,Invariable
1,70,0,0,0,0,1,0,Invariable
1,71,0,0,0,0,1,0,Invariable
1,72,0,0,0,0,1,0,Invariable
1,73,1.032,0,0.681,0.763,0.3823,0.006,Neutral
1,74,1.484,0,1.195,0.784,0.3759,0.01,Neutral
1,75,1.965,0,1.496,1.24,0.2655,0.029,Neutral
1,76,0.866,0,0.621,0.654,0.4185,0.005,Neutral
1,77,0.929,0,0.644,0.683,0.4087,0.015,Neutral
1,78,0,0,0,0,1,0,Invariable
1,79,0,0,0,0,1,0,Invariable
1,80,0.791,0,0.573,0.59,0.4424,0.005,Neutral
1,81,1.643,0,1.102,0.722,0.3955,0.009,Neutral
1,82,0,0,0,0,1,0,Invariable
1,83,0,0,0,0,1,0,Invariable
1,84,5.437,0,2.989,2.956,0.0856,0.025,Purifying
1,85,0,0,0,0,1,0.009,Neutral
1,86,0,0,0,0,1,0,Invariable
1,87,0,0,0,0,1,0,Invariable
1,88,2.682,0,1.883,1.879,0.1705,0.016,Neutral
1,89,2.522,0,1.647,1.717,0.1901,0.014,Neutral
1,90,2.94,0,2.211,1.504,0.2201,0.019,Neutral
1,91,1.024,0,0.696,0.743,0.3887,0.006,Neutral
1,92,1.217,0,1.032,0.635,0.4253,0.009,Neutral
1,93,1.078,0,0.709,0.731,0.3925,0.006,Neutral
1,94,6.131,0,6.093,1.851,0.1736,0.051,Neutral
1,95,1.676,0,1.137,0.742,0.389,0.01,Neutral
1,96,1.839,0,1.267,1.391,0.2382,0.011,Neutral
1,97,1.09,0,0.699,0.795,0.3726,0.006,Neutral
1,98,2.581,1390.363,2.493,1.225,0.2684,0.032,Neutral
1,99,1.127,0,0.857,0.525,0.4685,0.007,Neutral
1,100,3.276,0,1.153,2.039,0.1533,0.01,Neutral
1,101,2.396,0,1.529,1.6,0.206,0.013,Neutral
1,102,1.335,0,0.761,0.905,0.3415,0.006,Neutral
1,103,2.635,0,1.67,1.832,0.1758,0.014,Neutral
1,104,0,0,0,0,1,0,Invariable
1,105,1.17,0,0.734,0.806,0.3694,0.006,Neutral
1,106,0.934,0,0.668,0.654,0.4186,0.006,Neutral
1,107,1.853,0,1.454,0.956,0.3282,0.012,Neutral
1,108,2.924,0,2.182,1.454,0.2278,0.026,Neutral
1,109,0,12.611,0.699,6.406,0.0114,0.014,Diversifying
1,110,0,0,0,0,1,0,Invariable
1,111,0.755,0,0.563,0.59,0.4425,0.017,Neutral
1,112,3.639,0,2.635,1.761,0.1844,0.04,Neutral
1,113,3.615,0,2.657,1.746,0.1864,0.04,Neutral
1,114,0,0,0,0,1,0,Invariable
1,115,0,0,0,0,1,0,Invariable
1,116,2.387,0,1.557,1.692,0.1933,0.013,Neutral
1,117,6.304,0,6.156,1.735,0.1878,0.052,Neutral
1,118,1.678,0,0.989,1.024,0.3115,0.008,Neutral
1,119,1.095,0,0.714,0.737,0.3905,0.006,Neutral
1,120,5.031,0,2.89,3.138,0.0765,0.024,Purifying
1,121,0,0,0,0,1,0,Invariable
1,122,3,0,2.04,1.351,0.2451,0.017,Neutral
1,123,4.521,0,3.633,2.123,0.1451,0.031,Neutral
1,124,0.985,0,0.681,0.711,0.3991,0.006,Neutral
1,125,0.809,0,0.587,0.634,0.4259,0.005,Neutral
1,126,1.086,0,0.74,0.777,0.378,0.006,Neutral
1,127,4.993,0,2.85,3.346,0.0674,0.024,Purifying
1,128,2.976,0,2.026,2.029,0.1543,0.017,Neutral
1,129,0.981,0,0.671,0.74,0.3897,0.006,Neutral
1,130,1.112,0,0.717,0.786,0.3753,0.006,Neutral
1,131,0,0,0,0,1,0,Invariable
1,132,0,0,0,0,1,0,Invariable
1,133,0.795,0,0.574,0.604,0.4371,0.005,Neutral
1,134,1.03,0,0.68,0.769,0.3806,0.006,Neutral
1,135,1.03,0,0.704,0.703,0.4016,0.006,Neutral
1,136,1.03,0,0.709,0.642,0.4229,0.006,Neutral
1,137,0,0,0,0,1,0,Invariable
1,138,0,0,0,0,1,0,Invariable
1,139,0.758,0,0.557,0.602,0.4378,0.005,Neutral
1,140,2.968,0,1.674,1.973,0.1601,0.014,Neutral
1,141,2.396,0,1.466,1.762,0.1844,0.012,Neutral
1,142,0,0,0,0,1,0,Invariable
