Window Start	Percent Identity
1	91.00
2	90.00
3	90.00
4	90.00
5	90.00
6	89.00
7	89.00
8	89.00
9	89.00
10	89.00
11	89.00
12	89.00
13	89.00
14	89.00
15	88.00
16	87.00
17	87.00
18	87.00
19	87.00
20	87.00
21	87.00
22	87.00
23	87.00
24	86.00
25	86.00
26	86.00
27	85.00
28	85.00
29	85.00
30	85.00
31	85.00
32	84.00
33	84.00
34	84.00
35	85.00
36	85.00
37	85.00
38	85.00
39	85.00
40	85.00
41	86.00
42	86.00
43	86.00
44	86.00
45	87.00
46	87.00
47	87.00
48	87.00
49	87.00
50	87.00
51	87.00
52	87.00
53	87.00
54	87.00
55	87.00
56	86.00
57	86.00
58	85.00
59	85.00
60	84.00
61	84.00
62	84.00
63	83.00
64	83.00
65	82.00
66	81.00
67	81.00
68	81.00
69	81.00
70	80.00
71	80.00
72	80.00
73	79.00
74	79.00
75	79.00
76	78.00
77	78.00
78	77.00
79	76.00
80	75.00
81	74.00
82	74.00
83	74.00
84	74.00
85	74.00
86	73.00
87	72.00
88	72.00
89	72.00
90	72.00
91	72.00
92	71.00
93	70.00
94	71.00
95	70.00
96	69.00
97	69.00
98	70.00
99	70.00
100	70.00
101	70.00
102	70.00
103	69.00
104	69.00
105	69.00
106	70.00
107	70.00
108	69.00
109	69.00
110	69.00
111	69.00
112	68.00
113	67.00
114	67.00
115	68.00
116	69.00
117	68.00
118	67.00
119	67.00
120	66.00
121	65.00
122	65.00
123	65.00
124	65.00
125	65.00
126	65.00
127	66.00
128	66.00
129	65.00
130	65.00
131	65.00
132	66.00
133	66.00
134	66.00
135	66.00
136	66.00
137	66.00
138	66.00
139	65.00
140	65.00
141	65.00
142	65.00
143	65.00
144	65.00
145	65.00
146	64.00
147	64.00
148	63.00
149	63.00
150	63.00
151	62.00
152	62.00
153	61.00
154	61.00
155	61.00
156	61.00
157	61.00
158	61.00
159	61.00
160	62.00
161	61.00
162	61.00
163	62.00
164	62.00
165	63.00
166	64.00
167	64.00
168	64.00
169	63.00
170	64.00
171	64.00
172	63.00
173	64.00
174	64.00
175	64.00
176	65.00
177	66.00
178	67.00
179	68.00
180	69.00
181	69.00
182	69.00
183	68.00
184	68.00
185	68.00
186	69.00
187	70.00
188	69.00
189	69.00
190	68.00
191	68.00
192	68.00
193	69.00
194	68.00
195	68.00
196	68.00
197	68.00
198	68.00
199	68.00
200	68.00
201	69.00
202	70.00
203	70.00
204	70.00
205	70.00
206	70.00
207	69.00
208	69.00
209	69.00
210	69.00
211	68.00
212	69.00
213	69.00
214	68.00
215	68.00
216	68.00
217	69.00
218	70.00
219	70.00
220	70.00
221	71.00
222	70.00
223	69.00
224	69.00
225	69.00
226	69.00
227	69.00
228	69.00
229	70.00
230	69.00
231	68.00
232	68.00
233	68.00
234	68.00
235	68.00
236	68.00
237	68.00
238	67.00
239	68.00
240	68.00
241	68.00
242	68.00
243	68.00
244	68.00
245	68.00
246	69.00
247	69.00
248	70.00
249	70.00
250	70.00
251	71.00
252	71.00
253	71.00
254	70.00
255	70.00
256	71.00
257	71.00
258	72.00
259	72.00
260	72.00
261	73.00
262	73.00
263	73.00
264	73.00
265	73.00
266	73.00
267	73.00
268	73.00
269	74.00
270	74.00
271	74.00
272	75.00
273	75.00
274	74.00
275	74.00
276	74.00
277	74.00
278	74.00
279	74.00
280	74.00
281	75.00
282	76.00
283	76.00
284	76.00
285	76.00
286	75.00
287	75.00
288	76.00
289	76.00
290	77.00
291	77.00
292	78.00
293	78.00
294	79.00
295	80.00
296	81.00
297	81.00
298	81.00
299	81.00
300	81.00
301	81.00
302	81.00
303	82.00
304	82.00
305	82.00
306	82.00
307	83.00
308	84.00
309	84.00
310	84.00
311	85.00
312	85.00
313	86.00
314	87.00
315	87.00
316	86.00
317	86.00
318	86.00
319	86.00
320	87.00
321	87.00
322	87.00
323	88.00
324	89.00
325	89.00
326	89.00
327	89.00
328	89.00
329	89.00
330	90.00
331	91.00
332	91.00
333	91.00
334	91.00
335	91.00
336	91.00
337	91.00
338	92.00
339	92.00
340	92.00
341	92.00
342	92.00
343	92.00
344	92.00
345	92.00
346	92.00
347	92.00
348	92.00
349	92.00
350	91.00
351	91.00
352	91.00
353	92.00
354	92.00
355	92.00
356	92.00
357	92.00
358	92.00
359	93.00
360	93.00
361	92.00
362	92.00
363	92.00
364	92.00
365	92.00
366	92.00
367	92.00
368	92.00
369	92.00
370	92.00
371	92.00
372	92.00
373	91.00
374	91.00
375	91.00
376	91.00
377	91.00
378	91.00
379	91.00
380	91.00
381	91.00
382	91.00
383	91.00
384	91.00
385	91.00
386	91.00
387	90.00
388	90.00
389	90.00
390	89.00
391	88.00
392	88.00
393	88.00
394	88.00
395	88.00
396	88.00
397	88.00
398	88.00
399	88.00
400	88.00
401	87.00
402	87.00
403	87.00
404	87.00
405	87.00
406	87.00
407	86.00
408	86.00
409	86.00
410	86.00
411	86.00
412	86.00
413	86.00
414	86.00
415	86.00
416	87.00
417	87.00
418	86.00
419	86.00
420	86.00
421	86.00
422	87.00
423	87.00
424	87.00
425	87.00
426	87.00
427	87.00
428	86.00
429	86.00
430	85.00
431	85.00
432	85.00
433	85.00
434	85.00
435	85.00
436	85.00
437	85.00
438	85.00
439	85.00
440	85.00
441	85.00
442	85.00
443	85.00
444	85.00
445	85.00
446	85.00
447	85.00
448	85.00
449	85.00
450	86.00
451	86.00
452	86.00
453	86.00
454	87.00
455	87.00
456	87.00
457	87.00
458	87.00
459	86.00
460	86.00
461	87.00
462	87.00
463	87.00
464	87.00
465	87.00
466	87.00
467	87.00
468	87.00
469	87.00
470	87.00
471	87.00
472	87.00
473	88.00
474	89.00
475	89.00
476	89.00
477	89.00
478	89.00
479	89.00
480	89.00
481	89.00
482	89.00
483	90.00
484	90.00
485	90.00
486	91.00
487	92.00
488	92.00
489	92.00
490	93.00
491	93.00
492	93.00
493	93.00
494	93.00
495	93.00
496	93.00
497	93.00
498	93.00
499	93.00
500	93.00
501	94.00
502	94.00
503	94.00
504	94.00
505	93.00
506	92.00
507	93.00
508	93.00
509	93.00
510	93.00
511	93.00
512	93.00
513	93.00
514	92.00
515	92.00
516	92.00
517	92.00
518	93.00
519	93.00
520	93.00
521	93.00
522	93.00
523	93.00
524	93.00
525	93.00
526	93.00
527	93.00
528	94.00
529	94.00
530	95.00
531	95.00
532	95.00
533	95.00
534	95.00
535	94.00
536	94.00
537	94.00
538	94.00
539	94.00
540	94.00
541	94.00
542	94.00
543	94.00
544	93.00
545	93.00
546	93.00
547	93.00
548	93.00
549	92.00
550	92.00
551	92.00
552	92.00
553	91.00
554	91.00
555	91.00
556	91.00
557	91.00
558	91.00
559	92.00
560	91.00
561	91.00
562	91.00
563	90.00
564	90.00
565	89.00
566	89.00
567	88.00
568	88.00
569	88.00
570	88.00
571	88.00
572	88.00
573	88.00
574	88.00
575	88.00
576	88.00
577	88.00
578	88.00
579	88.00
580	87.00
581	87.00
582	86.00
583	86.00
584	86.00
585	86.00
586	86.00
587	86.00
588	86.00
589	86.00
590	86.00
591	87.00
592	87.00
593	87.00
594	87.00
595	87.00
596	86.00
597	86.00
598	86.00
599	86.00
600	86.00
601	86.00
602	86.00
603	86.00
604	86.00
605	86.00
606	87.00
607	86.00
608	85.00
609	84.00
610	84.00
611	84.00
612	83.00
613	83.00
614	84.00
615	84.00
616	84.00
617	83.00
618	83.00
619	83.00
620	83.00
621	83.00
622	83.00
623	83.00
624	83.00
625	83.00
626	83.00
627	83.00
628	83.00
629	83.00
630	83.00
631	83.00
632	83.00
633	83.00
634	83.00
635	83.00
636	83.00
637	83.00
638	83.00
639	83.00
640	82.00
641	82.00
642	82.00
643	82.00
644	83.00
645	83.00
