isolate,accession,location,date,species,sample_id
D_mel_USA_2020_mel-20-TD-3_Galbut_virus_RNA3_Complete_CDS_1,PQ624841,Colorado,2020,melanogaster,mel-20-TD-3
D_mel_USA_2020_mel-20-TD-3_Galbut_virus_RNA3_Complete_CDS_2,PQ624842,Colorado,2020,melanogaster,mel-20-TD-3
D_mel_USA_2020_sim-20-TD-4_Galbut_virus_RNA3_Complete_CDS_1,PQ624843,Colorado,2020,melanogaster,sim-20-TD-4
D_mel_USA_2020_sim-20-TD-4_Galbut_virus_RNA3_Complete_CDS_2,PQ624844,Colorado,2020,melanogaster,sim-20-TD-4
D_mel_USA_2021_mel-21-MDS-9_Galbut_virus_RNA3_Complete_CDS,PQ624845,Colorado,2021,melanogaster,mel-21-MDS-9
D_mel_USA_2023_500-F-11_Galbut_virus_RNA3_Complete_CDS,PQ624846,Colorado,2023,melanogaster,500-F-11
D_mel_USA_2023_500-F-21_Galbut_virus_RNA3_Complete_CDS,PQ624847,Colorado,2023,melanogaster,500-F-21
D_mel_USA_2023_500-F-41_Galbut_virus_RNA3_Complete_CDS_1,PQ624848,Colorado,2023,melanogaster,500-F-41
D_mel_USA_2023_500-F-41_Galbut_virus_RNA3_Complete_CDS_2,PQ624849,Colorado,2023,melanogaster,500-F-41
D_mel_USA_2023_500-F-67_Galbut_virus_RNA3_Complete_CDS,PQ624850,Colorado,2023,melanogaster,500-F-67
D_mel_USA_2023_500-M-16_Galbut_virus_RNA3_Complete_CDS,PQ624851,Colorado,2023,melanogaster,500-M-16
D_mel_USA_2023_500-M-17_Galbut_virus_RNA3_Complete_CDS,PQ624852,Colorado,2023,melanogaster,500-M-17
D_mel_USA_2023_500-M-54_Galbut_virus_RNA3_Complete_CDS,PQ624853,Colorado,2023,melanogaster,500-M-54
D_mel_USA_2023_500-M-57_Galbut_virus_RNA3_Complete_CDS,PQ624854,Colorado,2023,melanogaster,500-M-57
D_mel_USA_2023_500-M-60_Galbut_virus_RNA3_Complete_CDS_1,PQ624855,Colorado,2023,melanogaster,500-M-60
D_mel_USA_2023_500-M-60_Galbut_virus_RNA3_Complete_CDS_2,PQ624856,Colorado,2023,melanogaster,500-M-60
D_mel_USA_2023_500-M-61-2_Galbut_virus_RNA3_Complete_CDS,PQ624857,Colorado,2023,melanogaster,500-M-61-2
D_mel_USA_2023_500-M-61_Galbut_virus_RNA3_Complete_CDS,PQ624858,Colorado,2023,melanogaster,500-M-61
D_mel_USA_2023_500-M-65-2_Galbut_virus_RNA3_Complete_CDS,PQ624859,Colorado,2023,melanogaster,500-M-65-2
D_mel_USA_2023_500-M-65_Galbut_virus_RNA3_Complete_CDS,PQ624860,Colorado,2023,melanogaster,500-M-65
D_mel_USA_2023_500-M-71-2_Galbut_virus_RNA3_Complete_CDS,PQ624861,Colorado,2023,melanogaster,500-M-71-2
D_mel_USA_2023_500-M-83_Galbut_virus_RNA3_Complete_CDS,PQ624862,Colorado,2023,melanogaster,500-M-83
D_mel_USA_2023_500-M-84_Galbut_virus_RNA3_Complete_CDS,PQ624863,Colorado,2023,melanogaster,500-M-84
D_mel_USA_2023_500-M-F10_Galbut_virus_RNA3_Complete_CDS,PQ624864,Colorado,2023,melanogaster,500-M-F10
D_mel_USA_2023_500-M-F11_Galbut_virus_RNA3_Complete_CDS,PQ624865,Colorado,2023,melanogaster,500-M-F11
D_mel_USA_2023_500-M-G2_Galbut_virus_RNA3_Complete_CDS,PQ624866,Colorado,2023,melanogaster,500-M-G2
D_mel_USA_2023_1020-A7_Galbut_virus_RNA3_Complete_CDS_1,PQ624867,Colorado,2023,melanogaster,1020-A7
D_mel_USA_2023_1020-A7_Galbut_virus_RNA3_Complete_CDS_2,PQ624868,Colorado,2023,melanogaster,1020-A7
D_mel_USA_2023_1020-B6_Galbut_virus_RNA3_Complete_CDS,PQ624869,Colorado,2023,melanogaster,1020-B6
D_mel_USA_2023_1020-C2_Galbut_virus_RNA3_Complete_CDS,PQ624870,Colorado,2023,melanogaster,1020-C2
D_mel_USA_2023_1020-D1_Galbut_virus_RNA3_Complete_CDS,PQ624871,Colorado,2023,melanogaster,1020-D1
D_mel_USA_2023_1020-D3_Galbut_virus_RNA3_Complete_CDs,PQ624872,Colorado,2023,melanogaster,1020-D3
D_mel_USA_2023_1020-F1_Galbut_virus_RNA3_Complete_CDS ,PQ624873,Colorado,2023,melanogaster,1020-F1 
D_mel_USA_2023_1020-F6_Galbut_virus_RNA3_Complete_CDS,PQ624874,Colorado,2023,melanogaster,1020-F6
D_mel_USA_2023_1020-F-31_Galbut_virus_RNA3_Complete_CDS,PQ624875,Colorado,2023,melanogaster,1020-F-31
D_mel_USA_2023_1020-F-36_Galbut_virus_RNA3_Complete_CDS,PQ624876,Colorado,2023,melanogaster,1020-F-36
D_mel_USA_2023_1020-F-40_Galbut_virus_RNA3_Complete_CDS_1,PQ624877,Colorado,2023,melanogaster,1020-F-40
D_mel_USA_2023_1020-F-40_Galbut_virus_RNA3_Complete_CDS_2,PQ624878,Colorado,2023,melanogaster,1020-F-40
D_mel_USA_2023_1020-F-44_Galbut_virus_RNA3_Complete_CDS,PQ624879,Colorado,2023,melanogaster,1020-F-44
D_mel_USA_2023_1020-F-0818-D4_Galbut_virus_RNA3_Complete_CDS,PQ624880,Colorado,2023,melanogaster,1020-F-0818-D4
D_mel_USA_2023_1020-F-0818-D11_Galbut_virus_RNA3_Complete_CDS,PQ624881,Colorado,2023,melanogaster,1020-F-0818-D11
D_mel_USA_2023_1020-G3_Galbut_virus_RNA3_Complete_CDS,PQ624882,Colorado,2023,melanogaster,1020-G3
D_mel_USA_2023_1020-M-8_Galbut_virus_RNA3_Complete_CDS,PQ624883,Colorado,2023,melanogaster,1020-M-8
D_mel_USA_2023_1020-M-19_Galbut_virus_RNA3_Complete_CDS,PQ624884,Colorado,2023,melanogaster,1020-M-19
D_mel_USA_2023_1020-M-0818-A5_Galbut_virus_RNA3_Complete_CDS,PQ624885,Colorado,2023,melanogaster,1020-M-0818-A5
D_mel_USA_2023_1020-M-0818-A7_Galbut_virus_RNA3_Complete_CDS,PQ624886,Colorado,2023,melanogaster,1020-M-0818-A7
D_mel_USA_2023_1020-M-0818-A10_Galbut_virus_RNA3_Complete_CDS,PQ624887,Colorado,2023,melanogaster,1020-M-0818-A10
D_mel_USA_2023_1428-F-8_Galbut_virus_RNA3_Complete_CDS,PQ624888,Colorado,2023,melanogaster,1428-F-8
D_mel_USA_2023_1428-F-21_Galbut_virus_RNA3_Complete_CDS,PQ624889,Colorado,2023,melanogaster,1428-F-21
D_mel_USA_2023_1428-M-3_Galbut_virus_RNA3_Complete_CDS_1,PQ624890,Colorado,2023,melanogaster,1428-M-3
D_mel_USA_2023_1428-M-3_Galbut_virus_RNA3_Complete_CDS_2,PQ624891,Colorado,2023,melanogaster,1428-M-3
D_mel_USA_2023_1428-M-4_Galbut_virus_RNA3_Complete_CDS,PQ624892,Colorado,2023,melanogaster,1428-M-4
D_mel_USA_2023_1428-M-6_Galbut_virus_RNA3_Complete_CDS,PQ624893,Colorado,2023,melanogaster,1428-M-6
D_mel_USA_2023_1428-M-21_Galbut_virus_RNA3_Complete_CDS,PQ624894,Colorado,2023,melanogaster,1428-M-21
D_mel_USA_2023_1428-M-42_Galbut_virus_RNA3_Complete_CDS,PQ624895,Colorado,2023,melanogaster,1428-M-42
D_mel_USA_2023_Adobe-B4_Galbut_virus_RNA3_Complete_CDS,PQ624896,Colorado,2023,melanogaster,Adobe-B4
D_mel_USA_2023_Adobe-B6_Galbut_virus_RNA3_Complete_CDS,PQ624897,Colorado,2023,melanogaster,Adobe-B6
D_mel_USA_2023_Adobe-B8_Galbut_virus_RNA3_Complete_CDS,PQ624898,Colorado,2023,melanogaster,Adobe-B8
D_mel_USA_2023_Adobe-C2_Galbut_virus_RNA3_Complete_CDS,PQ624899,Colorado,2023,melanogaster,Adobe-C2
D_mel_USA_2023_Briarwood-D9_Galbut_virus_RNA3_Complete_CDS,PQ624900,Colorado,2023,melanogaster,Briarwood-D9
D_mel_USA_2023_CVID-0825-B1_Galbut_virus_RNA3_Complete_CDS,PQ624901,Colorado,2023,melanogaster,CVID-0825-B1
D_mel_USA_2023_CVID-0825-C10_Galbut_virus_RNA3_Complete_CDS,PQ624902,Colorado,2023,melanogaster,CVID-0825-C10
D_mel_USA_2023_CVID-0911-F4_Galbut_virus_RNA3_Complete_CDS,PQ624903,Colorado,2023,melanogaster,CVID-0911-F4
D_mel_USA_2023_CVID-1006-G6_Galbut_virus_RNA3_Complete_CDS,PQ624904,Colorado,2023,melanogaster,CVID-1006-G6
D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA3_Complete_CDS,PQ624905,Colorado,2023,melanogaster,CVID-1006-G7
D_mel_USA_2023_CVID-1006-H2_Galbut_virus_RNA3_Complete_CDS,PQ624906,Colorado,2023,melanogaster,CVID-1006-H2
D_mel_USA_2023_CVID-1006-H3_Galbut_virus_RNA3_Complete_CDS,PQ624907,Colorado,2023,melanogaster,CVID-1006-H3
D_mel_USA_2023_James-A4_Galbut_virus_RNA3_Complete_CDS,PQ624908,Colorado,2023,melanogaster,James-A4
D_mel_USA_2023_James-A5_Galbut_virus_RNA3_Complete_CDS,PQ624909,Colorado,2023,melanogaster,James-A5
D_mel_USA_2023_ME-F-1_Galbut_virus_RNA3_Complete_CDS,PQ624910,Maine,2023,melanogaster,ME-F-1
D_mel_USA_2023_ME-F-2_Galbut_virus_RNA3_Complete_CDS,PQ624911,Maine,2023,melanogaster,ME-F-2
D_mel_USA_2023_ME-F-3_Galbut_virus_RNA3_Complete_CDS,PQ624912,Maine,2023,melanogaster,ME-F-3
D_mel_USA_2023_ME-F-9_Galbut_virus_RNA3_Complete_CDS,PQ624913,Maine,2023,melanogaster,ME-F-9
D_mel_USA_2023_ME-M-1_Galbut_virus_RNA3_Complete_CDS,PQ624914,Maine,2023,melanogaster,ME-M-1
D_mel_USA_2023_ME-M-2_Galbut_virus_RNA3_Complete_CDS,PQ624915,Maine,2023,melanogaster,ME-M-2
D_mel_USA_2023_ME-M-4_Galbut_virus_RNA3_Complete_CDS,PQ624916,Maine,2023,melanogaster,ME-M-4
D_mel_USA_2023_ME-M-6_Galbut_virus_RNA3_Complete_CDS,PQ624917,Maine,2023,melanogaster,ME-M-6
D_mel_USA_2023_ME-M-7_Galbut_virus_RNA3_Complete_CDS_1,PQ624918,Maine,2023,melanogaster,ME-M-7
D_mel_USA_2023_ME-M-7_Galbut_virus_RNA3_Complete_CDS_2,PQ624919,Maine,2023,melanogaster,ME-M-7
D_mel_USA_2023_ME-M-8_Galbut_virus_RNA3_Complete_CDS_1,PQ624920,Maine,2023,melanogaster,ME-M-8
D_mel_USA_2023_ME-M-8_Galbut_virus_RNA3_Complete_CDS_2,PQ624921,Maine,2023,melanogaster,ME-M-8
D_mel_USA_2023_ME-M-10_Galbut_virus_RNA3_Complete_CDS,PQ624922,Maine,2023,melanogaster,ME-M-10
D_mel_USA_2023_ME-M-11_Galbut_virus_RNA3_Complete_CDS,PQ624923,Maine,2023,melanogaster,ME-M-11
D_mel_USA_2023_ME-M-14_Galbut_virus_RNA3_Complete_CDS,PQ624924,Maine,2023,melanogaster,ME-M-14
D_mel_USA_2023_ME-M-17_Galbut_virus_RNA3_Complete_CDS,PQ624925,Maine,2023,melanogaster,ME-M-17
D_mel_USA_2023_ME-M-18_Galbut_virus_RNA3_Complete_CDS,PQ624926,Maine,2023,melanogaster,ME-M-18
D_mel_USA_2023_ME-M-19_Galbut_virus_RNA3_Complete_CDS,PQ624927,Maine,2023,melanogaster,ME-M-19
D_mel_USA_2023_ME-M-20_Galbut_virus_RNA3_Complete_CDS,PQ624928,Maine,2023,melanogaster,ME-M-20
D_mel_USA_2023_Myrtle-D5_Galbut_virus_RNA3_Complete_CDS,PQ624929,Colorado,2023,melanogaster,Myrtle-D5
D_mel_USA_2023_Myrtle-D11_Galbut_virus_RNA3_Complete_CDS,PQ624930,Colorado,2023,melanogaster,Myrtle-D11
D_mel_USA_2023_Myrtle-E9_Galbut_virus_RNA3_Complete_CDS,PQ624931,Colorado,2023,melanogaster,Myrtle-E9
D_mel_USA_2023_OH-M-5_Galbut_virus_RNA3_Complete_CDS,PQ624932,Ohio,2023,melanogaster,OH-M-5
D_mel_USA_2023_Peach-8-F7_Galbut_virus_RNA3_Complete_CDS,PQ624933,Unknown,2023,melanogaster,Peach-8-F7
D_mel_USA_2023_Peach-9-F8_Galbut_virus_RNA3_Complete_CDs,PQ624934,Unknown,2023,melanogaster,Peach-9-F8
D_mel_USA_2023_Peach-10-F10_Galbut_virus_RNA3_Complete_CDS,PQ624935,Unknown,2023,melanogaster,Peach-10-F10
D_mel_USA_2023_Peach-13-H7_Galbut_virus_RNA3_Complete_CDS_1,PQ624936,Unknown,2023,melanogaster,Peach-13-H7
D_mel_USA_2023_Peach-13-H7_Galbut_virus_RNA3_Partial_CDS_2,PQ624937,Unknown,2023,melanogaster,Peach-13-H7
