isolate,accession,location,date,species,sample_id
D_mel_USA_2021_mel-21-MDS-9_Chaq_virus_Complete_CDS,PQ625154,Colorado,2021,melanogaster,mel-21-MDS-9
D_mel_USA_2023_500-F-11_Chaq_virus_Complete_CDS,PQ625155,Colorado,2023,melanogaster,500-F-11
D_mel_USA_2023_500-F-41_Chaq_virus_Complete_CDS,PQ625156,Colorado,2023,melanogaster,500-F-41
D_mel_USA_2023_500-M-17_Chaq_virus_Complete_CDS,PQ625157,Colorado,2023,melanogaster,500-M-17
D_mel_USA_2023_500-M-57_Chaq_virus_Complete_CDS,PQ625158,Colorado,2023,melanogaster,500-M-57
D_mel_USA_2023_500-M-61-2_Chaq_virus_Complete_CDS,PQ625159,Colorado,2023,melanogaster,500-M-61-2
D_mel_USA_2023_500-M-61_Chaq_virus_Complete_CDS,PQ625160,Colorado,2023,melanogaster,500-M-61
D_mel_USA_2023_500-M-65-2_Chaq_virus_Complete_CDS,PQ625161,Colorado,2023,melanogaster,500-M-65-2
D_mel_USA_2023_500-M-65_Chaq_virus_Complete_CDS,PQ625162,Colorado,2023,melanogaster,500-M-65
D_mel_USA_2023_500-M-71-2_Chaq_virus_Complete_CDS,PQ625163,Colorado,2023,melanogaster,500-M-71-2
D_mel_USA_2023_500-M-84_Chaq_virus_Complete_CDS,PQ625164,Colorado,2023,melanogaster,500-M-84
D_mel_USA_2023_500-M-F10_Chaq_virus_Complete_CDS,PQ625165,Colorado,2023,melanogaster,500-M-F10
D_mel_USA_2023_1020-A7_Chaq_virus_Complete_CDS,PQ625166,Colorado,2023,melanogaster,1020-A7
D_mel_USA_2023_1020-B6_Chaq_virus_Complete_CDS,PQ625167,Colorado,2023,melanogaster,1020-B6
D_mel_USA_2023_1020-D3_Chaq_virus_Complete_CDS,PQ625168,Colorado,2023,melanogaster,1020-D3
D_mel_USA_2023_1020-F6_Chaq_virus_Complete_CDS,PQ625169,Colorado,2023,melanogaster,1020-F6
D_mel_USA_2023_1020-F-31_Chaq_virus_Complete_CDS,PQ625170,Colorado,2023,melanogaster,1020-F-31
D_mel_USA_2023_1020-F-40_Chaq_virus_Complete_CDS,PQ625171,Colorado,2023,melanogaster,1020-F-40
D_mel_USA_2023_1020-F-0818-D4_Chaq_virus_Complete_CDS,PQ625172,Colorado,2023,melanogaster,1020-F-0818-D4
D_mel_USA_2023_1020-M-19_Chaq_virus_Complete_CDS,PQ625173,Colorado,2023,melanogaster,1020-M-19
D_mel_USA_2023_1020-M-0818-A5_Chaq_virus_Complete_CDS,PQ625174,Colorado,2023,melanogaster,1020-M-0818-A5
D_mel_USA_2023_1020-M-0818-A7_Chaq_virus_Complete_CDS,PQ625175,Colorado,2023,melanogaster,1020-M-0818-A7
D_mel_USA_2023_1428-F-8_Chaq_virus_Complete_CDS,PQ625176,Colorado,2023,melanogaster,1428-F-8
D_mel_USA_2023_1428-M-4_Chaq_virus_Complete_CDS,PQ625177,Colorado,2023,melanogaster,1428-M-4
D_mel_USA_2023_1428-M-42_Chaq_virus_Complete_CDS,PQ625178,Colorado,2023,melanogaster,1428-M-42
D_mel_USA_2023_Adobe-B8_Chaq_virus_Complete_CDS,PQ625179,Colorado,2023,melanogaster,Adobe-B8
D_mel_USA_2023_Briarwood-D9_Chaq_virus_Complete_CDS,PQ625180,Colorado,2023,melanogaster,Briarwood-D9
D_mel_USA_2023_CVID-0911-F4_Chaq_virus_Complete_CDS,PQ625181,Colorado,2023,melanogaster,CVID-0911-F4
D_mel_USA_2023_CVID-1006-G6_Chaq_virus_Complete_CDS,PQ625182,Colorado,2023,melanogaster,CVID-1006-G6
D_mel_USA_2023_CVID-1006-G7_Chaq_virus_Complete_CDS,PQ625183,Colorado,2023,melanogaster,CVID-1006-G7
D_mel_USA_2023_CVID-1006-H2_Chaq_virus_Complete_CDS,PQ625184,Colorado,2023,melanogaster,CVID-1006-H2
