isolate,accession,location,date,species,sample_id,label_format,branch_format
D_mel_USA_2020_mel-20-TD-3_Galbut_virus_RNA3_Complete_CDS_1,PQ624841,Colorado,2020,melanogaster,Colorado_2020_PQ624841,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2020_mel-20-TD-3_Galbut_virus_RNA3_Complete_CDS_2,PQ624842,Colorado,2020,melanogaster,Colorado_2020_PQ624842,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2020_sim-20-TD-4_Galbut_virus_RNA3_Complete_CDS_1,PQ624843,Colorado,2020,melanogaster,Colorado_2020_PQ624843,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2020_sim-20-TD-4_Galbut_virus_RNA3_Complete_CDS_2,PQ624844,Colorado,2020,melanogaster,Colorado_2020_PQ624844,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2021_mel-21-MDS-9_Galbut_virus_RNA3_Complete_CDS,PQ624845,Colorado,2021,melanogaster,Colorado_2021_PQ624845,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-11_Galbut_virus_RNA3_Complete_CDS,PQ624846,Colorado,2023,melanogaster,Colorado_2023_PQ624846,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-21_Galbut_virus_RNA3_Complete_CDS,PQ624847,Colorado,2023,melanogaster,Colorado_2023_PQ624847,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-41_Galbut_virus_RNA3_Complete_CDS_1,PQ624848,Colorado,2023,melanogaster,Colorado_2023_PQ624848,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-41_Galbut_virus_RNA3_Complete_CDS_2,PQ624849,Colorado,2023,melanogaster,Colorado_2023_PQ624849,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-67_Galbut_virus_RNA3_Complete_CDS,PQ624850,Colorado,2023,melanogaster,Colorado_2023_PQ624850,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-16_Galbut_virus_RNA3_Complete_CDS,PQ624851,Colorado,2023,melanogaster,Colorado_2023_PQ624851,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-17_Galbut_virus_RNA3_Complete_CDS,PQ624852,Colorado,2023,melanogaster,Colorado_2023_PQ624852,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-54_Galbut_virus_RNA3_Complete_CDS,PQ624853,Colorado,2023,melanogaster,Colorado_2023_PQ624853,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-57_Galbut_virus_RNA3_Complete_CDS,PQ624854,Colorado,2023,melanogaster,Colorado_2023_PQ624854,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-60_Galbut_virus_RNA3_Complete_CDS_1,PQ624855,Colorado,2023,melanogaster,Colorado_2023_PQ624855,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-60_Galbut_virus_RNA3_Complete_CDS_2,PQ624856,Colorado,2023,melanogaster,Colorado_2023_PQ624856,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-61-2_Galbut_virus_RNA3_Complete_CDS,PQ624857,Colorado,2023,melanogaster,Colorado_2023_PQ624857,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-61_Galbut_virus_RNA3_Complete_CDS,PQ624858,Colorado,2023,melanogaster,Colorado_2023_PQ624858,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-65-2_Galbut_virus_RNA3_Complete_CDS,PQ624859,Colorado,2023,melanogaster,Colorado_2023_PQ624859,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-65_Galbut_virus_RNA3_Complete_CDS,PQ624860,Colorado,2023,melanogaster,Colorado_2023_PQ624860,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-71-2_Galbut_virus_RNA3_Complete_CDS,PQ624861,Colorado,2023,melanogaster,Colorado_2023_PQ624861,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-83_Galbut_virus_RNA3_Complete_CDS,PQ624862,Colorado,2023,melanogaster,Colorado_2023_PQ624862,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-84_Galbut_virus_RNA3_Complete_CDS,PQ624863,Colorado,2023,melanogaster,Colorado_2023_PQ624863,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-F10_Galbut_virus_RNA3_Complete_CDS,PQ624864,Colorado,2023,melanogaster,Colorado_2023_PQ624864,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-F11_Galbut_virus_RNA3_Complete_CDS,PQ624865,Colorado,2023,melanogaster,Colorado_2023_PQ624865,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-G2_Galbut_virus_RNA3_Complete_CDS,PQ624866,Colorado,2023,melanogaster,Colorado_2023_PQ624866,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-A7_Galbut_virus_RNA3_Complete_CDS_1,PQ624867,Colorado,2023,melanogaster,Colorado_2023_PQ624867,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-A7_Galbut_virus_RNA3_Complete_CDS_2,PQ624868,Colorado,2023,melanogaster,Colorado_2023_PQ624868,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-B6_Galbut_virus_RNA3_Complete_CDS,PQ624869,Colorado,2023,melanogaster,Colorado_2023_PQ624869,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-C2_Galbut_virus_RNA3_Complete_CDS,PQ624870,Colorado,2023,melanogaster,Colorado_2023_PQ624870,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-D1_Galbut_virus_RNA3_Complete_CDS,PQ624871,Colorado,2023,melanogaster,Colorado_2023_PQ624871,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-D3_Galbut_virus_RNA3_Complete_CDs,PQ624872,Colorado,2023,melanogaster,Colorado_2023_PQ624872,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F1_Galbut_virus_RNA3_Complete_CDS ,PQ624873,Colorado,2023,melanogaster,Colorado_2023_PQ624873,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F6_Galbut_virus_RNA3_Complete_CDS,PQ624874,Colorado,2023,melanogaster,Colorado_2023_PQ624874,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F-31_Galbut_virus_RNA3_Complete_CDS,PQ624875,Colorado,2023,melanogaster,Colorado_2023_PQ624875,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F-36_Galbut_virus_RNA3_Complete_CDS,PQ624876,Colorado,2023,melanogaster,Colorado_2023_PQ624876,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F-40_Galbut_virus_RNA3_Complete_CDS_1,PQ624877,Colorado,2023,melanogaster,Colorado_2023_PQ624877,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F-40_Galbut_virus_RNA3_Complete_CDS_2,PQ624878,Colorado,2023,melanogaster,Colorado_2023_PQ624878,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F-44_Galbut_virus_RNA3_Complete_CDS,PQ624879,Colorado,2023,melanogaster,Colorado_2023_PQ624879,label #0000FF normal 1,label #0000FF normal 1
