Window Start,Percent Identity
1,82
2,82
3,81
4,81
5,81
6,80
7,79
8,79
9,79
10,79
11,79
12,79
13,79
14,80
15,79
16,79
17,79
18,79
19,79
20,79
21,79
22,79
23,79
24,78
25,78
26,77
27,76
28,76
29,76
30,75
31,75
32,75
33,75
34,75
35,75
36,75
37,74
38,74
39,74
40,74
41,75
42,74
43,74
44,74
45,74
46,73
47,74
48,74
49,75
50,75
51,75
52,75
53,75
54,75
55,74
56,73
57,72
58,71
59,71
60,70
61,69
62,68
63,67
64,66
65,65
66,64
67,64
68,63
69,63
70,62
71,61
72,60
73,59
74,59
75,59
76,59
77,59
78,59
79,59
80,59
81,60
82,61
83,62
84,62
85,62
86,62
87,62
88,61
89,61
90,61
91,61
92,62
93,62
94,63
95,64
96,64
97,64
98,65
99,65
100,66
101,66
102,66
103,67
104,67
105,67
106,67
107,68
108,68
109,67
110,67
111,67
112,67
113,67
114,67
115,68
116,68
117,68
118,68
119,68
120,68
121,67
122,67
123,67
124,67
125,66
126,66
127,66
128,65
129,64
130,64
131,63
132,62
133,61
134,60
135,59
136,58
137,58
138,57
139,56
140,55
141,54
142,55
143,55
144,55
145,54
146,55
147,55
148,55
149,55
150,55
151,55
152,55
153,55
154,55
155,56
156,57
157,58
158,59
159,60
160,61
161,62
162,63
163,64
164,65
165,65
166,66
167,66
168,67
169,67
170,68
171,69
172,70
173,71
174,71
175,70
176,71
177,71
178,72
179,72
180,72
181,71
182,70
183,70
184,69
185,68
186,68
187,67
188,67
189,67
190,66
191,66
192,66
193,65
194,65
195,64
196,63
197,62
198,62
199,61
200,61
201,61
202,60
203,60
204,60
205,59
206,59
207,59
208,59
209,59
210,59
211,58
212,58
213,58
214,57
215,56
216,55
217,55
218,54
219,54
220,54
221,55
222,56
223,57
224,57
225,58
226,59
227,60
228,61
229,62
230,63
231,63
232,64
233,65
234,65
235,65
236,66
237,67
238,67
239,68
240,69
241,70
242,70
243,70
244,69
245,69
246,69
247,68
248,67
249,66
250,66
251,65
252,64
253,63
254,63
255,63
256,62
257,61
258,61
259,61
260,61
261,60
262,60
263,59
264,58
265,59
266,59
267,59
268,58
269,58
270,58
271,58
272,58
273,58
274,58
275,59
276,59
277,59
278,59
279,59
280,58
281,59
282,60
283,60
284,60
285,61
286,61
287,62
288,63
289,63
290,64
291,64
292,63
293,64
294,64
295,65
296,66
297,67
298,67
299,68
300,68
301,67
302,68
303,68
304,67
305,68
306,69
307,68
308,68
309,69
310,69
311,70
312,70
313,70
314,71
315,72
316,73
317,73
318,74
319,74
320,74
321,74
322,74
323,74
324,75
325,74
326,74
327,73
328,73
329,73
330,73
331,74
332,73
333,73
334,74
335,75
336,75
337,75
338,75
339,75
340,75
341,75
342,75
343,74
344,74
345,75
346,75
347,76
348,77
349,78
350,78
351,79
352,79
353,79
354,79
355,79
356,79
357,80
358,80
359,80
360,80
361,81
362,81
363,82
364,83
365,83
366,83
367,83
368,84
369,84
370,83
371,83
372,83
373,83
374,83
375,83
376,83
377,84
378,84
379,84
380,85
381,85
382,85
383,85
384,86
385,86
386,86
387,86
388,86
389,86
390,86
391,85
392,86
393,86
394,86
395,86
396,86
397,86
398,86
399,86
400,85
401,86
402,86
403,86
404,87
405,87
406,87
407,88
408,88
409,88
410,88
411,88
412,88
413,87
414,87
415,87
416,87
417,87
418,87
419,87
420,87
421,87
422,86
423,86
424,86
425,87
426,87
427,88
428,87
429,87
430,87
431,87
432,88
433,88
434,88
435,88
436,88
437,88
438,89
439,88
440,88
441,88
442,88
443,89
444,90
445,90
446,90
447,90
448,89
449,88
450,88
451,87
452,88
453,89
454,89
455,89
456,90
457,90
458,90
459,90
460,90
461,90
462,90
463,90
464,90
465,90
466,90
467,90
468,90
469,90
470,91
471,91
472,91
473,91
474,91
475,91
476,91
477,91
478,91
479,91
480,90
481,90
482,90
483,90
484,90
485,90
486,90
487,90
488,90
489,90
490,90
491,91
492,91
493,91
494,91
495,91
496,91
497,91
498,91
499,91
500,92
501,92
502,92
503,92
504,92
505,92
506,92
507,91
508,90
509,90
510,90
511,89
512,88
513,89
514,89
515,89
516,89
517,89
518,89
519,89
520,89
521,89
522,90
523,90
524,90
525,90
526,90
527,90
528,91
529,91
530,91
531,91
532,91
533,91
534,91
535,90
536,90
537,90
538,90
539,91
540,91
541,91
542,91
543,91
544,91
545,91
546,91
547,90
548,91
549,92
550,91
551,92
552,92
553,91
554,91
555,91
556,91
557,91
558,91
559,90
560,90
561,90
562,89
563,89
564,89
565,88
566,88
567,88
568,87
569,87
570,86
571,86
572,86
573,86
574,85
575,85
576,85
577,84
578,84
579,84
580,85
581,84
582,84
583,84
584,83
585,83
