dataset	co1_species	count	pct_id	accession_species	accession	total_count	fractional_count
1020-A7.trim_1	Drosophila_melanogaster	6937	99.7847124117053	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6937	1
1020-A7.trim_2	Drosophila_melanogaster	7011	99.7408158607902	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7011	1
1020-A8-2.trim_1	Drosophila_melanogaster	5271	99.7910377537469	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5271	1
1020-A8-2.trim_2	Drosophila_melanogaster	5210	99.7321823416507	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5210	1
1020-A8.trim_1	Drosophila_melanogaster	2112	99.7865625	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2115	0.998581560283688
1020-A8.trim_1	Drosophila_bocki	3	99.36	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	2115	0.00141843971631206
1020-A8.trim_2	Drosophila_melanogaster	2107	99.7825866160418	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2110	0.998578199052133
1020-A8.trim_2	Drosophila_bocki	3	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	2110	0.0014218009478673
1020-B11.trim_1	Drosophila_melanogaster	11887	99.7835938420123	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11888	0.999915881561238
1020-B11.trim_1	Drosophila_simulans	1	95.27	AF200837.1:1478-3012_Drosophila_simulans	AF200837.1:1478-3012	11888	8.41184387617766e-05
1020-B11.trim_2	Drosophila_melanogaster	11895	99.7336015132409	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11896	0.999915938130464
1020-B11.trim_2	Drosophila_oahuensis	1	100	MK277191.1:1-1462_Drosophila_oahuensis	MK277191.1:1-1462	11896	8.40618695359785e-05
1020-B6.trim_1	Drosophila_melanogaster	375	99.83192	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	375	1
1020-B6.trim_2	Drosophila_melanogaster	378	99.7808201058201	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	378	1
1020-C1.trim_1	Drosophila_melanogaster	8214	99.7737740443146	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	8214	1
1020-C1.trim_2	Drosophila_melanogaster	8167	99.7233745561406	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	8167	1
1020-C2.trim_1	Drosophila_melanogaster	8921	99.7222945858088	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	8925	0.999551820728291
1020-C2.trim_1	Drosophila_bocki	3	99.6766666666667	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	8925	0.000336134453781513
1020-C2.trim_1	Drosophila_sechellia	1	96.36	MK659840.1:2420-3954_Drosophila_sechellia	MK659840.1:2420-3954	8925	0.000112044817927171
1020-C2.trim_2	Drosophila_melanogaster	9391	99.6709402619529	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9393	0.999787075481742
1020-C2.trim_2	Drosophila_bocki	2	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	9393	0.000212924518258277
1020-D1.trim_1	Drosophila_melanogaster	863	99.7496755504056	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	864	0.998842592592593
1020-D1.trim_1	Drosophila_simulans	1	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	864	0.00115740740740741
1020-D1.trim_2	Drosophila_melanogaster	863	99.7159675550405	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	864	0.998842592592593
1020-D1.trim_2	Drosophila_simulans	1	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	864	0.00115740740740741
1020-D3.trim_1	Drosophila_melanogaster	682	99.7212903225806	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	683	0.998535871156662
1020-D3.trim_1	Drosophila_simulans	1	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	683	0.00146412884333821
1020-D3.trim_2	Drosophila_melanogaster	687	99.7261280931587	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	688	0.998546511627907
1020-D3.trim_2	Drosophila_simulans	1	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	688	0.00145348837209302
1020-D9.trim_1	Drosophila_melanogaster	1098	99.8049180327869	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1099	0.99909008189263
1020-D9.trim_1	Drosophila_simulans	1	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	1099	0.000909918107370337
1020-D9.trim_2	Drosophila_melanogaster	1099	99.7949226569609	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1100	0.999090909090909
1020-D9.trim_2	Drosophila_simulans	1	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	1100	0.000909090909090909
1020-F-0818-D11.trim_1	Drosophila_melanogaster	6725	99.7071137546468	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6727	0.999702690649621
1020-F-0818-D11.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	6727	0.000148654675189535
1020-F-0818-D11.trim_1	Drosophila_limbata	1	99	OZ001357.1:3461-4996_Drosophila_limbata	OZ001357.1:3461-4996	6727	0.000148654675189535
1020-F-0818-D11.trim_2	Drosophila_melanogaster	7063	99.6511765538723	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7065	0.999716914366596
1020-F-0818-D11.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	7065	0.000141542816702052
1020-F-0818-D11.trim_2	Drosophila_yakuba	1	96.3	KF824888.1:1474-3009_Drosophila_yakuba	KF824888.1:1474-3009	7065	0.000141542816702052
1020-F-0818-D4.trim_1	Drosophila_melanogaster	6763	99.7308428212332	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6763	1
1020-F-0818-D4.trim_2	Drosophila_melanogaster	7009	99.6892709373662	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7010	0.999857346647646
1020-F-0818-D4.trim_2	Drosophila_limbata	1	98.13	OZ001357.1:3461-4996_Drosophila_limbata	OZ001357.1:3461-4996	7010	0.00014265335235378
1020-F-0818-E4.trim_1	Drosophila_melanogaster	6773	99.76826517053	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6774	0.999852376734573
1020-F-0818-E4.trim_1	Drosophila_mauritiana	1	95.3	NC_005779.1:1478-3012_Drosophila_mauritiana	NC_005779.1:1478-3012	6774	0.000147623265426631
1020-F-0818-E4.trim_2	Drosophila_melanogaster	6809	99.7140696137465	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6809	1
1020-F-31.trim_1	Drosophila_melanogaster	4433	99.8018678096097	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4434	0.999774470004511
1020-F-31.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	4434	0.0002255299954894
1020-F-31.trim_2	Drosophila_melanogaster	4427	99.7403117235148	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4428	0.999774164408311
1020-F-31.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	4428	0.00022583559168925
1020-F-36.trim_1	Drosophila_melanogaster	3394	99.7213288155569	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3394	1
1020-F-36.trim_2	Drosophila_melanogaster	3624	99.7024917218543	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3624	1
1020-F-40.trim_1	Drosophila_melanogaster	2289	99.7968851026649	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2289	1
1020-F-40.trim_2	Drosophila_melanogaster	2276	99.8060017574692	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2276	1
1020-F-44.trim_1	Drosophila_melanogaster	3589	99.7231624407913	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3591	0.999443052074631
1020-F-44.trim_1	Drosophila_greeni	1	100	AB669712.1:1-1536_Drosophila_greeni	AB669712.1:1-1536	3591	0.000278473962684489
1020-F-44.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	3591	0.000278473962684489
1020-F-44.trim_2	Drosophila_melanogaster	3728	99.6876233905579	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3729	0.999731831590239
1020-F-44.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	3729	0.00026816840976133
1020-F1.trim_1	Drosophila_melanogaster	4601	99.740460769398	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4603	0.999565500760374
1020-F1.trim_1	Drosophila_bocki	1	99.03	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	4603	0.000217249619813165
1020-F1.trim_1	Drosophila_subquinaria	1	94.29	AY154457.1:1-1514_Drosophila_subquinaria	AY154457.1:1-1514	4603	0.000217249619813165
1020-F1.trim_2	Drosophila_melanogaster	4817	99.6812767282541	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4817	1
1020-F3.trim_1	Drosophila_melanogaster	6599	99.7804758296712	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6602	0.999545592244774
1020-F3.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	6602	0.000151469251741896
1020-F3.trim_1	Drosophila_truncata	1	93.94	AB669764.1:1-1536_Drosophila_truncata	AB669764.1:1-1536	6602	0.000151469251741896
1020-F3.trim_1	Drosophila_simulans	1	98.53	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	6602	0.000151469251741896
1020-F3.trim_2	Drosophila_melanogaster	6597	99.7350280430499	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6599	0.99969692377633
1020-F3.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	6599	0.000151538111835127
1020-F3.trim_2	Drosophila_maculifrons	1	97.73	EF569998.1:2-1447_Drosophila_maculifrons	EF569998.1:2-1447	6599	0.000151538111835127
1020-F6.trim_1	Drosophila_melanogaster	16	100	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	16	1
1020-F6.trim_2	Drosophila_melanogaster	18	99.8794444444444	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	18	1
1020-F8.trim_1	Drosophila_melanogaster	5240	99.7865534351145	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5244	0.999237223493516
1020-F8.trim_1	Drosophila_busckii	3	100	MK659813.1:1460-2993_Drosophila_busckii	MK659813.1:1460-2993	5244	0.0005720823798627
1020-F8.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	5244	0.0001906941266209
1020-F8.trim_2	Drosophila_melanogaster	5188	99.7340593677718	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5195	0.998652550529355
1020-F8.trim_2	Drosophila_busckii	4	100	MK659813.1:1460-2993_Drosophila_busckii	MK659813.1:1460-2993	5195	0.000769971126082772
1020-F8.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	5195	0.000192492781520693
1020-F8.trim_2	Drosophila_simulans	1	97.3	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	5195	0.000192492781520693
1020-F8.trim_2	Drosophila_mauritiana	1	99.17	NC_005779.1:1478-3012_Drosophila_mauritiana	NC_005779.1:1478-3012	5195	0.000192492781520693
1020-G1.trim_1	Drosophila_melanogaster	3909	99.7308058326938	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3914	0.998722534491569
1020-G1.trim_1	Drosophila_bocki	5	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	3914	0.00127746550843127
1020-G1.trim_2	Drosophila_melanogaster	3992	99.7152705410822	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3999	0.998249562390598
1020-G1.trim_2	Drosophila_bocki	5	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	3999	0.00125031257814454
1020-G1.trim_2	Drosophila_simulans	1	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	3999	0.000250062515628907
1020-G1.trim_2	Drosophila_eohydei	1	97.92	DQ471601.1:1-1499_Drosophila_eohydei	DQ471601.1:1-1499	3999	0.000250062515628907
1020-G3.trim_1	Drosophila_melanogaster	1278	99.7425352112676	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1278	1
1020-G3.trim_2	Drosophila_melanogaster	1319	99.7208112206217	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1319	1
1020-H7.trim_1	Drosophila_melanogaster	1629	99.7910988336403	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1629	1
1020-H7.trim_2	Drosophila_melanogaster	1634	99.7625520195838	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1634	1
1020-M-0818-A10.trim_1	Drosophila_melanogaster	13576	99.7211277253978	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	13582	0.999558238845531
1020-M-0818-A10.trim_1	Drosophila_simulans	4	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	13582	0.000294507436312767
1020-M-0818-A10.trim_1	Drosophila_limbata	2	97.705	OZ001357.1:3461-4996_Drosophila_limbata	OZ001357.1:3461-4996	13582	0.000147253718156383
1020-M-0818-A10.trim_2	Drosophila_melanogaster	14014	99.6502047952048	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	14020	0.999572039942939
1020-M-0818-A10.trim_2	Drosophila_simulans	4	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	14020	0.000285306704707561
1020-M-0818-A10.trim_2	Zaprionus_sepsoides	1	100	EU493690.1:76-1611_Zaprionus_sepsoides	EU493690.1:76-1611	14020	7.13266761768902e-05
1020-M-0818-A10.trim_2	Drosophila_mauritiana	1	98.28	NC_005779.1:1478-3012_Drosophila_mauritiana	NC_005779.1:1478-3012	14020	7.13266761768902e-05
1020-M-0818-A5.trim_1	Drosophila_melanogaster	9512	99.7949001261564	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9515	0.999684708355229
1020-M-0818-A5.trim_1	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	9515	0.000105097214923805
1020-M-0818-A5.trim_1	Drosophila_yakuba	1	97.97	KF824888.1:1474-3009_Drosophila_yakuba	KF824888.1:1474-3009	9515	0.000105097214923805
1020-M-0818-A5.trim_1	Drosophila_mauritiana	1	100	NC_005779.1:1478-3012_Drosophila_mauritiana	NC_005779.1:1478-3012	9515	0.000105097214923805
1020-M-0818-A5.trim_2	Drosophila_melanogaster	9587	99.7074642745384	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9589	0.999791427677547
1020-M-0818-A5.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	9589	0.000104286161226405
1020-M-0818-A5.trim_2	Drosophila_mauritiana	1	100	NC_005779.1:1478-3012_Drosophila_mauritiana	NC_005779.1:1478-3012	9589	0.000104286161226405
1020-M-0818-A7.trim_1	Drosophila_melanogaster	19938	99.6271301033203	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	19951	0.999348403588793
1020-M-0818-A7.trim_1	Drosophila_simulans	7	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	19951	0.000350859606034785
1020-M-0818-A7.trim_1	Drosophila_bocki	2	99.515	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	19951	0.000100245601724224
1020-M-0818-A7.trim_1	Drosophila_limbata	2	95.995	OZ001357.1:3461-4996_Drosophila_limbata	OZ001357.1:3461-4996	19951	0.000100245601724224
1020-M-0818-A7.trim_1	Drosophila_simulans	1	97.32	AF200837.1:1478-3012_Drosophila_simulans	AF200837.1:1478-3012	19951	5.01228008621122e-05
1020-M-0818-A7.trim_1	Phortica_tanabei	1	100	NC_081075.1:1431-2964_Phortica_tanabei	NC_081075.1:1431-2964	19951	5.01228008621122e-05
1020-M-0818-A7.trim_2	Drosophila_melanogaster	20598	99.5784794640256	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	20609	0.999466252608084
1020-M-0818-A7.trim_2	Drosophila_simulans	8	99.74625	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	20609	0.000388179921393566
1020-M-0818-A7.trim_2	Drosophila_bocki	1	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	20609	4.85224901741957e-05
1020-M-0818-A7.trim_2	Drosophila_simulans	1	99.33	AF200837.1:1478-3012_Drosophila_simulans	AF200837.1:1478-3012	20609	4.85224901741957e-05
1020-M-0818-A7.trim_2	Phortica_tanabei	1	97.73	NC_081075.1:1431-2964_Phortica_tanabei	NC_081075.1:1431-2964	20609	4.85224901741957e-05
1020-M-19.trim_1	Drosophila_melanogaster	5416	99.7874686115214	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5418	0.999630860095976
1020-M-19.trim_1	Drosophila_bocki	2	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	5418	0.000369139904023625
1020-M-19.trim_2	Drosophila_melanogaster	5446	99.7283051781124	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5449	0.999449440264269
1020-M-19.trim_2	Drosophila_bocki	2	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	5449	0.000367039823820885
1020-M-19.trim_2	Drosophila_mediostriata	1	93.33	EF570003.1:1-1468_Drosophila_mediostriata	EF570003.1:1-1468	5449	0.000183519911910442
1020-M-8.trim_1	Drosophila_melanogaster	10570	99.6748041627247	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	10590	0.998111425873466
1020-M-8.trim_1	Drosophila_simulans	20	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	10590	0.00188857412653447
1020-M-8.trim_2	Drosophila_melanogaster	10888	99.6406778104335	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	10910	0.997983501374885
1020-M-8.trim_2	Drosophila_simulans	22	99.8463636363636	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	10910	0.00201649862511457
1428-F-15.trim_1	Drosophila_melanogaster	2539	99.7547774714455	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2539	1
1428-F-15.trim_2	Drosophila_melanogaster	2548	99.7340541601256	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2548	1
1428-F-21.trim_1	Drosophila_melanogaster	2807	99.8360919130745	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2810	0.998932384341637
1428-F-21.trim_1	Drosophila_bocki	3	99.6766666666667	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	2810	0.00106761565836299
1428-F-21.trim_2	Drosophila_melanogaster	3077	99.8062365940851	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3079	0.999350438454043
1428-F-21.trim_2	Drosophila_bocki	2	100	AB669730.1:1-1536_Drosophila_bocki	AB669730.1:1-1536	3079	0.000649561545956479
1428-F-8.trim_1	Drosophila_melanogaster	546	99.7808424908425	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	546	1
1428-F-8.trim_2	Drosophila_melanogaster	536	99.7507276119403	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	536	1
1428-M-21.trim_1	Drosophila_melanogaster	791	99.8278002528445	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	791	1
1428-M-21.trim_2	Drosophila_melanogaster	835	99.7919401197605	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	835	1
1428-M-3.trim_1	Drosophila_melanogaster	1304	99.7409355828221	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1305	0.999233716475096
1428-M-3.trim_1	Drosophila_simulans	1	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	1305	0.000766283524904215
1428-M-3.trim_2	Drosophila_melanogaster	1330	99.6884060150376	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1331	0.999248685199098
1428-M-3.trim_2	Drosophila_simulans	1	100	AF200849.1:1478-3012_Drosophila_simulans	AF200849.1:1478-3012	1331	0.000751314800901578
1428-M-36.trim_1	Drosophila_melanogaster	2416	99.8984892384106	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2416	1
1428-M-36.trim_2	Drosophila_melanogaster	2624	99.8660556402439	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2624	1
