"","segment","codon","alpha","beta","alpha.beta","LRT","p.value","Total.branch.length"
"1","Chaq",1,0,0,0,0,1,0
"2","Chaq",3,0,0,0,0,1,0
"3","Chaq",4,0,0,0,0,1,0
"4","Chaq",5,0,0,0,0,1,0
"5","Chaq",7,0,0,0,0,1,0
"6","Chaq",8,0,0,0,0,1,0
"7","Chaq",10,0,0,0,0,1,0
"8","Chaq",16,0,0,0,0,1,0
"9","Chaq",19,0,0,0,0,1,0
"10","Chaq",20,0,0,0,0,1,0
"11","Chaq",22,0,0,0,0,1,0
"12","Chaq",23,0,0,0,0,1,0
"13","Chaq",27,0,0,0,0,1,0
"14","Chaq",28,0,0,0,0,1,0
"15","Chaq",29,0,0,0,0,1,0
"16","Chaq",31,0,0,0,0,1,0
"17","Chaq",32,0,0,0,0,1,0
"18","Chaq",34,0,0,0,0,1,0
"19","Chaq",36,0,0,0,0,1,0
"20","Chaq",39,0,0,0,0,1,0
"21","Chaq",40,0,0,0,0,1,0
"22","Chaq",42,0,0,0,0,1,0
"23","Chaq",45,0,0,0,0,1,0
"24","Chaq",46,0,0,0,0,1,0
"25","Chaq",49,0,0,0,0,1,0
"26","Chaq",51,0,0,0,0,1,0
"27","Chaq",52,0,0,0,0,1,0
"28","Chaq",53,0,0,0,0,1,0
"29","Chaq",54,0,0,0,0,1,0
"30","Chaq",55,0,0,0,0,1,0
"31","Chaq",62,0,0,0,0,1,0
"32","Chaq",63,0,0,0,0,1,0
"33","Chaq",64,0,0,0,0,1,0
"34","Chaq",65,0,0,0,0,1,0
"35","Chaq",68,0,0,0,0,1,0
"36","Chaq",69,0,0,0,0,1,0
"37","Chaq",70,0,0,0,0,1,0
"38","Chaq",71,0,0,0,0,1,0
"39","Chaq",72,0,0,0,0,1,0
"40","Chaq",78,0,0,0,0,1,0
"41","Chaq",79,0,0,0,0,1,0
"42","Chaq",82,0,0,0,0,1,0
"43","Chaq",83,0,0,0,0,1,0
"44","Chaq",86,0,0,0,0,1,0
"45","Chaq",87,0,0,0,0,1,0
"46","Chaq",104,0,0,0,0,1,0
"47","Chaq",110,0,0,0,0,1,0
"48","Chaq",114,0,0,0,0,1,0
"49","Chaq",115,0,0,0,0,1,0
"50","Chaq",121,0,0,0,0,1,0
"51","Chaq",131,0,0,0,0,1,0
"52","Chaq",132,0,0,0,0,1,0
"53","Chaq",137,0,0,0,0,1,0
"54","Chaq",138,0,0,0,0,1,0
"55","Chaq",142,0,0,0,0,1,0
"56","Chaq",145,0,0,0,0,1,0
"57","Chaq",146,0,0,0,0,1,0
"58","Chaq",151,0,0,0,0,1,0
"59","Chaq",152,0,0,0,0,1,0
"60","Chaq",156,0,0,0,0,1,0
"61","Chaq",162,0,0,0,0,1,0
"62","Chaq",171,0,0,0,0,1,0
"63","Chaq",173,0,0,0,0,1,0
"64","Chaq",174,0,0,0,0,1,0
"65","Chaq",177,0,0,0,0,1,0
"66","Chaq",178,0,0,0,0,1,0
"67","Chaq",181,0,0,0,0,1,0
"68","Chaq",182,0,0,0,0,1,0
"69","Chaq",183,0,0,0,0,1,0
"70","Chaq",185,0,0,0,0,1,0
"71","Chaq",186,0,0,0,0,1,0
"72","Chaq",187,0,0,0,0,1,0
"73","Chaq",188,0,0,0,0,1,0
"74","Chaq",191,0,0,0,0,1,0
"75","Chaq",192,0,0,0,0,1,0
"76","Chaq",203,0,0,0,0,1,0
"77","Chaq",207,0,0,0,0,1,0
"78","Chaq",208,0,0,0,0,1,0
"79","Chaq",213,0,0,0,0,1,0
"80","Chaq",216,0,0,0,0,1,0
"81","Chaq",219,0,0,0,0,1,0
"82","Chaq",220,0,0,0,0,1,0
"83","Chaq",224,0,0,0,0,1,0
"84","Chaq",227,0,0,0,0,1,0
"85","Chaq",228,0,0,0,0,1,0
"86","Chaq",229,0,0,0,0,1,0
"87","Chaq",235,0,0,0,0,1,0
"88","Chaq",237,0,0,0,0,1,0
"89","Chaq",238,0,0,0,0,1,0
"90","Chaq",239,0,0,0,0,1,0
"91","Chaq",240,0,0,0,0,1,0
"92","Chaq",244,0,0,0,0,1,0
"93","Chaq",250,0,0,0,0,1,0
"94","Chaq",259,0,0,0,0,1,0
"95","Chaq",260,0,0,0,0,1,0
"96","Chaq",264,0,0,0,0,1,0
"97","Chaq",265,0,0,0,0,1,0
"98","Chaq",266,0,0,0,0,1,0
"99","Chaq",267,0,0,0,0,1,0
"100","Chaq",268,0,0,0,0,1,0
"101","Chaq",270,0,0,0,0,1,0
"102","Chaq",271,0,0,0,0,1,0
"103","Chaq",272,0,0,0,0,1,0
"104","Chaq",274,0,0,0,0,1,0
"105","Chaq",275,0,0,0,0,1,0
"106","Chaq",277,0,0,0,0,1,0
"107","Chaq",280,0,0,0,0,1,0
"108","Chaq",287,0,0,0,0,1,0
"109","Chaq",290,0,0,0,0,1,0
"110","Chaq",294,0,0,0,0,1,0
"111","Chaq",298,0,0,0,0,1,0
"112","Chaq",300,0,0,0,0,1,0
"113","Chaq",305,0,0,0,0,1,0
"114","Chaq",308,0,0,0,0,1,0
"115","Chaq",310,0,0,0,0,1,0
"116","Chaq",312,0,0,0,0,1,0
"117","Chaq",313,0,0,0,0,1,0
"118","Chaq",316,0,0,0,0,1,0
"119","Chaq",317,0,0,0,0,1,0
"120","Chaq",318,0,0,0,0,1,0
"121","Chaq",320,0,0,0,0,1,0
"122","Chaq",321,0,0,0,0,1,0
"123","Chaq",322,0,0,0,0,1,0
"124","Chaq",323,0,0,0,0,1,0
"125","Chaq",324,0,0,0,0,1,0
"126","Chaq",325,0,0,0,0,1,0
"127","Chaq",326,0,0,0,0,1,0
"128","RNA1",1,0,0,0,0,1,0
"129","RNA1",2,0,0,0,0,1,0
"130","RNA1",3,0,0,0,0,1,0
"131","RNA1",4,0,0,0,0,1,0
"132","RNA1",5,0,0,0,0,1,0
"133","RNA1",11,0,0,0,0,1,0
"134","RNA1",13,0,0,0,0,1,0
"135","RNA1",17,0,0,0,0,1,0
"136","RNA1",18,0,0,0,0,1,0
"137","RNA1",19,0,0,0,0,1,0
"138","RNA1",20,0,0,0,0,1,0
"139","RNA1",23,0,0,0,0,1,0
"140","RNA1",25,0,0,0,0,1,0
"141","RNA1",26,0,0,0,0,1,0
"142","RNA1",28,0,0,0,0,1,0
"143","RNA1",30,0,0,0,0,1,0
"144","RNA1",32,0,0,0,0,1,0
"145","RNA1",36,0,0,0,0,1,0
"146","RNA1",37,0,0,0,0,1,0
"147","RNA1",40,0,0,0,0,1,0
"148","RNA1",41,0,0,0,0,1,0
"149","RNA1",44,0,0,0,0,1,0
"150","RNA1",45,0,0,0,0,1,0
"151","RNA1",46,0,0,0,0,1,0
"152","RNA1",48,0,0,0,0,1,0
"153","RNA1",50,0,0,0,0,1,0
"154","RNA1",51,0,0,0,0,1,0
"155","RNA1",52,0,0,0,0,1,0
"156","RNA1",55,0,0,0,0,1,0
"157","RNA1",63,0,0,0,0,1,0
"158","RNA1",64,0,0,0,0,1,0
"159","RNA1",66,0,0,0,0,1,0
"160","RNA1",74,0,0,0,0,1,0
"161","RNA1",85,0,0,0,0,1,0
"162","RNA1",86,0,0,0,0,1,0
"163","RNA1",87,0,0,0,0,1,0
"164","RNA1",88,0,0,0,0,1,0
"165","RNA1",89,0,0,0,0,1,0
"166","RNA1",90,0,0,0,0,1,0
"167","RNA1",93,0,0,0,0,1,0
"168","RNA1",95,0,0,0,0,1,0
