accession	clade_label
galbut_EVE_from_Wallace_supp_fig_S10	melA
KX884152	melA
OR729096	melA
OR729112	melA
OR729098	melA
OR729113	melA
PQ625060	melA
OR729116	melA
PQ625101	melA
OR729103	melA
OR729110	melA
OR729106	melA
OR729101	melA
PQ625067	melA
PQ625139	melA
PQ625138	melA
PQ625140	melA
PQ625066	melA
PQ625071	melA
PQ625070	melA
OR729104	melA
OR729114	melA
PQ625059	melA
PQ625098	melA
OR729109	melA
OR729115	melA
OR729102	melA
OR729108	melA
OR729105	melA
PQ625110	melA
OR729111	melA
OR729117	melA
OR729107	melA
PQ625073	melA
PQ625106	melA
PQ625112	melA
PQ625086	melA
MH384353	melA
MH384378	melA
MH384372	melA
MH384364	melA
PQ625137	melA
PQ625125	melA
OR729095	melA
OR729099	melA
OR729100	melA
PQ625072	melA
PQ625076	melA
PQ625108	melA
PQ625136	melA
PQ625128	melA
PQ625063	melA
PQ625142	melA
PQ625152	melA
PQ625143	melA
PQ625145	melA
PQ625148	melA
PQ625149	melA
PQ625147	melA
PQ625150	melA
PQ625146	melA
PQ625151	melA
PQ625120	melA
PQ625153	melA
OR820575	melA
MT742160	melA
MT742164	melA
OR729097	melA
OR729093	melA
OR729094	melA
PQ625074	melA
PQ625062	melA
PQ625141	melA
PQ625094	melA
PQ625079	melA
PQ625090	melA
PQ625088	melA
PQ625114	melA
PQ625095	melA
PQ625117	melA
PQ625111	melA
PQ625083	melA
PQ625065	melA
PQ625075	melA
PQ625115	melA
PQ625080	melA
PQ625085	melA
PQ625113	melA
PQ625096	melA
PQ625103	melA
PQ625119	melA
PQ625121	melA
PQ625126	melA
OR820569	melA
OR820562	melA
PQ625102	melA
MH384360	melA
PQ625069	melA
OR820588	melB
PQ625057	melB
PQ625058	melB
PQ625082	melB
PQ625091	melB
PQ625116	melB
PQ625131	melB
PQ625132	melB
PQ625133	melB
PQ625081	melB
PQ625109	melB
PQ625122	melB
PQ625124	melB
PQ625129	melB
PQ625077	melB
PQ625084	melB
PQ625092	melB
PQ625089	melB
PQ625093	melB
PQ625087	melB
PQ625135	melB
PQ625097	melB
PQ625068	melB
PQ625099	melB
PQ625134	melB
PQ625144	melB
PQ625064	melB
PQ625100	melB
PQ625123	melB
PQ625130	melB
MH384335	melB
PQ625078	melB
PQ625061	melB
PQ625104	melB
PQ625105	melB
PQ625107	melB
PQ625127	melB
PQ625118	melB
MW976823	simA
OR820596	simA
OR820600	simA
MW976827	simA
MW976829	simA
MW976824	simA
MW976835	simA
MW976826	simA
MW976825	simA
MW976832	simA
MW976828	simA
MW976831	simA
MW976830	simA
MW976834	simA
MW976836	simA
MW976833	simA
PQ624966	melA
OR729038	melA
PQ624963	melA
PQ625005	melA
PQ625035	melA
PQ624968	melA
PQ624973	melA
PQ624969	melA
OR729044	melA
OR729039	melA
OR729058	melA
OR729062	melA
OR729052	melA
OR729055	melA
OR729051	melA
OR729053	melA
OR729057	melA
OR729060	melA
OR729049	melA
OR729054	melA
OR729061	melA
OR729064	melA
OR729056	melA
OR729050	melA
OR729048	melA
PQ625009	melA
OR729063	melA
OR729047	melA
OR729046	melA
OR729059	melA
PQ625007	melA
PQ624998	melA
OR729045	melA
PQ625003	melA
OR729042	melA
PQ624983	melA
PQ624970	melA
PQ624955	melA
PQ624995	melA
PQ625038	melA
PQ625037	melA
PQ625039	melA
PQ624967	melA
PQ624956	melA
PQ624964	melA
PQ625025	melA
PQ625027	melA
PQ625042	melA
PQ625049	melA
PQ625048	melA
PQ625050	melA
PQ625043	melA
PQ625045	melA
PQ625055	melA
PQ625041	melA
PQ625051	melA
PQ625046	melA
PQ625052	melA
PQ625054	melA
PQ625053	melA
PQ625024	melA
PQ625036	melA
MH384354	melA
MH384379	melA
MH384373	melA
MH384365	melA
MH384361	melA
