Window Start,Percent Identity
1,91
2,90
3,90
4,90
5,90
6,89
7,89
8,89
9,89
10,89
11,89
12,89
13,89
14,89
15,88
16,87
17,87
18,87
19,87
20,87
21,87
22,87
23,87
24,86
25,86
26,86
27,85
28,85
29,85
30,85
31,85
32,84
33,84
34,84
35,85
36,85
37,85
38,85
39,85
40,85
41,86
42,86
43,86
44,86
45,87
46,87
47,87
48,87
49,87
50,87
51,87
52,87
53,87
54,87
55,87
56,86
57,86
58,85
59,85
60,84
61,84
62,84
63,83
64,83
65,82
66,81
67,81
68,81
69,81
70,80
71,80
72,80
73,79
74,79
75,79
76,78
77,78
78,77
79,76
80,75
81,74
82,74
83,74
84,74
85,74
86,73
87,72
88,72
89,72
90,72
91,72
92,71
93,70
94,71
95,70
96,69
97,69
98,70
99,70
100,70
101,70
102,70
103,69
104,69
105,69
106,70
107,70
108,69
109,69
110,69
111,69
112,68
113,67
114,67
115,68
116,69
117,68
118,67
119,67
120,66
121,65
122,65
123,65
124,65
125,65
126,65
127,66
128,66
129,66
130,66
131,66
132,67
133,67
134,67
135,67
136,67
137,67
138,67
139,67
140,67
141,67
142,67
143,67
144,67
145,67
146,67
147,67
148,67
149,67
150,66
151,66
152,66
153,66
154,66
155,66
156,67
157,67
158,68
159,69
160,69
161,69
162,69
163,70
164,70
165,71
166,72
167,71
168,71
169,70
170,71
171,71
172,70
173,71
174,70
175,70
176,71
177,71
178,72
179,72
180,72
181,73
182,73
183,73
184,73
185,73
186,74
187,75
188,75
189,75
190,74
191,74
192,75
193,75
194,75
195,76
196,77
197,77
198,77
199,77
200,77
201,78
202,78
203,78
204,77
205,77
206,77
207,77
208,78
209,77
210,77
211,76
212,77
213,77
214,77
215,76
216,75
217,75
218,76
219,76
220,77
221,78
222,78
223,78
224,78
225,78
226,78
227,78
228,77
229,76
230,76
231,76
232,75
233,75
234,74
235,73
236,73
237,73
238,73
239,73
240,73
241,72
242,72
243,71
244,70
245,69
246,69
247,69
248,69
249,69
250,70
251,69
252,68
253,68
254,68
255,68
256,68
257,68
258,68
259,67
260,68
261,68
262,68
263,68
264,68
265,68
266,68
267,69
268,69
269,70
270,70
271,70
272,71
273,71
274,71
275,70
276,70
277,71
278,71
279,72
280,72
281,72
282,73
283,73
284,73
285,73
286,73
287,73
288,73
289,73
290,74
291,74
292,74
293,75
294,75
295,74
296,74
297,74
298,74
299,74
300,74
301,74
302,75
303,76
304,76
305,76
306,76
307,75
308,75
309,76
310,76
311,77
312,77
313,78
314,78
315,79
316,80
317,81
318,81
319,81
320,81
321,81
322,81
323,81
324,82
325,82
326,82
327,82
328,83
329,84
330,84
331,84
332,85
333,85
334,86
335,87
336,87
337,86
338,86
339,86
340,86
341,87
342,87
343,87
344,88
345,89
346,89
347,89
348,89
349,89
350,89
351,90
352,91
353,91
354,91
355,91
356,91
357,91
358,91
359,92
360,92
361,92
362,92
363,92
364,92
365,92
366,92
367,92
368,92
369,92
370,92
371,91
372,91
373,91
374,92
375,92
376,92
377,92
378,92
379,92
380,93
381,93
382,92
383,92
384,92
385,92
386,92
387,92
388,92
389,92
390,92
391,92
392,92
393,92
394,91
395,91
396,91
397,91
398,91
399,91
400,91
401,91
402,91
403,91
404,91
405,91
406,91
407,91
408,90
409,90
410,90
411,89
412,88
413,88
414,88
415,88
416,88
417,88
418,88
419,88
420,88
421,88
422,87
423,87
424,87
425,87
426,87
427,87
428,86
429,86
430,86
431,86
432,86
433,86
434,86
435,86
436,86
437,87
438,87
439,86
440,86
441,86
442,86
443,87
444,87
445,87
446,87
447,87
448,87
449,86
450,86
451,85
452,85
453,85
454,85
455,85
456,85
457,85
458,85
459,85
460,85
461,85
462,85
463,85
464,85
465,85
466,85
467,85
468,85
469,85
470,85
471,86
472,86
473,86
474,86
475,87
476,87
477,87
478,87
479,87
480,86
481,86
482,87
483,87
484,87
485,87
486,87
487,87
488,87
489,87
490,87
491,87
492,87
493,87
494,88
495,89
496,89
497,89
498,89
499,89
500,89
501,89
502,89
503,89
504,90
505,90
506,90
507,91
508,92
509,92
510,92
511,93
512,93
513,93
514,93
515,93
516,93
517,93
518,93
519,93
520,93
521,93
522,94
523,94
524,94
525,94
526,93
527,92
528,93
529,93
530,93
531,93
532,93
533,93
534,93
535,92
536,92
537,92
538,92
539,93
540,93
541,93
542,93
543,93
544,93
545,93
546,93
547,93
548,93
549,94
550,94
551,95
552,95
553,95
554,95
555,95
556,94
557,94
558,94
559,94
560,94
561,94
562,94
563,94
564,94
565,93
566,93
567,93
568,93
569,93
570,92
571,92
572,92
573,92
574,91
575,91
576,91
577,91
578,91
579,91
580,92
581,91
582,91
583,91
584,90
585,90
586,89
587,89
588,88
589,88
590,88
591,88
592,88
593,88
594,88
595,88
596,88
597,88
598,88
599,88
600,88
601,87
602,87
603,86
604,86
605,86
606,86
607,86
608,86
609,86
610,86
611,86
612,87
613,87
614,87
615,87
616,87
617,86
618,86
619,86
620,86
621,86
622,86
623,86
624,86
625,86
626,86
627,87
628,86
629,85
630,84
631,84
632,84
633,83
634,83
635,84
636,84
637,84
638,83
639,83
640,83
641,83
642,83
643,83
644,83
645,83
646,83
647,83
648,83
649,83
650,83
651,83
652,83
653,83
654,83
655,83
656,83
657,83
658,83
659,83
660,83
661,82
662,82
663,82
664,82
665,83
666,83
667,83
668,83
669,83
670,84
671,84
672,84
673,84
674,85
675,85
676,85
677,84
678,84
679,84
680,84
681,85
682,84
683,84
684,85
685,85
686,86
687,86
688,87
689,87
690,87
691,86
692,85
693,85
694,84
695,83
696,82
697,81
698,81
699,81
700,81
701,82
702,82
703,83
704,83
705,83
706,83
707,82
708,82
709,81
710,80
711,80
712,80
713,80
714,80
715,80
716,80
717,81
718,81
719,81
720,81
721,81
722,81
723,81
724,81
725,81
726,82
727,82
728,82
729,83
730,84
731,84
732,84
733,85
734,85
735,85
736,85
737,85
738,86
739,86
740,85
741,85
742,84
743,84
744,84
745,84
746,84
747,84
748,83
749,82
750,82
751,82
752,82
753,82
754,82
755,82
756,83
757,82
758,82
759,81
760,81
761,82
762,82
763,82
764,82
765,82
766,82
767,82
768,82
769,82
770,82
771,82
772,81
773,81
774,81
775,81
776,81
777,81
778,81
779,81
780,80
781,80
782,81
783,81
784,81
785,81
786,81
787,80
788,80
789,80
790,80
791,81
792,82
793,82
794,83
795,84
796,84
797,85
798,85
799,85
800,85
801,85
802,85
803,85
804,85
805,85
806,85
807,86
808,86
809,87
810,88
811,88
812,88
813,88
814,87
815,87
816,87
817,87
818,87
819,87
820,87
821,87
822,87
823,87
824,87
825,87
826,86
827,86
828,87
829,87
830,87
831,87
832,87
833,87
834,87
835,87
836,87
837,87
838,86
839,86
840,87
841,86
842,86
843,86
844,86
845,86
846,86
847,86
848,87
849,87
850,87
851,87
852,87
853,86
854,86
855,86
856,85
857,85
858,85
859,85
860,85
861,84
862,83
863,83
864,83
865,82
866,82
867,82
868,82
869,82
870,82
871,82
872,83
873,83
874,82
875,82
876,82
877,82
878,82
879,82
880,83
881,83
882,83
883,82
884,82
885,82
886,82
887,83
888,83
889,83
890,83
891,83
892,82
893,81
894,81
895,80
896,81
897,81
898,81
899,81
900,81
901,81
902,81
903,81
904,81
905,81
906,81
907,80
908,80
909,80
910,80
911,79
912,79
913,79
914,79
915,79
916,78
917,78
918,78
919,78
920,78
921,78
922,77
923,77
924,77
925,76
926,77
927,77
928,76
929,76
930,76
931,75
932,75
933,75
934,75
935,75
936,75
937,74
938,75
939,75
940,75
941,76
942,77
943,77
944,77
945,77
946,77
947,77
948,77
949,77
950,77
951,77
952,77
953,78
954,78
955,78
956,79
957,80
958,80
959,81
960,81
961,82
962,83
963,83
964,83
965,84
966,84
967,83
968,83
969,83
970,83
971,83
972,83
973,83
974,84
975,84
976,84
977,85
978,85
979,85
980,85
981,85
982,84
983,85
984,85
985,85
986,85
987,85
988,85
989,85
990,85
991,84
992,85
993,86
994,86
995,86
996,86
997,86
998,86
999,86
1000,86
1001,86
1002,86
1003,86
1004,86
1005,86
1006,86
1007,87
1008,87
1009,87
1010,87
1011,88
1012,88
1013,88
1014,89
1015,89
1016,90
1017,90
1018,90
1019,90
1020,90
1021,90
1022,91
1023,91
1024,91
1025,92
1026,92
1027,92
1028,93
1029,93
1030,92
1031,93
1032,93
1033,92
1034,91
1035,91
1036,90
1037,91
1038,91
1039,91
1040,91
1041,91
1042,90
1043,90
1044,90
1045,89
1046,89
1047,89
1048,88
1049,88
1050,88
1051,88
1052,88
1053,88
1054,87
1055,87
1056,87
1057,87
1058,87
1059,87
1060,86
1061,86
1062,86
1063,86
1064,86
1065,86
1066,86
1067,87
1068,87
1069,86
1070,86
1071,86
1072,86
1073,86
1074,86
1075,86
1076,86
1077,86
1078,86
1079,86
1080,86
1081,86
1082,87
1083,87
1084,87
1085,87
1086,87
1087,87
1088,87
1089,87
1090,87
1091,88
1092,88
1093,88
1094,88
1095,89
1096,89
1097,89
1098,89
1099,89
1100,89
1101,89
1102,89
1103,89
1104,89
1105,88
1106,88
1107,88
1108,87
1109,87
1110,87
1111,87
1112,87
1113,87
1114,87
1115,87
1116,87
1117,87
1118,87
1119,87
1120,87
1121,87
1122,87
1123,87
1124,87
1125,87
1126,86
1127,86
1128,86
1129,86
1130,87
1131,87
1132,87
1133,88
1134,89
1135,89
1136,90
1137,90
1138,89
1139,89
1140,89
1141,88
1142,89
1143,89
1144,88
1145,89
1146,88
1147,87
1148,87
1149,88
1150,88
1151,88
1152,88
1153,88
1154,89
1155,89
1156,88
1157,88
1158,88
1159,88
1160,89
1161,89
1162,89
1163,89
1164,89
1165,89
1166,89
1167,89
1168,89
1169,90
1170,90
1171,89
1172,89
1173,89
1174,88
1175,88
1176,88
1177,88
1178,88
1179,88
1180,88
1181,88
1182,88
1183,88
1184,88
1185,88
1186,87
1187,87
1188,86
1189,86
1190,86
1191,85
1192,85
1193,85
1194,85
1195,85
1196,85
1197,85
1198,84
1199,84
1200,84
1201,84
1202,84
1203,84
1204,84
1205,85
1206,85
1207,85
1208,86
1209,86
1210,86
1211,86
1212,86
1213,86
1214,86
1215,86
1216,86
1217,86
1218,86
1219,85
1220,85
1221,85
1222,85
1223,85
1224,85
1225,84
1226,85
1227,85
1228,85
1229,84
1230,83
1231,83
1232,83
1233,83
1234,83
1235,83
1236,83
1237,83
1238,84
1239,84
1240,83
1241,83
1242,83
1243,83
1244,83
1245,83
1246,83
1247,83
1248,84
1249,84
1250,84
1251,84
1252,84
1253,84
1254,84
1255,83
1256,83
1257,83
1258,82
1259,82
1260,82
1261,82
1262,82
1263,81
1264,81
1265,80
1266,79
1267,78
1268,78
1269,78
1270,78
1271,79
1272,79
1273,79
1274,80
1275,80
1276,80
1277,80
1278,79
1279,78
1280,78
1281,78
1282,78
1283,78
1284,77
1285,77
1286,78
1287,77
1288,78
1289,78
1290,78
1291,79
1292,79
1293,78
1294,77
1295,77
1296,77
1297,77
1298,78
1299,78
1300,78
1301,78
1302,77
1303,77
1304,77
1305,77
1306,77
1307,77
1308,77
1309,77
1310,76
1311,76
1312,76
1313,76
1314,75
1315,75
1316,74
1317,74
1318,74
1319,74
1320,74
1321,74
1322,74
1323,74
1324,74
1325,75
1326,75
1327,75
1328,74
1329,75
1330,76
1331,76
1332,76
1333,76
1334,76
1335,76
1336,76
1337,76
1338,76
1339,76
1340,76
1341,76
1342,75
1343,74
1344,75
1345,75
1346,76
1347,76
1348,75
1349,75
1350,75
1351,74
1352,73
1353,72
1354,72
1355,73
1356,74
1357,74
1358,75
1359,74
1360,74
1361,74
1362,74
1363,75
1364,75
1365,76
1366,77
1367,78
1368,78
1369,78
1370,78
1371,78
1372,78
1373,78
1374,78
1375,78
