isolate,accession,location,street,date,species,sample_id
D_mel_USA_2020_mel-20-TD-3_Galbut_virus_RNA1_Complete_CDS,PQ625057,Colorado,Laurel,2020,melanogaster,mel-20-TD-3
D_mel_USA_2020_sim-20-TD-4_Galbut_virus_RNA1_Complete_CDS,PQ625058,Colorado,Laurel,2020,melanogaster,sim-20-TD-4
D_mel_USA_2021_mel-21-MDS-9_Galbut_virus_RNA1_Complete_CDS,PQ625059,Colorado,Michener,2021,melanogaster,mel-21-MDS-9
D_mel_USA_2023_500-F-11_Galbut_virus_RNA1_Complete_CDS,PQ625060,Colorado,Linden,2023,melanogaster,500-F-11
D_mel_USA_2023_500-F-21_Galbut_virus_RNA1_Complete_CDS,PQ625061,Colorado,Linden,2023,melanogaster,500-F-21
D_mel_USA_2023_500-F-41_Galbut_virus_RNA1_Complete_CDS,PQ625062,Colorado,Linden,2023,melanogaster,500-F-41
D_mel_USA_2023_500-F-67_Galbut_virus_RNA1_Complete_CDS,PQ625063,Colorado,Linden,2023,melanogaster,500-F-67
D_mel_USA_2023_500-M-16_Galbut_virus_RNA1_Complete_CDS,PQ625064,Colorado,Linden,2023,melanogaster,500-M-16
D_mel_USA_2023_500-M-17_Galbut_virus_RNA1_Complete_CDS,PQ625065,Colorado,Linden,2023,melanogaster,500-M-17
D_mel_USA_2023_500-M-54_Galbut_virus_RNA1_Complete_CDS,PQ625066,Colorado,Linden,2023,melanogaster,500-M-54
D_mel_USA_2023_500-M-57_Galbut_virus_RNA1_Complete_CDS,PQ625067,Colorado,Linden,2023,melanogaster,500-M-57
D_mel_USA_2023_500-M-60_Galbut_virus_RNA1_Complete_CDS,PQ625068,Colorado,Linden,2023,melanogaster,500-M-60
D_mel_USA_2023_500-M-61-2_Galbut_virus_RNA1_Complete_CDS,PQ625069,Colorado,Linden,2023,melanogaster,500-M-61-2
D_mel_USA_2023_500-M-61_Galbut_virus_RNA1_Complete_CDS,PQ625070,Colorado,Linden,2023,melanogaster,500-M-61
D_mel_USA_2023_500-M-65-2_Galbut_virus_RNA1_Complete_CDS,PQ625071,Colorado,Linden,2023,melanogaster,500-M-65-2
D_mel_USA_2023_500-M-65_Galbut_virus_RNA1_Complete_CDS,PQ625072,Colorado,Linden,2023,melanogaster,500-M-65
D_mel_USA_2023_500-M-71-2_Galbut_virus_RNA1_Complete_CDS,PQ625073,Colorado,Linden,2023,melanogaster,500-M-71-2
D_mel_USA_2023_500-M-83_Galbut_virus_RNA1_Complete_CDS,PQ625074,Colorado,Linden,2023,melanogaster,500-M-83
D_mel_USA_2023_500-M-84_Galbut_virus_RNA1_Complete_CDS,PQ625075,Colorado,Linden,2023,melanogaster,500-M-84
D_mel_USA_2023_500-M-F10_Galbut_virus_RNA1_Complete_CDS,PQ625076,Colorado,Linden,2023,melanogaster,500-M-F10
D_mel_USA_2023_500-M-F11_Galbut_virus_RNA1_Partial_CDS,PQ625077,Colorado,Linden,2023,melanogaster,500-M-F11
D_mel_USA_2023_500-M-G2_Galbut_virus_RNA1_Complete_CDS,PQ625078,Colorado,Linden,2023,melanogaster,500-M-G2
D_mel_USA_2023_1020-A7_Galbut_virus_RNA1_Complete_CDS,PQ625079,Colorado,Wabash,2023,melanogaster,1020-A7
D_mel_USA_2023_1020-B6_Galbut_virus_RNA1_Complete_CDS,PQ625080,Colorado,Wabash,2023,melanogaster,1020-B6
D_mel_USA_2023_1020-C2_Galbut_virus_RNA1_Complete_CDS,PQ625081,Colorado,Wabash,2023,melanogaster,1020-C2
D_mel_USA_2023_1020-D1_Galbut_virus_RNA1_Complete_CDS,PQ625082,Colorado,Wabash,2023,melanogaster,1020-D1
D_mel_USA_2023_1020-D3_Galbut_virus_RNA1_Partial_CDS,PQ625083,Colorado,Wabash,2023,melanogaster,1020-D3
D_mel_USA_2023_1020-F1_Galbut_virus_RNA1_Partial_CDS,PQ625084,Colorado,Wabash,2023,melanogaster,1020-F1
D_mel_USA_2023_1020-F6_Galbut_virus_RNA1_Complete_CDS,PQ625085,Colorado,Wabash,2023,melanogaster,1020-F6
D_mel_USA_2023_1020-F-31_Galbut_virus_RNA1_Complete_CDS,PQ625086,Colorado,Wabash,2023,melanogaster,1020-F-31
D_mel_USA_2023_1020-F-36_Galbut_virus_RNA1_Complete_CDS,PQ625087,Colorado,Wabash,2023,melanogaster,1020-F-36
D_mel_USA_2023_1020-F-40_Galbut_virus_RNA1_Complete_CDS,PQ625088,Colorado,Wabash,2023,melanogaster,1020-F-40
D_mel_USA_2023_1020-F-44_Galbut_virus_RNA1_Complete_CDS,PQ625089,Colorado,Wabash,2023,melanogaster,1020-F-44
D_mel_USA_2023_1020-F-0818-D4_Galbut_virus_RNA1_Complete_CDS,PQ625090,Colorado,Wabash,2023,melanogaster,1020-F-0818-D4
D_mel_USA_2023_1020-F-0818-D11_Galbut_virus_RNA1_Complete_CDS,PQ625091,Colorado,Wabash,2023,melanogaster,1020-F-0818-D11
D_mel_USA_2023_1020-G3_Galbut_virus_RNA1_Complete_CDS,PQ625092,Colorado,Wabash,2023,melanogaster,1020-G3
D_mel_USA_2023_1020-M-8_Galbut_virus_RNA1_Complete_CDS,PQ625093,Colorado,Wabash,2023,melanogaster,1020-M-8
D_mel_USA_2023_1020-M-19_Galbut_virus_RNA1_Complete_CDS,PQ625094,Colorado,Wabash,2023,melanogaster,1020-M-19
D_mel_USA_2023_1020-M-0818-A5_Galbut_virus_RNA1_Complete_CDS,PQ625095,Colorado,Wabash,2023,melanogaster,1020-M-0818-A5
D_mel_USA_2023_1020-M-0818-A7_Galbut_virus_RNA1_Partial_CDS,PQ625096,Colorado,Wabash,2023,melanogaster,1020-M-0818-A7
D_mel_USA_2023_1020-M-0818-A10_Galbut_virus_RNA1_Complete_CDS,PQ625097,Colorado,Wabash,2023,melanogaster,1020-M-0818-A10
D_mel_USA_2023_1428-F-8_Galbut_virus_RNA1_Complete_CDS,PQ625098,Colorado,Elm,2023,melanogaster,1428-F-8
D_mel_USA_2023_1428-F-21_Galbut_virus_RNA1_Complete_CDS,PQ625099,Colorado,Elm,2023,melanogaster,1428-F-21
D_mel_USA_2023_1428-M-3_Galbut_virus_RNA1_Complete_CDS,PQ625100,Colorado,Elm,2023,melanogaster,1428-M-3
D_mel_USA_2023_1428-M-4_Galbut_virus_RNA1_Complete_CDS,PQ625101,Colorado,Elm,2023,melanogaster,1428-M-4
D_mel_USA_2023_1428-M-21_Galbut_virus_RNA1_Complete_CDS,PQ625102,Colorado,Elm,2023,melanogaster,1428-M-21
D_mel_USA_2023_1428-M-42_Galbut_virus_RNA1_Complete_CDS,PQ625103,Colorado,Elm,2023,melanogaster,1428-M-42
D_mel_USA_2023_Adobe-B4_Galbut_virus_RNA1_Complete_CDS,PQ625104,Colorado,Adobe,2023,melanogaster,Adobe-B4
D_mel_USA_2023_Adobe-B6_Galbut_virus_RNA1_Complete_CDS,PQ625105,Colorado,Adobe,2023,melanogaster,Adobe-B6
D_mel_USA_2023_Adobe-B8_Galbut_virus_RNA1_Complete_CDS,PQ625106,Colorado,Adobe,2023,melanogaster,Adobe-B8
D_mel_USA_2023_Adobe-C2_Galbut_virus_RNA1_Complete_CDS,PQ625107,Colorado,Adobe,2023,melanogaster,Adobe-C2
D_mel_USA_2023_Briarwood-D9_Galbut_virus_RNA1_Complete_CDS,PQ625108,Colorado,Briarwood,2023,melanogaster,Briarwood-D9
D_mel_USA_2023_CVID-0825-B1_Galbut_virus_RNA1_Complete_CDS,PQ625109,Colorado,Rampart,2023,melanogaster,CVID-0825-B1
D_mel_USA_2023_CVID-0825-C10_Galbut_virus_RNA1_Complete_CDS,PQ625110,Colorado,Rampart,2023,melanogaster,CVID-0825-C10
D_mel_USA_2023_CVID-0911-F4_Galbut_virus_RNA1_Complete_CDS,PQ625111,Colorado,Rampart,2023,melanogaster,CVID-0911-F4
D_mel_USA_2023_CVID-1006-G6_Galbut_virus_RNA1_Complete_CDS,PQ625112,Colorado,Rampart,2023,melanogaster,CVID-1006-G6
D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA1_Complete_CDS,PQ625113,Colorado,Rampart,2023,melanogaster,CVID-1006-G7
D_mel_USA_2023_CVID-1006-H2_Galbut_virus_RNA1_Complete_CDS,PQ625114,Colorado,Rampart,2023,melanogaster,CVID-1006-H2
D_mel_USA_2023_CVID-1006-H3_Galbut_virus_RNA1_Complete_CDS,PQ625115,Colorado,Rampart,2023,melanogaster,CVID-1006-H3
D_mel_USA_2023_James-A4_Galbut_virus_RNA1_Complete_CDS,PQ625116,Colorado,James,2023,melanogaster,James-A4
D_mel_USA_2023_James-A5_Galbut_virus_RNA1_Complete_CDS,PQ625117,Colorado,James,2023,melanogaster,James-A5
D_mel_USA_2023_ME-F-1_Galbut_virus_RNA1_Complete_CDS,PQ625118,Maine,Cushman,2023,melanogaster,ME-F-1
D_mel_USA_2023_ME-F-3_Galbut_virus_RNA1_Complete_CDS,PQ625119,Maine,Cushman,2023,melanogaster,ME-F-3
D_mel_USA_2023_ME-M-1_Galbut_virus_RNA1_Complete_CDS,PQ625120,Maine,Cushman,2023,melanogaster,ME-M-1
D_mel_USA_2023_ME-M-2_Galbut_virus_RNA1_Complete_CDS,PQ625121,Maine,Cushman,2023,melanogaster,ME-M-2
D_mel_USA_2023_ME-M-4_Galbut_virus_RNA1_Complete_CDS,PQ625122,Maine,Cushman,2023,melanogaster,ME-M-4
D_mel_USA_2023_ME-M-6_Galbut_virus_RNA1_Complete_CDS,PQ625123,Maine,Cushman,2023,melanogaster,ME-M-6
D_mel_USA_2023_ME-M-7_Galbut_virus_RNA1_Complete_CDS_1,PQ625124,Maine,Cushman,2023,melanogaster,ME-M-7
D_mel_USA_2023_ME-M-7_Galbut_virus_RNA1_Complete_CDS_2,PQ625125,Maine,Cushman,2023,melanogaster,ME-M-7
D_mel_USA_2023_ME-M-8_Galbut_virus_RNA1_Partial_CDS,PQ625126,Maine,Cushman,2023,melanogaster,ME-M-8
D_mel_USA_2023_ME-M-10_Galbut_virus_RNA1_Complete_CDS,PQ625127,Maine,Cushman,2023,melanogaster,ME-M-10
D_mel_USA_2023_ME-M-11_Galbut_virus_RNA1_Complete_CDS,PQ625128,Maine,Cushman,2023,melanogaster,ME-M-11
D_mel_USA_2023_ME-M-14_Galbut_virus_RNA1_Complete_CDS,PQ625129,Maine,Cushman,2023,melanogaster,ME-M-14
D_mel_USA_2023_ME-M-17_Galbut_virus_RNA1_Complete_CDS,PQ625130,Maine,Cushman,2023,melanogaster,ME-M-17
D_mel_USA_2023_ME-M-18_Galbut_virus_RNA1_Complete_CDS,PQ625131,Maine,Cushman,2023,melanogaster,ME-M-18
D_mel_USA_2023_ME-M-19_Galbut_virus_RNA1_Complete_CDS,PQ625132,Maine,Cushman,2023,melanogaster,ME-M-19
D_mel_USA_2023_ME-M-20_Galbut_virus_RNA1_Complete_CDS,PQ625133,Maine,Cushman,2023,melanogaster,ME-M-20
D_mel_USA_2023_Myrtle-D5_Galbut_virus_RNA1_Complete_CDS,PQ625134,Colorado,Myrtle,2023,melanogaster,Myrtle-D5
D_mel_USA_2023_Myrtle-D11_Galbut_virus_RNA1_Complete_CDS,PQ625135,Colorado,Myrtle,2023,melanogaster,Myrtle-D11
D_mel_USA_2023_Myrtle-E9_Galbut_virus_RNA1_Complete_CDS,PQ625136,Colorado,Myrtle,2023,melanogaster,Myrtle-E9
D_mel_USA_2023_OH-M-5_Galbut_virus_RNA1_Complete_CDs,PQ625137,Ohio,Williamsburg,2023,melanogaster,OH-M-5
D_mel_USA_2023_Peach-8-F7_Galbut_virus_RNA1_Complete_CDS,PQ625138,Colorado,JFK Parkway,2023,melanogaster,Peach-8-F7
D_mel_USA_2023_Peach-9-F8_Galbut_virus_RNA1_Complete_CDs,PQ625139,Colorado,JFK Parkway,2023,melanogaster,Peach-9-F8
D_mel_USA_2023_Peach-10-F10_Galbut_virus_RNA1_Complete_CDS,PQ625140,Colorado,JFK Parkway,2023,melanogaster,Peach-10-F10
