Name,Date
PQ625057,2020
PQ625058,2020
PQ625059,2021
PQ625060,2023
PQ625061,2023
PQ625062,2023
PQ625063,2023
PQ625064,2023
PQ625065,2023
PQ625066,2023
PQ625067,2023
PQ625068,2023
PQ625069,2023
PQ625070,2023
PQ625071,2023
PQ625072,2023
PQ625073,2023
PQ625074,2023
PQ625075,2023
PQ625076,2023
PQ625077,2023
PQ625078,2023
PQ625079,2023
PQ625080,2023
PQ625081,2023
PQ625082,2023
PQ625083,2023
PQ625084,2023
PQ625085,2023
PQ625086,2023
PQ625087,2023
PQ625088,2023
PQ625089,2023
PQ625090,2023
PQ625091,2023
PQ625092,2023
PQ625093,2023
PQ625094,2023
PQ625095,2023
PQ625096,2023
PQ625097,2023
PQ625098,2023
PQ625099,2023
PQ625100,2023
PQ625101,2023
PQ625102,2023
PQ625103,2023
PQ625104,2023
PQ625105,2023
PQ625106,2023
PQ625107,2023
PQ625108,2023
PQ625109,2023
PQ625110,2023
PQ625111,2023
PQ625112,2023
PQ625113,2023
PQ625114,2023
PQ625115,2023
PQ625116,2023
PQ625117,2023
PQ625118,2023
PQ625119,2023
PQ625120,2023
PQ625121,2023
PQ625122,2023
PQ625123,2023
PQ625124,2023
PQ625125,2023
PQ625126,2023
PQ625127,2023
PQ625128,2023
PQ625129,2023
PQ625130,2023
PQ625131,2023
PQ625132,2023
PQ625133,2023
PQ625134,2023
PQ625135,2023
PQ625136,2023
PQ625137,2023
PQ625138,2023
PQ625139,2023
PQ625140,2023
PQ625141,2023
PQ625142,2023
PQ625143,2023
PQ625144,2023
PQ625145,2023
PQ625146,2023
PQ625147,2023
PQ625148,2023
PQ625149,2023
PQ625150,2023
PQ625151,2023
PQ625152,2023
PQ625153,2023
galbut_EVE_from_Wallace_supp_fig_S10,
KX884152,2013
MH384335,2008
MH384353,2008
MH384360,2008
MH384364,2008
MH384372,2008
MH384378,2008
MT742160,2017
MT742164,2018
MW976823,2018
MW976824,2018
MW976825,2018
MW976826,2018
MW976827,2018
MW976828,2018
MW976829,2018
MW976830,2018
MW976831,2018
MW976832,2018
MW976833,2018
MW976834,2018
MW976835,2018
MW976836,2018
OR729093,2020
OR729094,2020
OR729095,2020
OR729096,2020
OR729097,2020
OR729098,2020
OR729099,2021
OR729100,2021
OR729101,2021
OR729102,2021
OR729103,2021
OR729104,2021
OR729105,2021
OR729106,2021
OR729107,2021
OR729108,2021
OR729109,2021
OR729110,2021
OR729111,2021
OR729112,2021
OR729113,2021
OR729114,2021
OR729115,2021
OR729116,2021
OR729117,2021
OR820562,1908
OR820569,1930
OR820575,1919
OR820588,1963
OR820596,2000
OR820600,2011
outgroup_Bactrocera_MW310330,2019
