dataset	co1_species	count	pct_id	accession_species	accession	total_count	fractional_count				dataset	co1_species
1020-A7.trim_1	Drosophila_melanogaster	6937	99.78471241	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6937	1				1020-A7.trim_1	Drosophila_melanogaster
1020-A7.trim_2	Drosophila_melanogaster	7011	99.74081586	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7011	1				1020-A7.trim_2	Drosophila_melanogaster
1020-A8-2.trim_1	Drosophila_melanogaster	5271	99.79103775	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5271	1				1020-A8-2.trim_1	Drosophila_melanogaster
1020-A8-2.trim_2	Drosophila_melanogaster	5210	99.73218234	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5210	1				1020-A8-2.trim_2	Drosophila_melanogaster
1020-A8.trim_1	Drosophila_melanogaster	2112	99.7865625	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2115	0.99858156				1020-A8.trim_1	Drosophila_melanogaster
1020-A8.trim_2	Drosophila_melanogaster	2107	99.78258662	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2110	0.998578199				1020-A8.trim_2	Drosophila_melanogaster
1020-B11.trim_1	Drosophila_melanogaster	11887	99.78359384	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11888	0.999915882				1020-B11.trim_1	Drosophila_melanogaster
1020-B11.trim_2	Drosophila_melanogaster	11895	99.73360151	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11896	0.999915938				1020-B11.trim_2	Drosophila_melanogaster
1020-B6.trim_1	Drosophila_melanogaster	375	99.83192	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	375	1				1020-B6.trim_1	Drosophila_melanogaster
1020-B6.trim_2	Drosophila_melanogaster	378	99.78082011	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	378	1				1020-B6.trim_2	Drosophila_melanogaster
1020-C1.trim_1	Drosophila_melanogaster	8214	99.77377404	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	8214	1				1020-C1.trim_1	Drosophila_melanogaster
1020-C1.trim_2	Drosophila_melanogaster	8167	99.72337456	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	8167	1				1020-C1.trim_2	Drosophila_melanogaster
1020-C2.trim_1	Drosophila_melanogaster	8921	99.72229459	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	8925	0.999551821				1020-C2.trim_1	Drosophila_melanogaster
1020-C2.trim_2	Drosophila_melanogaster	9391	99.67094026	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9393	0.999787075				1020-C2.trim_2	Drosophila_melanogaster
1020-D1.trim_1	Drosophila_melanogaster	863	99.74967555	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	864	0.998842593				1020-D1.trim_1	Drosophila_melanogaster
1020-D1.trim_2	Drosophila_melanogaster	863	99.71596756	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	864	0.998842593				1020-D1.trim_2	Drosophila_melanogaster
1020-D3.trim_1	Drosophila_melanogaster	682	99.72129032	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	683	0.998535871				1020-D3.trim_1	Drosophila_melanogaster
1020-D3.trim_2	Drosophila_melanogaster	687	99.72612809	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	688	0.998546512				1020-D3.trim_2	Drosophila_melanogaster
1020-D9.trim_1	Drosophila_melanogaster	1098	99.80491803	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1099	0.999090082				1020-D9.trim_1	Drosophila_melanogaster
1020-D9.trim_2	Drosophila_melanogaster	1099	99.79492266	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1100	0.999090909				1020-D9.trim_2	Drosophila_melanogaster
1020-F-0818-D11.trim_1	Drosophila_melanogaster	6725	99.70711375	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6727	0.999702691				1020-F-0818-D11.trim_1	Drosophila_melanogaster
1020-F-0818-D11.trim_2	Drosophila_melanogaster	7063	99.65117655	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7065	0.999716914				1020-F-0818-D11.trim_2	Drosophila_melanogaster
1020-F-0818-D4.trim_1	Drosophila_melanogaster	6763	99.73084282	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6763	1				1020-F-0818-D4.trim_1	Drosophila_melanogaster
1020-F-0818-D4.trim_2	Drosophila_melanogaster	7009	99.68927094	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7010	0.999857347				1020-F-0818-D4.trim_2	Drosophila_melanogaster
1020-F-0818-E4.trim_1	Drosophila_melanogaster	6773	99.76826517	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6774	0.999852377				1020-F-0818-E4.trim_1	Drosophila_melanogaster
1020-F-0818-E4.trim_2	Drosophila_melanogaster	6809	99.71406961	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6809	1				1020-F-0818-E4.trim_2	Drosophila_melanogaster
1020-F-31.trim_1	Drosophila_melanogaster	4433	99.80186781	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4434	0.99977447				1020-F-31.trim_1	Drosophila_melanogaster
1020-F-31.trim_2	Drosophila_melanogaster	4427	99.74031172	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4428	0.999774164				1020-F-31.trim_2	Drosophila_melanogaster
1020-F-36.trim_1	Drosophila_melanogaster	3394	99.72132882	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3394	1				1020-F-36.trim_1	Drosophila_melanogaster
1020-F-36.trim_2	Drosophila_melanogaster	3624	99.70249172	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3624	1				1020-F-36.trim_2	Drosophila_melanogaster
1020-F-40.trim_1	Drosophila_melanogaster	2289	99.7968851	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2289	1				1020-F-40.trim_1	Drosophila_melanogaster
1020-F-40.trim_2	Drosophila_melanogaster	2276	99.80600176	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2276	1				1020-F-40.trim_2	Drosophila_melanogaster
1020-F-44.trim_1	Drosophila_melanogaster	3589	99.72316244	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3591	0.999443052				1020-F-44.trim_1	Drosophila_melanogaster
