Window Start	Percent Identity
1	89.00
2	89.00
3	89.00
4	89.00
5	89.00
6	89.00
7	89.00
8	90.00
9	90.00
10	90.00
11	91.00
12	91.00
13	91.00
14	92.00
15	92.00
16	91.00
17	91.00
18	91.00
19	91.00
20	91.00
21	91.00
22	92.00
23	92.00
24	92.00
25	92.00
26	92.00
27	92.00
28	92.00
29	91.00
30	91.00
31	91.00
32	91.00
33	91.00
34	91.00
35	91.00
36	91.00
37	91.00
38	91.00
39	91.00
40	91.00
41	91.00
42	91.00
43	91.00
44	91.00
45	91.00
46	91.00
47	92.00
48	92.00
49	91.00
50	91.00
51	91.00
52	90.00
53	90.00
54	90.00
55	90.00
56	89.00
57	89.00
58	89.00
59	89.00
60	89.00
61	89.00
62	89.00
63	90.00
64	90.00
65	91.00
66	91.00
67	91.00
68	91.00
69	91.00
70	91.00
71	91.00
72	91.00
73	91.00
74	91.00
75	91.00
76	92.00
77	92.00
78	92.00
79	92.00
80	92.00
81	93.00
82	93.00
83	94.00
84	94.00
85	94.00
86	94.00
87	94.00
88	94.00
89	94.00
90	94.00
91	94.00
92	94.00
93	94.00
94	94.00
95	95.00
96	95.00
97	95.00
98	95.00
99	95.00
100	95.00
101	95.00
102	95.00
103	95.00
104	95.00
105	95.00
106	94.00
107	93.00
108	93.00
109	93.00
110	92.00
111	92.00
112	92.00
113	92.00
114	92.00
115	92.00
116	93.00
117	93.00
118	93.00
119	92.00
120	92.00
121	92.00
122	92.00
123	92.00
124	92.00
125	92.00
126	92.00
127	92.00
128	92.00
129	93.00
130	93.00
131	93.00
132	93.00
133	93.00
134	93.00
135	93.00
136	93.00
137	93.00
138	93.00
139	93.00
140	93.00
141	93.00
142	93.00
143	93.00
144	93.00
145	93.00
146	92.00
147	92.00
148	92.00
149	93.00
150	93.00
151	93.00
152	93.00
153	92.00
154	92.00
155	92.00
156	93.00
157	93.00
158	93.00
159	93.00
160	93.00
161	92.00
162	92.00
163	92.00
164	92.00
165	92.00
166	92.00
167	92.00
168	92.00
169	92.00
170	92.00
171	92.00
172	92.00
173	92.00
174	92.00
175	92.00
176	92.00
177	92.00
178	92.00
179	91.00
180	91.00
181	91.00
182	91.00
183	91.00
184	91.00
185	91.00
186	91.00
187	91.00
188	91.00
189	91.00
190	91.00
191	91.00
192	91.00
193	91.00
194	91.00
195	91.00
196	91.00
197	91.00
198	91.00
199	91.00
200	91.00
201	91.00
202	91.00
203	90.00
204	90.00
205	90.00
206	91.00
207	92.00
208	92.00
209	92.00
210	93.00
211	93.00
212	93.00
213	93.00
214	93.00
215	93.00
216	93.00
217	93.00
218	93.00
219	94.00
220	94.00
221	93.00
222	93.00
223	93.00
224	93.00
225	93.00
226	93.00
227	93.00
228	93.00
229	93.00
230	93.00
231	93.00
232	93.00
233	93.00
234	93.00
235	93.00
236	93.00
237	93.00
238	93.00
239	93.00
240	93.00
241	93.00
242	93.00
243	93.00
244	93.00
245	92.00
246	93.00
247	93.00
248	92.00
249	92.00
250	92.00
251	92.00
252	93.00
253	94.00
254	93.00
255	93.00
256	93.00
257	93.00
258	93.00
259	93.00
260	93.00
261	94.00
262	94.00
263	93.00
264	93.00
265	93.00
266	93.00
267	93.00
268	93.00
269	92.00
270	91.00
271	91.00
272	91.00
273	91.00
274	91.00
275	91.00
276	91.00
277	91.00
278	91.00
279	92.00
280	92.00
281	92.00
282	92.00
283	92.00
284	91.00
285	91.00
286	91.00
287	91.00
288	91.00
289	91.00
290	91.00
291	91.00
292	91.00
293	91.00
294	91.00
295	91.00
296	91.00
297	91.00
298	91.00
299	91.00
300	91.00
301	91.00
302	90.00
303	90.00
304	90.00
305	90.00
306	90.00
307	90.00
308	90.00
309	90.00
310	90.00
311	90.00
312	90.00
313	90.00
314	89.00
315	89.00
316	89.00
317	88.00
318	88.00
319	88.00
320	88.00
321	89.00
322	89.00
323	89.00
324	89.00
325	89.00
326	89.00
327	89.00
328	89.00
329	89.00
330	89.00
331	89.00
332	88.00
333	88.00
334	88.00
335	88.00
336	88.00
337	88.00
338	88.00
339	88.00
340	88.00
341	88.00
342	88.00
343	88.00
344	88.00
345	89.00
346	89.00
347	88.00
348	89.00
349	89.00
350	88.00
351	88.00
352	88.00
353	88.00
354	89.00
355	89.00
356	88.00
357	88.00
358	88.00
359	87.00
360	87.00
361	87.00
362	87.00
363	88.00
364	88.00
365	88.00
366	88.00
367	88.00
368	88.00
369	89.00
370	90.00
371	90.00
372	90.00
373	90.00
374	90.00
375	90.00
376	90.00
377	90.00
378	90.00
379	90.00
380	90.00
381	90.00
382	90.00
383	90.00
384	91.00
385	91.00
386	90.00
387	90.00
388	90.00
389	90.00
390	90.00
391	90.00
392	90.00
393	90.00
394	90.00
395	90.00
396	90.00
397	90.00
398	89.00
399	89.00
400	89.00
401	89.00
402	90.00
403	91.00
404	91.00
405	91.00
406	91.00
407	91.00
408	91.00
409	91.00
410	91.00
411	91.00
412	91.00
413	91.00
414	92.00
415	92.00
416	92.00
417	93.00
418	93.00
419	93.00
420	93.00
421	93.00
422	93.00
423	93.00
424	93.00
425	92.00
426	92.00
427	92.00
428	92.00
429	92.00
430	92.00
431	92.00
432	93.00
433	93.00
434	93.00
435	93.00
436	93.00
437	93.00
438	93.00
439	93.00
440	93.00
441	93.00
442	93.00
443	92.00
444	92.00
445	92.00
446	92.00
447	93.00
448	93.00
449	93.00
450	94.00
451	94.00
452	94.00
453	94.00
454	94.00
455	94.00
456	95.00
457	95.00
458	95.00
459	96.00
460	96.00
461	96.00
462	96.00
463	96.00
464	96.00
465	96.00
466	96.00
467	96.00
468	96.00
469	96.00
470	96.00
471	96.00
472	96.00
473	96.00
474	96.00
475	96.00
476	96.00
477	96.00
478	96.00
479	96.00
480	96.00
481	96.00
482	96.00
483	96.00
484	96.00
485	96.00
486	97.00
487	97.00
488	97.00
489	97.00
490	97.00
491	97.00
492	97.00
493	97.00
494	97.00
495	97.00
496	97.00
497	97.00
498	98.00
499	98.00
500	98.00
501	98.00
502	98.00
503	98.00
504	98.00
505	98.00
506	98.00
507	98.00
508	98.00
509	98.00
510	98.00
511	98.00
512	98.00
513	98.00
514	98.00
515	98.00
516	98.00
517	98.00
518	98.00
519	98.00
520	98.00
521	98.00
522	98.00
523	98.00
524	98.00
525	99.00
526	99.00
527	99.00
528	99.00
529	99.00
530	99.00
531	99.00
532	99.00
533	99.00
534	99.00
535	99.00
536	99.00
537	99.00
538	99.00
539	99.00
540	99.00
541	99.00
542	99.00
543	100.00
544	100.00
545	100.00
546	100.00
547	100.00
548	100.00
549	100.00
550	100.00
551	100.00
552	100.00
553	100.00
554	100.00
555	100.00
556	100.00
557	100.00
558	100.00
559	100.00
560	100.00
561	100.00
562	100.00
563	100.00
564	100.00
565	100.00
566	100.00
567	100.00
568	100.00
569	100.00
570	100.00
571	100.00
572	100.00
573	100.00
574	100.00
575	100.00
576	100.00
577	100.00
578	100.00
579	100.00
580	100.00
581	100.00
582	100.00
583	100.00
584	100.00
585	100.00
586	100.00
587	100.00
588	100.00
589	100.00
590	100.00
591	100.00
592	100.00
593	100.00
594	100.00
595	100.00
596	100.00
597	100.00
598	100.00
599	100.00
600	100.00
601	100.00
602	100.00
603	100.00
604	100.00
605	99.00
606	99.00
607	99.00
608	98.00
609	98.00
610	98.00
611	98.00
612	98.00
613	98.00
614	98.00
615	98.00
616	98.00
617	98.00
618	98.00
619	98.00
620	98.00
621	98.00
622	98.00
623	98.00
624	98.00
625	98.00
626	98.00
627	98.00
628	98.00
629	97.00
630	97.00
631	97.00
632	97.00
633	97.00
634	97.00
635	97.00
636	97.00
637	97.00
638	97.00
639	97.00
640	97.00
641	96.00
642	96.00
643	96.00
644	95.00
645	95.00
646	95.00
647	95.00
648	95.00
649	95.00
650	95.00
651	95.00
652	95.00
653	95.00
654	95.00
655	95.00
656	95.00
657	94.00
658	94.00
659	94.00
660	94.00
661	94.00
662	94.00
663	94.00
664	94.00
665	94.00
666	94.00
667	94.00
668	93.00
669	93.00
670	93.00
671	93.00
672	93.00
673	93.00
674	92.00
675	92.00
676	92.00
677	92.00
678	92.00
679	92.00
680	92.00
681	92.00
682	92.00
683	92.00
684	92.00
685	92.00
686	92.00
687	92.00
688	92.00
689	92.00
690	92.00
691	92.00
692	92.00
693	92.00
694	92.00
695	92.00
696	92.00
697	92.00
698	92.00
699	92.00
700	92.00
701	91.00
702	91.00
703	91.00
704	91.00
705	92.00
706	92.00
707	91.00
708	92.00
709	92.00
710	92.00
711	92.00
712	92.00
713	92.00
714	92.00
715	92.00
716	91.00
717	91.00
718	91.00
719	91.00
720	91.00
721	91.00
722	91.00
723	91.00
724	91.00
725	91.00
726	91.00
727	91.00
728	91.00
729	92.00
730	92.00
731	92.00
732	92.00
733	92.00
734	92.00
735	92.00
736	92.00
737	92.00
738	92.00
739	92.00
740	91.00
741	92.00
742	92.00
743	91.00
744	92.00
745	92.00
746	91.00
747	91.00
748	91.00
749	90.00
750	90.00
751	90.00
752	90.00
753	90.00
754	90.00
755	90.00
756	90.00
757	91.00
758	91.00
759	91.00
760	91.00
761	90.00
762	90.00
763	90.00
764	89.00
765	89.00
766	89.00
767	88.00
768	89.00
769	89.00
770	89.00
771	89.00
772	89.00
773	89.00
774	90.00
775	90.00
776	90.00
777	90.00
778	90.00
779	90.00
780	90.00
781	90.00
782	90.00
783	90.00
784	90.00
785	90.00
786	90.00
787	90.00
788	90.00
789	90.00
790	90.00
791	90.00
792	90.00
793	90.00
794	90.00
795	90.00
796	90.00
797	89.00
798	89.00
799	89.00
800	89.00
801	90.00
802	90.00
803	90.00
804	90.00
805	90.00
806	89.00
807	90.00
808	90.00
809	90.00
810	90.00
811	90.00
812	89.00
813	89.00
814	89.00
815	89.00
816	90.00
817	90.00
818	90.00
819	90.00
820	90.00
821	90.00
822	90.00
823	90.00
824	90.00
825	90.00
826	90.00
827	89.00
828	89.00
829	89.00
830	89.00
831	89.00
832	89.00
833	89.00
834	89.00
835	89.00
836	89.00
837	89.00
838	89.00
839	89.00
840	90.00
841	90.00
842	90.00
843	91.00
844	91.00
845	91.00
846	92.00
847	92.00
848	92.00
849	93.00
850	93.00
851	93.00
852	93.00
853	93.00
854	93.00
855	93.00
856	93.00
857	93.00
858	93.00
859	93.00
860	93.00
861	94.00
862	94.00
863	94.00
864	95.00
865	95.00
866	95.00
867	96.00
868	96.00
869	96.00
870	96.00
871	96.00
872	96.00
873	96.00
874	96.00
875	96.00
876	96.00
877	96.00
878	96.00
879	96.00
880	96.00
881	96.00
882	96.00
883	96.00
884	96.00
885	96.00
886	96.00
887	96.00
888	95.00
889	95.00
890	95.00
891	95.00
892	95.00
893	95.00
894	95.00
895	95.00
896	95.00
897	96.00
898	96.00
899	96.00
900	96.00
901	96.00
902	96.00
903	96.00
904	96.00
905	95.00
906	96.00
907	96.00
908	96.00
909	96.00
910	96.00
911	96.00
912	97.00
913	97.00
914	97.00
915	97.00
916	97.00
917	97.00
918	97.00
919	97.00
920	96.00
921	96.00
922	96.00
923	95.00
924	95.00
925	95.00
926	95.00
927	96.00
928	96.00
929	96.00
930	96.00
931	96.00
932	96.00
933	96.00
934	96.00
935	96.00
936	96.00
937	96.00
938	96.00
939	96.00
940	96.00
941	96.00
942	96.00
943	96.00
944	96.00
945	96.00
946	96.00
947	96.00
948	96.00
949	96.00
950	96.00
951	96.00
952	96.00
953	96.00
954	96.00
955	96.00
956	96.00
957	96.00
958	96.00
959	96.00
960	96.00
961	96.00
962	96.00
963	95.00
964	95.00
965	95.00
966	95.00
967	95.00
968	95.00
969	95.00
970	95.00
971	95.00
972	95.00
973	95.00
974	95.00
975	95.00
976	95.00
977	95.00
978	95.00
979	95.00
980	94.00
981	94.00
982	94.00
983	94.00
984	94.00
985	94.00
986	94.00
987	94.00
988	95.00
989	95.00
990	95.00
991	95.00
992	95.00
993	95.00
994	95.00
995	95.00
996	95.00
997	95.00
998	95.00
999	95.00
1000	95.00
1001	95.00
1002	94.00
1003	94.00
1004	94.00
1005	95.00
1006	95.00
1007	95.00
1008	95.00
1009	95.00
1010	95.00
1011	95.00
1012	95.00
1013	95.00
1014	95.00
1015	95.00
1016	95.00
1017	95.00
1018	95.00
1019	95.00
1020	96.00
1021	96.00
1022	96.00
1023	97.00
1024	97.00
1025	97.00
1026	97.00
1027	97.00
1028	97.00
1029	97.00
1030	97.00
1031	97.00
1032	97.00
1033	97.00
1034	97.00
1035	97.00
1036	97.00
1037	97.00
1038	97.00
1039	97.00
1040	97.00
1041	97.00
1042	97.00
1043	97.00
1044	97.00
1045	97.00
1046	97.00
1047	97.00
1048	97.00
1049	97.00
1050	97.00
1051	97.00
1052	97.00
1053	97.00
1054	97.00
1055	97.00
1056	97.00
1057	97.00
1058	97.00
1059	97.00
1060	97.00
1061	97.00
1062	97.00
