Window Start	Percent Identity
1	82.00
2	82.00
3	81.00
4	81.00
5	81.00
6	80.00
7	79.00
8	79.00
9	79.00
10	79.00
11	79.00
12	79.00
13	79.00
14	80.00
15	79.00
16	79.00
17	79.00
18	79.00
19	79.00
20	79.00
21	79.00
22	79.00
23	79.00
24	78.00
25	78.00
26	77.00
27	76.00
28	76.00
29	76.00
30	75.00
31	75.00
32	75.00
33	75.00
34	75.00
35	75.00
36	75.00
37	74.00
38	74.00
39	74.00
40	74.00
41	75.00
42	74.00
43	74.00
44	74.00
45	74.00
46	73.00
47	74.00
48	74.00
49	75.00
50	75.00
51	75.00
52	75.00
53	75.00
54	75.00
55	74.00
56	73.00
57	72.00
58	71.00
59	71.00
60	70.00
61	69.00
62	68.00
63	67.00
64	66.00
65	65.00
66	64.00
67	64.00
68	63.00
69	63.00
70	62.00
71	61.00
72	60.00
73	59.00
74	59.00
75	59.00
76	59.00
77	59.00
78	59.00
79	59.00
80	59.00
81	60.00
82	61.00
83	62.00
84	62.00
85	62.00
86	62.00
87	62.00
88	61.00
89	61.00
90	61.00
91	61.00
92	62.00
93	62.00
94	63.00
95	64.00
96	64.00
97	64.00
98	65.00
99	65.00
100	66.00
101	66.00
102	66.00
103	67.00
104	67.00
105	67.00
106	67.00
107	68.00
108	68.00
109	67.00
110	67.00
111	67.00
112	67.00
113	67.00
114	67.00
115	68.00
116	68.00
117	68.00
118	68.00
119	68.00
120	68.00
121	67.00
122	67.00
123	67.00
124	67.00
125	66.00
126	66.00
127	66.00
128	65.00
129	64.00
130	64.00
131	63.00
132	62.00
133	61.00
134	60.00
135	59.00
136	58.00
137	58.00
138	57.00
139	56.00
140	55.00
141	54.00
142	55.00
143	55.00
144	55.00
145	54.00
146	55.00
147	55.00
148	55.00
149	55.00
150	55.00
151	55.00
152	55.00
153	55.00
154	55.00
155	56.00
156	57.00
157	58.00
158	59.00
159	60.00
160	61.00
161	62.00
162	63.00
163	64.00
164	65.00
165	65.00
166	66.00
167	66.00
168	67.00
169	67.00
170	68.00
171	69.00
172	70.00
173	71.00
174	71.00
175	70.00
176	71.00
177	71.00
178	72.00
179	72.00
180	72.00
181	71.00
182	70.00
183	70.00
184	69.00
185	68.00
186	68.00
187	67.00
188	67.00
189	67.00
190	66.00
191	66.00
192	66.00
193	65.00
194	65.00
195	64.00
196	63.00
197	62.00
198	62.00
199	61.00
200	61.00
201	61.00
202	60.00
203	60.00
204	60.00
205	59.00
206	59.00
207	59.00
208	59.00
209	59.00
210	59.00
211	58.00
212	58.00
213	58.00
214	57.00
215	56.00
216	55.00
217	55.00
218	54.00
219	54.00
220	54.00
221	55.00
222	56.00
223	57.00
224	57.00
225	58.00
226	59.00
227	60.00
228	61.00
229	62.00
230	63.00
231	63.00
232	64.00
233	65.00
234	65.00
235	65.00
236	66.00
237	67.00
238	67.00
239	68.00
240	69.00
241	70.00
242	70.00
243	70.00
244	69.00
245	69.00
246	69.00
247	68.00
248	67.00
249	66.00
250	66.00
251	65.00
252	64.00
253	63.00
254	63.00
255	63.00
256	62.00
257	61.00
258	61.00
259	61.00
260	61.00
261	60.00
262	60.00
263	59.00
264	58.00
265	59.00
266	59.00
267	59.00
268	58.00
269	58.00
270	58.00
271	58.00
272	58.00
273	58.00
274	58.00
275	59.00
276	59.00
277	59.00
278	59.00
279	59.00
280	58.00
281	59.00
282	60.00
283	60.00
284	60.00
285	61.00
286	61.00
287	62.00
288	63.00
289	63.00
290	64.00
291	64.00
292	63.00
293	64.00
294	64.00
295	65.00
296	66.00
297	67.00
298	67.00
299	68.00
300	68.00
301	67.00
302	68.00
303	68.00
304	67.00
305	68.00
306	69.00
307	68.00
308	68.00
309	69.00
310	69.00
311	70.00
312	70.00
313	70.00
314	71.00
315	72.00
316	73.00
317	73.00
318	74.00
319	74.00
320	74.00
321	74.00
322	74.00
323	74.00
324	75.00
325	74.00
326	74.00
327	73.00
328	73.00
329	73.00
330	73.00
331	74.00
332	73.00
333	73.00
334	74.00
335	75.00
336	75.00
337	75.00
338	75.00
339	75.00
340	75.00
341	75.00
342	75.00
343	74.00
344	74.00
345	75.00
346	75.00
347	76.00
348	77.00
349	78.00
350	78.00
351	79.00
352	79.00
353	79.00
354	79.00
355	79.00
356	79.00
357	80.00
358	80.00
359	80.00
360	80.00
361	81.00
362	81.00
363	82.00
364	83.00
365	83.00
366	83.00
367	83.00
368	84.00
369	84.00
370	83.00
371	83.00
372	83.00
373	83.00
374	83.00
375	83.00
376	83.00
377	84.00
378	84.00
379	84.00
380	85.00
381	85.00
382	85.00
383	85.00
384	86.00
385	86.00
386	86.00
387	86.00
388	86.00
389	86.00
390	86.00
391	85.00
392	86.00
393	86.00
394	86.00
395	86.00
396	86.00
397	86.00
398	86.00
399	86.00
400	85.00
401	86.00
402	86.00
403	86.00
404	87.00
405	87.00
406	87.00
407	88.00
408	88.00
409	88.00
410	88.00
411	88.00
412	88.00
413	87.00
414	87.00
415	87.00
416	87.00
417	87.00
418	87.00
419	87.00
420	87.00
421	87.00
422	86.00
423	86.00
424	86.00
425	87.00
426	87.00
427	88.00
428	87.00
429	87.00
430	87.00
431	87.00
432	88.00
433	88.00
434	88.00
435	88.00
436	88.00
437	88.00
438	89.00
439	88.00
440	88.00
441	88.00
442	88.00
443	89.00
444	90.00
445	90.00
446	90.00
447	90.00
448	89.00
449	88.00
450	88.00
451	87.00
452	88.00
453	89.00
454	89.00
455	89.00
456	90.00
457	90.00
458	90.00
459	90.00
460	90.00
461	90.00
462	90.00
463	90.00
464	90.00
465	90.00
466	90.00
467	90.00
468	90.00
469	90.00
470	91.00
471	91.00
472	91.00
473	91.00
474	91.00
475	91.00
476	91.00
477	91.00
478	91.00
479	91.00
480	90.00
481	90.00
482	90.00
483	90.00
484	90.00
485	90.00
486	90.00
487	90.00
488	90.00
489	90.00
490	90.00
491	91.00
492	91.00
493	91.00
494	91.00
495	91.00
496	91.00
497	91.00
498	91.00
499	91.00
500	92.00
501	92.00
502	92.00
503	92.00
504	92.00
505	92.00
506	92.00
507	91.00
508	90.00
509	90.00
510	90.00
511	89.00
512	88.00
513	89.00
514	89.00
515	89.00
516	89.00
517	89.00
518	89.00
519	89.00
520	89.00
521	89.00
522	90.00
523	90.00
524	90.00
525	90.00
526	90.00
527	90.00
528	91.00
529	91.00
530	91.00
531	91.00
532	91.00
533	91.00
534	91.00
535	90.00
536	90.00
537	90.00
538	90.00
539	91.00
540	91.00
541	91.00
542	91.00
543	91.00
544	91.00
545	91.00
546	91.00
547	90.00
548	91.00
549	92.00
550	91.00
551	92.00
552	92.00
553	91.00
554	91.00
555	91.00
556	91.00
557	91.00
558	91.00
559	90.00
560	90.00
561	90.00
562	89.00
563	89.00
564	89.00
565	88.00
566	88.00
567	88.00
568	87.00
569	87.00
570	86.00
571	86.00
572	86.00
573	86.00
574	85.00
575	85.00
576	85.00
577	84.00
578	84.00
579	84.00
580	85.00
581	84.00
582	84.00
583	84.00
584	83.00
585	83.00
586	82.00
587	82.00
588	82.00
589	82.00
590	82.00
591	82.00
592	81.00
593	81.00
594	81.00
595	81.00
596	81.00
597	81.00
598	80.00
599	79.00
600	79.00
601	78.00
602	78.00
603	77.00
604	77.00
605	77.00
606	76.00
607	77.00
608	78.00
609	78.00
610	78.00
611	79.00
612	80.00
613	80.00
614	80.00
615	80.00
616	80.00
617	79.00
618	79.00
619	79.00
620	79.00
621	79.00
622	79.00
623	79.00
624	79.00
625	78.00
626	78.00
627	78.00
628	77.00
629	76.00
630	76.00
631	75.00
632	75.00
633	75.00
634	75.00
635	76.00
636	76.00
637	76.00
638	75.00
639	75.00
640	75.00
641	75.00
642	75.00
643	75.00
644	75.00
645	75.00
646	75.00
647	75.00
648	75.00
649	75.00
650	76.00
651	76.00
652	76.00
653	77.00
654	77.00
655	77.00
656	77.00
657	77.00
658	77.00
659	78.00
660	78.00
661	78.00
662	79.00
663	79.00
664	78.00
665	79.00
666	79.00
667	79.00
668	80.00
669	80.00
670	81.00
671	81.00
672	81.00
673	81.00
674	82.00
675	82.00
676	82.00
677	83.00
678	83.00
679	83.00
680	82.00
681	83.00
682	82.00
683	82.00
684	83.00
685	83.00
686	84.00
687	84.00
688	84.00
689	84.00
690	84.00
691	84.00
692	85.00
693	85.00
694	84.00
695	84.00
696	84.00
697	83.00
698	84.00
699	85.00
700	85.00
701	86.00
702	86.00
703	87.00
704	87.00
705	87.00
706	88.00
707	87.00
708	87.00
709	86.00
710	85.00
711	85.00
712	85.00
713	85.00
714	85.00
715	85.00
716	85.00
717	86.00
718	86.00
719	86.00
720	86.00
721	86.00
722	86.00
723	86.00
724	86.00
725	87.00
726	87.00
727	87.00
728	88.00
729	89.00
730	89.00
731	89.00
732	88.00
733	88.00
734	88.00
735	88.00
736	88.00
737	88.00
738	89.00
739	89.00
740	88.00
741	88.00
742	87.00
743	87.00
744	87.00
745	86.00
746	86.00
747	87.00
748	87.00
749	87.00
750	87.00
751	87.00
752	87.00
753	87.00
754	87.00
755	87.00
756	87.00
757	87.00
758	87.00
759	86.00
760	86.00
761	86.00
762	86.00
763	86.00
764	87.00
765	87.00
766	87.00
767	87.00
768	87.00
769	87.00
770	87.00
771	86.00
772	86.00
773	86.00
774	86.00
775	85.00
776	84.00
777	83.00
778	83.00
779	83.00
780	84.00
781	84.00
782	85.00
783	85.00
784	85.00
785	85.00
786	85.00
787	84.00
788	84.00
789	84.00
790	84.00
791	84.00
792	84.00
793	84.00
794	85.00
795	85.00
796	85.00
797	86.00
798	85.00
799	84.00
800	84.00
801	84.00
802	84.00
803	83.00
804	83.00
805	83.00
806	83.00
807	84.00
808	84.00
809	85.00
810	86.00
811	86.00
812	86.00
813	86.00
814	86.00
815	86.00
816	86.00
817	86.00
818	86.00
819	86.00
820	86.00
821	86.00
822	86.00
823	86.00
824	86.00
825	86.00
826	85.00
827	85.00
828	85.00
829	85.00
830	85.00
831	86.00
832	87.00
833	87.00
834	87.00
835	87.00
836	87.00
837	87.00
838	86.00
839	86.00
840	87.00
841	87.00
842	88.00
843	88.00
844	88.00
845	89.00
846	89.00
847	89.00
848	89.00
849	88.00
850	88.00
851	88.00
852	88.00
853	88.00
854	88.00
855	88.00
856	88.00
857	88.00
858	88.00
859	88.00
860	88.00
861	88.00
862	87.00
863	87.00
864	87.00
865	86.00
866	86.00
867	86.00
868	85.00
869	85.00
870	85.00
871	85.00
872	85.00
873	85.00
874	84.00
875	85.00
876	86.00
877	86.00
878	86.00
879	86.00
880	86.00
881	86.00
882	86.00
883	85.00
884	85.00
885	85.00
886	85.00
887	85.00
888	85.00
889	84.00
890	84.00
891	84.00
892	84.00
893	84.00
894	84.00
895	84.00
896	84.00
897	84.00
898	85.00
899	85.00
900	85.00
901	84.00
902	84.00
903	85.00
904	85.00
905	85.00
906	85.00
907	85.00
908	85.00
909	85.00
910	85.00
911	84.00
912	84.00
913	84.00
914	84.00
915	84.00
916	84.00
917	84.00
918	84.00
919	84.00
920	84.00
921	84.00
922	84.00
923	84.00
924	84.00
925	84.00
926	85.00
927	85.00
928	84.00
929	84.00
930	84.00
931	84.00
932	84.00
933	84.00
934	84.00
935	84.00
936	84.00
937	84.00
938	85.00
939	85.00
940	84.00
941	84.00
942	84.00
943	84.00
944	84.00
945	84.00
946	83.00
947	83.00
948	83.00
949	83.00
950	83.00
951	83.00
952	83.00
953	83.00
954	83.00
955	83.00
956	83.00
957	83.00
958	83.00
959	84.00
960	84.00
961	84.00
962	85.00
963	85.00
964	85.00
965	86.00
