Window Start	Percent Identity
1	98.00
2	98.00
3	98.00
4	98.00
5	98.00
6	98.00
7	98.00
8	99.00
9	99.00
10	99.00
11	99.00
12	99.00
13	99.00
14	99.00
15	99.00
16	99.00
17	99.00
18	99.00
19	99.00
20	99.00
21	99.00
22	99.00
23	99.00
24	99.00
25	99.00
26	99.00
27	99.00
28	99.00
29	99.00
30	99.00
31	99.00
32	99.00
33	99.00
34	99.00
35	99.00
36	99.00
37	99.00
38	99.00
39	99.00
40	99.00
41	99.00
42	99.00
43	99.00
44	99.00
45	99.00
46	99.00
47	99.00
48	99.00
49	99.00
50	99.00
51	99.00
52	99.00
53	99.00
54	99.00
55	99.00
56	99.00
57	99.00
58	99.00
59	99.00
60	99.00
61	99.00
62	99.00
63	99.00
64	99.00
65	99.00
66	99.00
67	99.00
68	99.00
69	99.00
70	99.00
71	99.00
72	99.00
73	99.00
74	99.00
75	99.00
76	99.00
77	99.00
78	99.00
79	99.00
80	99.00
81	99.00
82	99.00
83	99.00
84	99.00
85	99.00
86	99.00
87	99.00
88	99.00
89	99.00
90	99.00
91	99.00
92	99.00
93	99.00
94	99.00
95	99.00
96	99.00
97	99.00
98	100.00
99	100.00
100	100.00
101	100.00
102	100.00
103	100.00
104	100.00
105	100.00
106	99.00
107	99.00
108	99.00
109	99.00
110	99.00
111	99.00
112	99.00
113	99.00
114	99.00
115	99.00
116	99.00
117	99.00
118	99.00
119	99.00
120	99.00
121	99.00
122	99.00
123	99.00
124	99.00
125	99.00
126	99.00
127	99.00
128	99.00
129	99.00
130	99.00
131	99.00
132	99.00
133	99.00
134	99.00
135	99.00
136	99.00
137	99.00
138	99.00
139	99.00
140	99.00
141	99.00
142	99.00
143	99.00
144	99.00
145	99.00
146	99.00
147	99.00
148	99.00
149	99.00
150	99.00
151	99.00
152	99.00
153	99.00
154	99.00
155	99.00
156	99.00
157	99.00
158	99.00
159	99.00
160	99.00
161	99.00
162	99.00
163	99.00
164	99.00
165	99.00
166	99.00
167	99.00
168	99.00
169	99.00
170	99.00
171	99.00
172	99.00
173	99.00
174	99.00
175	99.00
176	99.00
177	99.00
178	99.00
179	99.00
180	99.00
181	99.00
182	99.00
183	99.00
184	99.00
185	99.00
186	99.00
187	99.00
188	99.00
189	99.00
190	99.00
191	99.00
192	99.00
193	99.00
194	99.00
195	99.00
196	99.00
197	99.00
198	99.00
199	99.00
200	99.00
201	99.00
202	99.00
203	99.00
204	99.00
205	99.00
206	100.00
207	100.00
208	100.00
209	100.00
210	100.00
211	100.00
212	100.00
213	100.00
214	100.00
215	100.00
216	100.00
217	100.00
218	100.00
219	100.00
220	100.00
221	100.00
222	100.00
223	100.00
224	100.00
225	100.00
226	100.00
227	100.00
228	100.00
229	100.00
230	100.00
231	100.00
232	100.00
233	100.00
234	100.00
235	100.00
236	100.00
237	100.00
238	100.00
239	100.00
240	100.00
241	100.00
242	100.00
243	100.00
244	100.00
245	100.00
246	100.00
247	100.00
248	100.00
249	100.00
250	100.00
251	100.00
252	100.00
253	100.00
254	100.00
255	100.00
256	100.00
257	100.00
258	100.00
259	100.00
260	99.00
261	99.00
262	99.00
263	99.00
264	99.00
265	99.00
266	99.00
267	99.00
268	99.00
269	99.00
270	99.00
271	99.00
272	99.00
273	99.00
274	99.00
275	99.00
276	99.00
277	99.00
278	99.00
279	99.00
280	99.00
281	99.00
282	99.00
283	99.00
284	99.00
285	99.00
286	99.00
287	99.00
288	99.00
289	99.00
290	99.00
291	99.00
292	99.00
293	99.00
294	99.00
295	99.00
296	99.00
297	99.00
298	99.00
299	99.00
300	99.00
301	99.00
302	99.00
303	99.00
304	99.00
305	99.00
306	99.00
307	99.00
308	99.00
309	99.00
310	99.00
311	99.00
312	99.00
313	99.00
314	99.00
315	99.00
316	99.00
317	99.00
318	99.00
319	99.00
320	99.00
321	99.00
322	99.00
323	99.00
324	99.00
325	99.00
326	99.00
327	99.00
328	99.00
329	99.00
330	99.00
331	99.00
332	99.00
333	99.00
334	99.00
335	99.00
336	99.00
337	99.00
338	99.00
339	99.00
340	99.00
341	99.00
342	99.00
343	99.00
344	99.00
345	99.00
346	99.00
347	99.00
348	99.00
349	99.00
350	99.00
351	99.00
352	99.00
353	99.00
354	99.00
355	99.00
356	99.00
357	99.00
358	99.00
359	99.00
360	100.00
361	100.00
362	100.00
363	100.00
364	100.00
365	100.00
366	100.00
367	100.00
368	100.00
369	100.00
370	100.00
371	100.00
372	100.00
373	100.00
374	100.00
375	100.00
376	100.00
377	100.00
378	100.00
379	100.00
380	100.00
381	100.00
382	100.00
383	100.00
384	100.00
385	100.00
386	100.00
387	100.00
388	100.00
389	100.00
390	100.00
391	100.00
392	100.00
393	100.00
394	100.00
395	100.00
396	100.00
397	100.00
398	100.00
399	100.00
400	100.00
401	100.00
402	100.00
403	100.00
404	100.00
405	100.00
406	100.00
407	100.00
408	100.00
409	100.00
410	100.00
411	100.00
412	100.00
413	100.00
414	100.00
415	100.00
416	100.00
417	100.00
418	100.00
419	100.00
420	100.00
421	100.00
422	100.00
423	100.00
424	100.00
425	100.00
426	100.00
427	100.00
428	100.00
429	100.00
430	100.00
431	100.00
432	100.00
433	100.00
434	100.00
435	100.00
436	100.00
437	100.00
438	100.00
439	100.00
440	100.00
441	100.00
442	100.00
443	100.00
444	100.00
445	100.00
446	100.00
447	100.00
448	100.00
449	100.00
450	100.00
451	100.00
452	100.00
453	100.00
454	100.00
455	100.00
456	100.00
457	100.00
458	100.00
459	100.00
460	100.00
461	100.00
462	100.00
463	100.00
464	100.00
465	100.00
466	100.00
467	100.00
468	100.00
469	100.00
470	100.00
471	100.00
472	100.00
473	100.00
474	100.00
475	100.00
476	100.00
477	100.00
478	100.00
479	99.00
480	99.00
481	99.00
482	99.00
483	99.00
484	99.00
485	99.00
486	99.00
487	99.00
488	99.00
489	99.00
490	99.00
491	99.00
492	99.00
493	99.00
494	98.00
495	98.00
496	98.00
497	98.00
498	98.00
499	98.00
500	98.00
501	98.00
502	98.00
503	97.00
504	97.00
505	97.00
506	96.00
507	96.00
508	96.00
509	96.00
510	96.00
511	96.00
512	96.00
513	96.00
514	96.00
515	96.00
516	96.00
517	96.00
518	96.00
519	96.00
520	96.00
521	96.00
522	96.00
523	96.00
524	96.00
525	96.00
526	96.00
527	96.00
528	96.00
529	96.00
530	96.00
531	96.00
532	96.00
533	96.00
534	96.00
535	96.00
536	96.00
537	96.00
538	96.00
539	96.00
540	96.00
541	96.00
542	96.00
543	96.00
544	96.00
545	96.00
546	95.00
547	94.00
548	93.00
549	93.00
550	93.00
551	93.00
552	93.00
553	93.00
554	93.00
555	92.00
556	92.00
557	91.00
558	90.00
559	90.00
560	89.00
561	89.00
562	89.00
563	88.00
564	88.00
565	88.00
566	88.00
567	87.00
568	87.00
569	86.00
570	86.00
571	86.00
572	86.00
573	86.00
574	86.00
575	85.00
576	85.00
577	85.00
578	84.00
579	85.00
580	85.00
581	85.00
582	85.00
583	85.00
584	85.00
585	85.00
586	85.00
587	85.00
588	85.00
589	85.00
590	84.00
591	84.00
592	84.00
593	84.00
594	85.00
595	85.00
596	84.00
597	84.00
598	84.00
599	84.00
600	84.00
601	84.00
602	84.00
603	85.00
604	85.00
605	85.00
606	86.00
607	86.00
608	86.00
609	86.00
610	86.00
611	86.00
612	86.00
613	86.00
614	86.00
615	86.00
616	86.00
617	86.00
618	86.00
619	86.00
620	86.00
621	86.00
622	86.00
623	86.00
624	86.00
625	86.00
626	86.00
627	86.00
628	86.00
629	86.00
630	86.00
631	86.00
632	86.00
633	86.00
634	86.00
635	86.00
636	86.00
637	86.00
638	86.00
639	86.00
640	86.00
641	86.00
642	86.00
643	86.00
644	86.00
645	86.00
646	87.00
647	88.00
648	89.00
649	89.00
650	89.00
651	89.00
652	89.00
653	89.00
654	89.00
655	90.00
656	90.00
657	90.00
658	91.00
659	91.00
660	92.00
661	92.00
662	92.00
663	93.00
664	93.00
665	93.00
666	93.00
667	94.00
668	94.00
669	95.00
670	95.00
671	94.00
672	94.00
673	94.00
674	93.00
675	94.00
676	94.00
677	94.00
678	95.00
679	95.00
680	95.00
681	95.00
682	95.00
683	95.00
684	95.00
685	95.00
686	95.00
687	95.00
688	95.00
689	95.00
690	96.00
691	96.00
692	96.00
693	96.00
694	96.00
695	96.00
696	97.00
697	97.00
698	97.00
699	97.00
700	97.00
701	97.00
702	97.00
703	97.00
704	97.00
705	97.00
706	97.00
707	97.00
708	97.00
709	97.00
710	97.00
711	96.00
712	96.00
713	96.00
714	96.00
715	96.00
716	95.00
717	95.00
718	95.00
719	95.00
720	95.00
721	95.00
722	95.00
723	95.00
724	95.00
725	95.00
726	95.00
727	95.00
728	95.00
729	95.00
730	95.00
731	95.00
732	95.00
733	95.00
734	95.00
735	95.00
736	95.00
737	95.00
738	95.00
739	95.00
740	95.00
741	95.00
742	95.00
743	95.00
744	95.00
745	95.00
746	95.00
747	95.00
748	94.00
749	94.00
750	94.00
751	94.00
752	94.00
753	94.00
754	94.00
755	94.00
756	94.00
757	95.00
758	95.00
759	95.00
760	95.00
761	95.00
762	95.00
763	95.00
764	95.00
765	95.00
766	95.00
767	94.00
768	94.00
769	94.00
770	94.00
771	95.00
772	95.00
773	95.00
774	96.00
775	96.00
776	96.00
777	96.00
778	96.00
779	96.00
780	96.00
781	96.00
782	96.00
783	96.00
